epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7924,2.05149,3.18969,2.8956,0.00801,5.24949,0.44651,0.1578,0.14953,0.07141,0.11454,0.10303,0.08861,0.03368,2.0152,3.49518,2.83392,0.00827,0,0.000408333,0.000408333,0.000408333
2,38.7745,1.93417,2.63962,1.63725,0.00667,2.39464,0.21692,0.21569,0.15565,0.07352,0.18564,0.17917,0.11885,0.04333,2.09592,2.93919,3.72318,0.0088,0,0.000819555,0.000819555,0.000819555
3,55.4983,1.91566,2.53445,1.5537,0.00669,2.0941,0.42341,0.16064,0.15182,0.07525,0.41778,0.12351,0.11546,0.04746,2.17286,3.26241,2.65651,0.01009,0,0.00122528,0.00122528,0.00122528
4,72.1406,1.92751,2.54877,1.51163,0.00678,2.05758,0.40571,0.29618,0.23445,0.11227,0.33091,0.22823,0.1725,0.06169,nan,nan,nan,nan,0,0.00122525,0.00122525,0.00122525
5,88.7136,1.91932,2.50841,1.47566,0.00672,1.97222,0.43247,0.31514,0.29504,0.14436,0.36705,0.247,0.21732,0.08736,1.91272,2.601,2.45821,0.00766,0,0.001217,0.001217,0.001217
6,105.234,1.90633,2.47264,1.43963,0.00655,1.90268,0.43542,0.37212,0.35672,0.17186,0.37083,0.31089,0.26348,0.10765,1.89158,2.40353,1.54444,0.00758,0,0.00120875,0.00120875,0.00120875
7,121.644,1.86775,2.42561,1.41866,0.00642,1.85369,0.37105,0.35708,0.31299,0.15154,0.32389,0.29184,0.25167,0.10069,1.90445,2.41335,2.05071,0.00767,0,0.0012005,0.0012005,0.0012005
8,138.224,1.87459,2.43583,1.38743,0.00633,1.82488,0.38635,0.35517,0.32321,0.14845,0.3452,0.30146,0.26166,0.10581,1.95278,2.43581,1.70006,0.00872,0,0.00119225,0.00119225,0.00119225
9,154.702,1.85625,2.38438,1.36525,0.00627,1.77205,0.41069,0.43986,0.38006,0.19028,0.38253,0.38688,0.32651,0.1441,1.91612,2.29444,1.92248,0.00733,0,0.001184,0.001184,0.001184
10,171.218,1.83661,2.36093,1.34432,0.00619,1.72228,0.44185,0.40357,0.37923,0.18836,0.39364,0.35266,0.30931,0.12956,1.85534,2.38138,1.45385,0.0073,0,0.00117575,0.00117575,0.00117575
11,187.745,1.86444,2.37581,1.36008,0.00621,1.76856,0.50782,0.39163,0.39455,0.20105,0.43463,0.35456,0.32212,0.13633,1.85552,2.31783,1.62364,0.00748,0,0.0011675,0.0011675,0.0011675
12,204.381,1.83848,2.35209,1.33725,0.00612,1.73376,0.44116,0.45451,0.39977,0.19804,0.39572,0.39055,0.32257,0.13134,1.81813,2.25935,1.53176,0.0071,0,0.00115925,0.00115925,0.00115925
13,220.883,1.82267,2.31087,1.33591,0.00618,1.7155,0.48363,0.42877,0.407,0.21234,0.45103,0.37814,0.34131,0.14454,1.73559,2.19455,1.53933,0.00674,0,0.001151,0.001151,0.001151
14,237.826,1.83238,2.30924,1.31158,0.00611,1.70917,0.42353,0.4306,0.3871,0.1979,0.351,0.3593,0.29818,0.12593,1.7578,2.18697,1.6072,0.00693,0,0.00114275,0.00114275,0.00114275
15,254.336,1.79093,2.26635,1.31073,0.0061,1.68482,0.4765,0.46072,0.43516,0.22354,0.39729,0.37176,0.32991,0.14007,1.77054,2.17734,1.46522,0.00694,0,0.0011345,0.0011345,0.0011345
16,271.014,1.82318,2.31579,1.29074,0.00595,1.66947,0.5627,0.41021,0.42594,0.21375,0.46134,0.33705,0.31539,0.13174,1.83284,2.3251,1.38967,0.00742,0,0.00112625,0.00112625,0.00112625
17,287.531,1.80491,2.27606,1.27941,0.00593,1.66545,0.55237,0.44708,0.47363,0.23666,0.47679,0.38844,0.37514,0.15365,1.78088,2.13954,1.31948,0.00676,0,0.001118,0.001118,0.001118
18,304.08,1.78655,2.26602,1.27813,0.00593,1.60997,0.5175,0.4133,0.43208,0.23089,0.4692,0.35036,0.34159,0.14738,1.71328,2.24301,1.36174,0.00659,0,0.00110975,0.00110975,0.00110975
19,320.645,1.80826,2.26392,1.27254,0.00594,1.6485,0.5954,0.48629,0.52159,0.26908,0.53165,0.43165,0.43116,0.18009,1.69241,2.10109,1.30819,0.00636,0,0.0011015,0.0011015,0.0011015
