Model,Dataset,Box_mAP50,Box_mAP50-95,Mask_mAP50,Mask_mAP50-95,Precision,Recall,Conf
Small26,NewData,0.764,0.491,0.697,0.369,0.743,0.625,0.2
Medium26,NewData,0.793,0.522,0.739,0.388,0.729,0.688,0.2
Large26,NewData,0.796,0.531,0.737,0.395,0.726,0.671,0.2
ExtraLarge26,NewData,0.812,0.539,0.753,0.397,0.758,0.691,0.2
Small26,OldData,0.768,0.5,0.711,0.38,0.671,0.687,0.2
Medium26,OldData,0.771,0.519,0.718,0.395,0.713,0.652,0.2
Large26,OldData,0.799,0.535,0.737,0.396,0.712,0.698,0.2
ExtraLarge26,OldData,0.796,0.539,0.722,0.399,0.731,0.683,0.2
Small26,NewData,0.76,0.496,0.696,0.377,0.736,0.629,0.3
Medium26,NewData,0.787,0.524,0.734,0.395,0.736,0.682,0.3
Large26,NewData,0.786,0.532,0.731,0.404,0.734,0.668,0.3
ExtraLarge26,NewData,0.804,0.539,0.747,0.405,0.758,0.691,0.3
Small26,OldData,0.752,0.499,0.7,0.382,0.734,0.624,0.3
Medium26,OldData,0.766,0.52,0.716,0.399,0.731,0.645,0.3
Large26,OldData,0.79,0.534,0.73,0.398,0.733,0.678,0.3
ExtraLarge26,OldData,0.792,0.542,0.722,0.403,0.73,0.685,0.3
Small26,NewData,0.74,0.493,0.682,0.379,0.786,0.567,0.4
Medium26,NewData,0.77,0.521,0.722,0.397,0.787,0.626,0.4
Large26,NewData,0.778,0.532,0.724,0.407,0.78,0.628,0.4
ExtraLarge26,NewData,0.796,0.541,0.743,0.408,0.778,0.674,0.4
Small26,OldData,0.746,0.499,0.697,0.386,0.787,0.587,0.4
Medium26,OldData,0.751,0.515,0.705,0.398,0.768,0.595,0.4
Large26,OldData,0.775,0.533,0.719,0.399,0.787,0.621,0.4
ExtraLarge26,OldData,0.779,0.54,0.713,0.403,0.761,0.648,0.4
Small26,NewData,0.716,0.484,0.66,0.377,0.812,0.496,0.5
Medium26,NewData,0.752,0.515,0.706,0.393,0.811,0.574,0.5
Large26,NewData,0.761,0.527,0.714,0.409,0.836,0.576,0.5
ExtraLarge26,NewData,0.781,0.539,0.729,0.408,0.822,0.619,0.5
Small26,OldData,0.722,0.495,0.675,0.387,0.837,0.508,0.5
Medium26,OldData,0.741,0.516,0.696,0.399,0.814,0.549,0.5
Large26,OldData,0.761,0.531,0.706,0.399,0.823,0.572,0.5
ExtraLarge26,OldData,0.757,0.531,0.694,0.4,0.805,0.581,0.5
Small26,NewData,0.691,0.478,0.639,0.374,0.828,0.433,0.6
Medium26,NewData,0.737,0.514,0.695,0.394,0.862,0.519,0.6
Large26,NewData,0.735,0.518,0.692,0.405,0.856,0.514,0.6
ExtraLarge26,NewData,0.75,0.529,0.7,0.402,0.849,0.536,0.6
Small26,OldData,0.699,0.489,0.655,0.385,0.862,0.444,0.6
Medium26,OldData,0.716,0.507,0.679,0.396,0.855,0.483,0.6
Large26,OldData,0.729,0.52,0.68,0.395,0.854,0.49,0.6
ExtraLarge26,OldData,0.734,0.523,0.671,0.396,0.829,0.508,0.6
Small26,NewData,0.661,0.471,0.625,0.377,0.888,0.357,0.7
Medium26,NewData,0.706,0.503,0.667,0.389,0.885,0.442,0.7
Large26,NewData,0.707,0.508,0.667,0.4,0.886,0.435,0.7
ExtraLarge26,NewData,0.71,0.514,0.671,0.397,0.892,0.444,0.7
Small26,OldData,0.66,0.474,0.62,0.378,0.882,0.351,0.7
Medium26,OldData,0.688,0.496,0.655,0.392,0.881,0.414,0.7
Large26,OldData,0.697,0.506,0.653,0.387,0.874,0.417,0.7
ExtraLarge26,OldData,0.701,0.512,0.646,0.396,0.859,0.43,0.7
Large11,OldData,0.8162,0.5701,0.7345,0.4073,0.7472,0.6845,0.2
Large11,OldData,0.8111,0.5706,0.7342,0.4101,0.7472,0.6845,0.3
Large11,OldData,0.8068,0.5719,0.732,0.4123,0.75,0.6813,0.4
Large11,OldData,0.7979,0.5687,0.7258,0.4117,0.789,0.6506,0.5
Large11,OldData,0.7915,0.5699,0.7224,0.4141,0.8031,0.6331,0.6
Large11,OldData,0.7716,0.563,0.705,0.4119,0.8271,0.5795,0.7
ExtraLarge11,OldData,0.808,0.5737,0.742,0.425,0.7502,0.6964,0.2
ExtraLarge11,OldData,0.8064,0.5753,0.7417,0.4273,0.7508,0.6964,0.3
ExtraLarge11,OldData,0.8028,0.5756,0.7405,0.429,0.7594,0.6896,0.4
ExtraLarge11,OldData,0.7974,0.5752,0.7369,0.4298,0.7753,0.6731,0.5
ExtraLarge11,OldData,0.7891,0.5731,0.7303,0.4297,0.7959,0.6458,0.6
ExtraLarge11,OldData,0.7848,0.5742,0.7279,0.4326,0.82,0.6297,0.7
