epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2683,1.91511,3.07615,2.40437,0.00594,6.6525,0.25736,0.17593,0.17285,0.08883,0.16557,0.13016,0.11997,0.05032,1.95535,2.80895,2.61199,0.00647,0,0.000408333,0.000408333,0.000408333
2,67.6998,1.89018,2.59805,1.54714,0.00517,2.50672,0.45386,0.16805,0.17521,0.0865,0.62242,0.1337,0.13679,0.05711,2.07026,2.92379,2.64145,0.00703,0,0.00082495,0.00082495,0.00082495
3,98.2919,1.85332,2.47766,1.4798,0.00531,2.17139,0.1988,0.21015,0.15714,0.08076,0.20353,0.15116,0.13391,0.05688,2.0763,2.85427,7.96182,0.00782,0,0.00124136,0.00124136,0.00124136
4,128.818,1.87199,2.5143,1.4842,0.00552,2.10614,0.30377,0.21004,0.16022,0.08581,0.1379,0.17452,0.13463,0.06234,nan,nan,nan,nan,0,0.00124931,0.00124931,0.00124931
5,159.683,1.87586,2.46668,1.43219,0.00535,1.96151,0.30987,0.3631,0.29469,0.13915,0.24833,0.30371,0.22601,0.09535,2.03333,2.59073,1.92093,0.00712,0,0.00124878,0.00124878,0.00124878
6,205.065,1.86801,2.45129,1.40289,0.00518,1.92146,0.3668,0.30347,0.27144,0.13624,0.36111,0.25467,0.23822,0.10259,nan,nan,nan,nan,0,0.00124809,0.00124809,0.00124809
7,265.575,1.84076,2.41365,1.38777,0.00522,1.89965,0.42865,0.3612,0.31136,0.14441,0.38218,0.30353,0.24615,0.09599,2.00056,2.47202,1.86961,0.00681,0,0.00124725,0.00124725,0.00124725
8,325.861,1.85517,2.41358,1.36171,0.00509,1.8713,0.32811,0.37282,0.26946,0.12942,0.29368,0.3141,0.22666,0.09424,2.02854,2.5418,2.34347,0.00697,0,0.00124626,0.00124626,0.00124626
9,387.075,1.84714,2.38587,1.35117,0.00513,1.8176,0.50207,0.39393,0.38074,0.18486,0.44772,0.3338,0.30776,0.13198,nan,nan,nan,nan,0,0.00124512,0.00124512,0.00124512
10,447.684,1.82214,2.35881,1.3299,0.00508,1.7941,0.37997,0.41771,0.35571,0.16958,0.33611,0.36858,0.29433,0.12335,nan,nan,nan,nan,0,0.00124383,0.00124383,0.00124383
11,509.186,1.82997,2.34601,1.32988,0.00511,1.76207,0.50222,0.40991,0.40014,0.19913,0.48406,0.34676,0.34733,0.14924,1.85417,2.39683,1.49867,0.00636,0,0.00124238,0.00124238,0.00124238
12,570.668,1.83977,2.36018,1.32574,0.00497,1.76755,0.37688,0.44517,0.34901,0.16881,0.34401,0.39075,0.30017,0.1228,1.87408,2.43312,1.55447,0.00628,0,0.00124079,0.00124079,0.00124079
13,632.174,1.80044,2.32468,1.30951,0.00497,1.72394,0.4289,0.45251,0.39722,0.19456,0.36544,0.39125,0.31868,0.13317,1.86669,2.31237,1.42944,0.00619,0,0.00123904,0.00123904,0.00123904
14,693.763,1.81031,2.3286,1.28829,0.0049,1.68838,0.42523,0.44027,0.40255,0.19705,0.37549,0.37182,0.32049,0.13655,1.86306,2.48064,1.82571,0.00622,0,0.00123714,0.00123714,0.00123714
15,755.228,1.80222,2.3265,1.28728,0.00487,1.68673,0.51272,0.45726,0.44883,0.22593,0.48119,0.40634,0.39372,0.17424,1.81491,2.26845,1.66893,0.00605,0,0.0012351,0.0012351,0.0012351
16,816.776,1.78153,2.30273,1.2721,0.00478,1.62136,0.54166,0.45123,0.4482,0.21848,0.4815,0.40042,0.37,0.16587,1.93557,2.29432,1.42654,0.0062,0,0.0012329,0.0012329,0.0012329
17,876.652,1.76541,2.2928,1.27742,0.00489,1.68118,0.54534,0.48139,0.4943,0.25656,0.49202,0.42004,0.41268,0.18508,1.76176,2.2166,1.42613,0.00571,0,0.00123056,0.00123056,0.00123056
18,937.141,1.78601,2.28253,1.28017,0.00482,1.67079,0.56526,0.43199,0.44435,0.23065,0.51489,0.37538,0.3736,0.1645,1.8447,2.28188,1.4177,0.0061,0,0.00122807,0.00122807,0.00122807
19,997.266,1.78927,2.29486,1.24581,0.00476,1.62201,0.52084,0.47173,0.46191,0.22278,0.45181,0.41547,0.37668,0.15998,1.83163,2.32266,1.35438,0.00595,0,0.00122543,0.00122543,0.00122543
20,1056.47,1.77254,2.28332,1.25674,0.00476,1.68648,0.53556,0.46258,0.47568,0.24757,0.46158,0.40646,0.39355,0.18199,1.80918,2.2156,1.58923,0.00597,0,0.00122265,0.00122265,0.00122265
21,1116.03,1.77738,2.28051,1.24416,0.00465,1.59617,0.56696,0.51359,0.52792,0.27646,0.54524,0.46352,0.44352,0.20306,1.73007,2.14992,1.38434,0.00558,0,0.00121972,0.00121972,0.00121972
22,1176.75,1.73961,2.24894,1.22773,0.00468,1.55886,0.55754,0.45511,0.47461,0.24596,0.52211,0.40739,0.40486,0.17935,1.79398,2.29634,1.38598,0.00592,0,0.00121664,0.00121664,0.00121664
23,1236.76,1.75208,2.25097,1.22869,0.00459,1.55492,0.61548,0.48733,0.51118,0.26599,0.5556,0.43016,0.43661,0.193,1.79549,2.22614,1.36632,0.00575,0,0.00121342,0.00121342,0.00121342
24,1298.17,1.7605,2.25206,1.20976,0.00445,1.5356,0.58435,0.49352,0.50751,0.26087,0.54489,0.44303,0.44044,0.19213,1.78586,2.20375,1.44157,0.00577,0,0.00121006,0.00121006,0.00121006
25,1359.2,1.76345,2.24862,1.20417,0.00455,1.50385,0.54039,0.53104,0.51832,0.26061,0.48166,0.45364,0.43037,0.18249,1.77129,2.19785,1.57164,0.00567,0,0.00120655,0.00120655,0.00120655
26,1420.51,1.76509,2.22803,1.19506,0.00453,1.49938,0.64354,0.48462,0.52947,0.28508,0.57557,0.44255,0.45431,0.20901,1.79872,2.17189,1.28407,0.0056,0,0.0012029,0.0012029,0.0012029
27,1481.58,1.73886,2.20228,1.19215,0.00453,1.50729,0.57948,0.46879,0.49405,0.25521,0.51356,0.40704,0.41241,0.17873,1.77867,2.19929,1.49069,0.00568,0,0.00119911,0.00119911,0.00119911
28,1542.7,1.73971,2.22204,1.18837,0.00453,1.52622,0.59822,0.50449,0.52991,0.26934,0.55177,0.44991,0.44964,0.19236,1.72531,2.18789,1.483,0.00552,0,0.00119518,0.00119518,0.00119518
