epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,107.118,1.65673,2.5228,1.94795,0.00464,3.30857,0.34155,0.39917,0.31334,0.15267,0.32667,0.37332,0.28287,0.12134,1.64897,2.17207,1.78286,0.0063,0,0.000414552,0.000414552,0.000414552
2,206.775,1.70875,2.34257,1.47101,0.0049,2.16861,0.29897,0.32069,0.28356,0.1437,0.30928,0.24978,0.25301,0.11339,1.72142,2.38108,1.74457,0.00681,0,0.000831168,0.000831168,0.000831168
3,305.251,1.77171,2.36791,1.49182,0.00518,2.15889,0.2115,0.28559,0.20271,0.09548,0.18753,0.25802,0.17153,0.06941,1.98587,2.4966,2.05024,0.00817,0,0.00124758,0.00124758,0.00124758
4,403.856,1.79892,2.3869,1.52841,0.00546,2.20014,0.33775,0.33258,0.25348,0.12988,0.32498,0.28964,0.22162,0.10615,1.76264,2.29482,1.71007,0.0069,0,0.00124931,0.00124931,0.00124931
5,501.444,1.74152,2.29366,1.48724,0.00542,2.11076,0.22733,0.34263,0.23083,0.12325,0.1986,0.30146,0.20354,0.09838,1.73403,2.35536,1.86284,0.00719,0,0.00124878,0.00124878,0.00124878
6,599.278,1.76203,2.35863,1.50568,0.00533,2.18368,0.36001,0.40211,0.31485,0.16689,0.31667,0.35259,0.27891,0.13141,1.67193,2.24459,1.68178,0.00672,0,0.00124809,0.00124809,0.00124809
7,697.46,1.72407,2.27217,1.45209,0.0053,2.09857,0.34259,0.3511,0.29236,0.14672,0.32054,0.30966,0.25624,0.11764,1.79096,2.27697,1.70393,0.0071,0,0.00124725,0.00124725,0.00124725
8,795.904,1.72138,2.2605,1.4135,0.00522,2.01819,0.46121,0.42699,0.37187,0.1798,0.44264,0.39561,0.34544,0.15185,1.71747,2.18277,1.50956,0.00663,0,0.00124626,0.00124626,0.00124626
9,894.235,1.71763,2.24741,1.41895,0.00512,2.03667,0.51144,0.37524,0.37951,0.19642,0.45401,0.32745,0.32662,0.15793,1.66033,2.11184,1.62367,0.00638,0,0.00124512,0.00124512,0.00124512
10,992.572,1.70492,2.24964,1.37728,0.00499,1.96138,0.44008,0.4308,0.38768,0.18936,0.40513,0.39038,0.33859,0.15598,1.64197,2.09675,1.5933,0.00627,0,0.00124383,0.00124383,0.00124383
11,1090.8,1.71229,2.23636,1.38144,0.00503,1.96989,0.52493,0.41378,0.41595,0.20119,0.51337,0.3856,0.3862,0.17419,1.62107,2.08636,1.46569,0.00622,0,0.00124238,0.00124238,0.00124238
12,1189.76,1.65829,2.20284,1.33998,0.00481,1.90755,0.45121,0.39225,0.35662,0.18117,0.4039,0.35766,0.31205,0.14387,1.64207,2.11394,1.7187,0.00622,0,0.00124079,0.00124079,0.00124079
13,1287.93,1.6708,2.19047,1.32384,0.0049,1.81805,0.5421,0.47058,0.46781,0.23896,0.49253,0.43601,0.40855,0.18771,1.60633,2.03476,1.33431,0.00605,0,0.00123904,0.00123904,0.00123904
14,1386.45,1.65935,2.16602,1.32569,0.00492,1.83469,0.56318,0.42368,0.44704,0.22916,0.5137,0.38637,0.38962,0.18027,1.59517,2.07739,1.45079,0.00614,0,0.00123714,0.00123714,0.00123714
15,1484.73,1.65937,2.17811,1.31338,0.00482,1.81534,0.54773,0.39615,0.42962,0.22488,0.51473,0.37591,0.38519,0.17631,1.63442,2.1057,1.37825,0.00649,0,0.0012351,0.0012351,0.0012351
16,1582.73,1.64656,2.14643,1.28297,0.0047,1.79732,0.54153,0.48116,0.48279,0.24743,0.52357,0.43741,0.42737,0.18693,1.6721,2.14974,1.36899,0.00617,0,0.0012329,0.0012329,0.0012329
17,1680.86,1.64815,2.17134,1.30735,0.00483,1.8319,0.53005,0.51261,0.49919,0.25079,0.52126,0.44387,0.43541,0.19589,1.58508,2.04065,1.28553,0.00588,0,0.00123056,0.00123056,0.00123056
