epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2716,1.69422,2.6605,2.11694,0.00472,5.42907,0.35427,0.32726,0.23081,0.11974,0.29592,0.26877,0.19008,0.08146,1.81097,4.10277,1.98832,0.00625,0,0.000412458,0.000412458,0.000412458
2,128.398,1.73731,2.39576,1.49591,0.00478,2.34798,0.58866,0.33815,0.3428,0.15986,0.35437,0.39061,0.28909,0.12321,1.84087,2.4958,1.94444,0.0066,0,0.000829074,0.000829074,0.000829074
3,188.379,1.76846,2.35659,1.45744,0.00508,2.07543,0.25431,0.27616,0.21912,0.11865,0.23326,0.2508,0.19726,0.08943,1.82897,2.76595,1.85571,0.00686,0,0.00124549,0.00124549,0.00124549
4,248.167,1.77203,2.36686,1.47101,0.00516,2.09414,0.43034,0.39555,0.35176,0.17243,0.39814,0.35549,0.30991,0.14382,1.79759,2.32041,1.68808,0.00655,0,0.00124931,0.00124931,0.00124931
5,307.939,1.75312,2.35315,1.43039,0.00507,2.00163,0.38764,0.36934,0.31023,0.14416,0.40183,0.30982,0.2761,0.116,1.81612,2.38419,1.76702,0.00665,0,0.00124878,0.00124878,0.00124878
6,367.697,1.70813,2.2572,1.36969,0.00483,1.90335,0.46788,0.40596,0.3771,0.19387,0.43411,0.35071,0.32415,0.13929,1.76083,2.23104,1.84729,0.00597,0,0.00124809,0.00124809,0.00124809
7,427.667,1.69928,2.24817,1.36279,0.00494,1.86659,0.46657,0.39651,0.38724,0.19829,0.44408,0.34244,0.33672,0.14472,1.75005,2.2665,1.48856,0.00605,0,0.00124725,0.00124725,0.00124725
8,487.786,1.69957,2.24497,1.38705,0.0048,1.95114,0.54866,0.42246,0.41679,0.21911,0.51144,0.39108,0.37008,0.16699,1.72657,2.16726,1.46584,0.00599,0,0.00124626,0.00124626,0.00124626
9,547.969,1.69385,2.22965,1.34184,0.00474,1.86095,0.53547,0.43715,0.44901,0.21502,0.49865,0.38167,0.38797,0.16571,1.76338,2.197,1.47495,0.00614,0,0.00124512,0.00124512,0.00124512
10,607.594,1.68888,2.20167,1.31746,0.00473,1.75662,0.53243,0.4807,0.4743,0.23021,0.55303,0.41448,0.43409,0.19414,1.69861,2.17937,1.32817,0.00598,0,0.00124383,0.00124383,0.00124383
11,667.822,1.67071,2.18133,1.30173,0.00467,1.77501,0.4749,0.48187,0.44392,0.22719,0.44877,0.44642,0.40509,0.18676,1.70443,2.11153,1.55792,0.00611,0,0.00124238,0.00124238,0.00124238
12,727.199,1.65554,2.17633,1.31713,0.00466,1.78271,0.52421,0.46587,0.46376,0.24273,0.51808,0.41667,0.41385,0.19954,1.64524,2.14254,1.32327,0.00565,0,0.00124079,0.00124079,0.00124079
13,787.333,1.63734,2.15018,1.27004,0.00466,1.73601,0.62161,0.46526,0.49858,0.24444,0.57785,0.42277,0.43757,0.19962,1.6518,2.09091,1.27925,0.00574,0,0.00123904,0.00123904,0.00123904
14,847.049,1.66098,2.15346,1.28086,0.00464,1.75108,0.55816,0.42881,0.45361,0.21189,0.51847,0.39935,0.40613,0.17389,1.66782,2.10012,1.33781,0.00599,0,0.00123714,0.00123714,0.00123714
15,906.36,1.65181,2.14358,1.27539,0.00466,1.75855,0.55598,0.47157,0.48624,0.2512,0.53224,0.44353,0.44012,0.19925,1.6412,2.07226,1.44747,0.0056,0,0.0012351,0.0012351,0.0012351
16,965.899,1.62906,2.12995,1.25842,0.00459,1.69717,0.51353,0.50587,0.48649,0.24013,0.49116,0.44894,0.42326,0.19227,1.6836,2.11107,1.34156,0.00561,0,0.0012329,0.0012329,0.0012329
17,1025.21,1.63228,2.13012,1.25259,0.0046,1.68471,0.60803,0.48601,0.51177,0.28126,0.59073,0.41411,0.44636,0.21999,1.63401,2.08589,1.29662,0.0056,0,0.00123056,0.00123056,0.00123056
