epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,66.783,1.82872,2.8394,2.31807,0.00528,4.06954,0.20214,0.13261,0.14443,0.07338,0.16906,0.12747,0.12373,0.05614,2.0698,2.85501,2.17644,0.00749,0,0.000408333,0.000408333,0.000408333
2,129.599,1.87161,2.5455,1.52594,0.00519,2.29875,0.20271,0.22964,0.18077,0.09357,0.19452,0.16155,0.1436,0.06363,2.07084,2.7954,3.39867,0.0074,0,0.00082495,0.00082495,0.00082495
3,200.341,1.87714,2.49838,1.50633,0.00541,2.13785,0.23174,0.17342,0.16294,0.08163,0.33261,0.16378,0.15116,0.06715,2.04816,2.66344,4.45377,0.00769,0,0.00124136,0.00124136,0.00124136
4,261.283,1.87295,2.47815,1.47904,0.00554,2.07073,0.2806,0.19994,0.14329,0.06698,0.24739,0.14589,0.10719,0.04453,2.28481,5.42638,2.80023,0.00965,0,0.00124931,0.00124931,0.00124931
5,322.037,1.87765,2.4681,1.4246,0.00547,1.99883,0.27345,0.32188,0.248,0.12204,0.23567,0.29763,0.21405,0.08809,1.95259,2.54888,1.8943,0.00703,0,0.00124878,0.00124878,0.00124878
6,383.59,1.89131,2.45535,1.41243,0.00544,1.97191,0.30745,0.31619,0.25046,0.12169,0.30665,0.29678,0.2275,0.09739,1.93347,2.3742,2.01108,0.00715,0,0.00124809,0.00124809,0.00124809
7,444.562,1.86616,2.41317,1.39203,0.00545,1.93899,0.37509,0.38266,0.31699,0.15243,0.30994,0.33836,0.25829,0.1082,1.94948,2.37386,2.28283,0.00691,0,0.00124725,0.00124725,0.00124725
8,506.143,1.83458,2.40554,1.37521,0.00527,1.91584,0.3767,0.42533,0.36179,0.18046,0.32792,0.39808,0.31266,0.14005,1.82268,2.31226,2.29837,0.00633,0,0.00124626,0.00124626,0.00124626
9,575.183,1.82118,2.35847,1.32963,0.00521,1.80086,0.29837,0.4086,0.3133,0.15955,0.28055,0.33606,0.25889,0.11424,1.93377,2.35728,2.1611,0.00687,0,0.00124512,0.00124512,0.00124512
10,636.393,1.8075,2.323,1.32649,0.00519,1.75984,0.46664,0.40147,0.3464,0.17183,0.43089,0.35293,0.29652,0.12717,1.84868,2.40964,1.59702,0.00635,0,0.00124383,0.00124383,0.00124383
11,697.305,1.82746,2.35817,1.32835,0.00506,1.8229,0.41798,0.39209,0.34558,0.17161,0.37533,0.33476,0.28385,0.12441,1.91963,2.48082,1.86794,0.00646,0,0.00124238,0.00124238,0.00124238
12,758.636,1.81474,2.34294,1.3242,0.00507,1.81673,0.3638,0.41916,0.32409,0.15047,0.31888,0.35971,0.27982,0.11606,2.00631,2.47827,1.75243,0.00718,0,0.00124079,0.00124079,0.00124079
13,828.815,1.78735,2.30829,1.30058,0.00507,1.74599,0.43967,0.40301,0.36207,0.18505,0.408,0.36286,0.31032,0.14219,1.82608,2.29457,1.50271,0.0063,0,0.00123904,0.00123904,0.00123904
14,890.202,1.7985,2.3111,1.29512,0.00499,1.7609,0.43081,0.42444,0.3759,0.18707,0.37373,0.37496,0.30853,0.13401,1.84979,2.27167,1.70261,0.00623,0,0.00123714,0.00123714,0.00123714
15,969.052,1.76517,2.29009,1.26215,0.00494,1.64613,0.47428,0.44254,0.42705,0.21547,0.44185,0.38858,0.37061,0.15883,1.82393,2.30044,1.77162,0.00602,0,0.0012351,0.0012351,0.0012351
16,1040.64,1.79611,2.30916,1.24906,0.00478,1.70355,0.4976,0.4274,0.40997,0.20633,0.42321,0.38128,0.32754,0.14183,1.85839,2.31156,1.45438,0.00638,0,0.0012329,0.0012329,0.0012329
17,1110.31,1.78411,2.28492,1.25588,0.00492,1.65983,0.45263,0.44101,0.40757,0.19787,0.41218,0.40286,0.36247,0.16179,1.79514,2.23502,1.68065,0.00612,0,0.00123056,0.00123056,0.00123056
18,1171.04,1.76286,2.26496,1.26238,0.00492,1.69091,0.50472,0.49247,0.45016,0.22325,0.48134,0.43368,0.392,0.16923,1.74641,2.27724,1.36327,0.00576,0,0.00122807,0.00122807,0.00122807
19,1242.93,1.7657,2.25327,1.24592,0.00483,1.66824,0.48931,0.47744,0.44548,0.21903,0.44298,0.41817,0.37953,0.16238,1.79915,2.25481,1.48027,0.00586,0,0.00122543,0.00122543,0.00122543
20,1303.97,1.74539,2.22064,1.23898,0.00479,1.66824,0.4898,0.41102,0.4266,0.21137,0.44453,0.40367,0.37828,0.16574,1.79098,2.26233,1.40306,0.00614,0,0.00122265,0.00122265,0.00122265
21,1364.82,1.76422,2.2627,1.24368,0.00482,1.65838,0.48505,0.45657,0.44614,0.23264,0.44799,0.41624,0.39381,0.18478,1.76325,2.15908,1.89013,0.00587,0,0.00121972,0.00121972,0.00121972
22,1426.4,1.73165,2.21845,1.21153,0.00473,1.58553,0.51516,0.43313,0.41176,0.20987,0.47468,0.38796,0.35062,0.15914,1.79558,2.3381,1.42046,0.00599,0,0.00121664,0.00121664,0.00121664
23,1496.7,1.73963,2.22344,1.2236,0.00464,1.62503,0.49798,0.47224,0.45874,0.22353,0.44628,0.42808,0.38646,0.16609,1.80219,2.19056,1.42653,0.00602,0,0.00121342,0.00121342,0.00121342
24,1557.74,1.73975,2.24154,1.2148,0.00469,1.60475,0.5769,0.43668,0.45908,0.22703,0.5084,0.3775,0.37598,0.1684,1.7949,2.22793,1.38585,0.00585,0,0.00121006,0.00121006,0.00121006
