epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6409,1.51156,1.88069,0.89946,0.0035,0.94686,0.71106,0.68447,0.72442,0.43253,0.67517,0.6422,0.66125,0.3199,1.56023,1.87889,1.00747,0.00458,0,0.000408333,0.000408333,0.000408333
2,137.285,1.57592,1.9572,0.92875,0.00358,1.01296,0.76284,0.62289,0.71953,0.41475,0.69879,0.56601,0.6271,0.29035,1.56813,1.93666,1.08083,0.00459,0,0.00082495,0.00082495,0.00082495
3,200.605,1.53862,1.91963,0.94161,0.00369,1.02766,0.70762,0.63618,0.69427,0.39424,0.66427,0.58981,0.62374,0.29115,1.59275,1.9486,1.05726,0.00471,0,0.00124136,0.00124136,0.00124136
4,264.518,1.56438,1.96336,0.98695,0.00384,1.09423,0.71557,0.57763,0.65058,0.37482,0.6837,0.52987,0.57434,0.26689,1.62248,2.02072,1.19801,0.0048,0,0.00124931,0.00124931,0.00124931
5,328.22,1.58161,1.97523,0.98673,0.00385,1.14624,0.73051,0.5773,0.65558,0.36555,0.70077,0.51798,0.58214,0.25794,1.65719,2.02262,1.18604,0.00503,0,0.00124878,0.00124878,0.00124878
6,391.759,1.61011,2.023,1.01686,0.00384,1.19166,0.72673,0.57072,0.66715,0.38101,0.6792,0.53446,0.59466,0.27455,1.65248,2.01105,1.19323,0.00492,0,0.00124809,0.00124809,0.00124809
7,455.073,1.6014,1.99796,1.02148,0.00389,1.18098,0.69791,0.5849,0.63715,0.36192,0.64774,0.5394,0.56159,0.27166,1.6441,2.0236,1.15062,0.00492,0,0.00124725,0.00124725,0.00124725
8,518.574,1.62506,2.0274,1.01986,0.00392,1.22174,0.7328,0.58397,0.66037,0.36892,0.67879,0.54192,0.58649,0.28261,1.63169,2.04101,1.1224,0.00489,0,0.00124626,0.00124626,0.00124626
9,583.067,1.61586,2.01599,1.01307,0.00392,1.15023,0.69049,0.60835,0.66698,0.36554,0.64256,0.55816,0.58617,0.2713,1.68074,2.01676,1.11785,0.00511,0,0.00124512,0.00124512,0.00124512
10,646.766,1.61048,2.00643,1.01482,0.00398,1.18784,0.69328,0.61009,0.65145,0.36081,0.65814,0.57077,0.59096,0.27227,1.61629,1.97835,1.14916,0.0049,0,0.00124383,0.00124383,0.00124383
11,710.071,1.60969,2.0162,1.02445,0.00398,1.20845,0.63898,0.58116,0.61511,0.33003,0.60355,0.5413,0.55175,0.25394,1.67907,2.11312,1.28038,0.00515,0,0.00124238,0.00124238,0.00124238
12,773.506,1.63381,2.03116,1.02107,0.00393,1.20353,0.72718,0.58003,0.6622,0.36671,0.6777,0.53271,0.58304,0.2761,1.62131,2.02442,1.12129,0.00487,0,0.00124079,0.00124079,0.00124079
13,836.264,1.6035,1.99709,1.00514,0.00393,1.14168,0.70925,0.55311,0.61792,0.33066,0.67853,0.50005,0.53922,0.25201,1.67744,2.11007,1.2244,0.00528,0,0.00123904,0.00123904,0.00123904
14,899.666,1.62198,2.01806,1.00576,0.00393,1.15275,0.66612,0.63624,0.67136,0.37945,0.71011,0.51337,0.58978,0.27721,1.61659,1.96476,1.09875,0.00493,0,0.00123714,0.00123714,0.00123714
15,964.158,1.62396,2.03318,1.02191,0.00398,1.19205,0.69584,0.5934,0.6529,0.35143,0.64167,0.54004,0.56954,0.25137,1.65999,1.9694,1.15278,0.00502,0,0.0012351,0.0012351,0.0012351
16,1027.75,1.62098,2.02082,1.02128,0.00398,1.14594,0.72206,0.60146,0.66498,0.37074,0.68443,0.56308,0.5894,0.27219,1.67675,2.0689,1.12963,0.00514,0,0.0012329,0.0012329,0.0012329
17,1091.4,1.61087,2.01973,1.02497,0.00407,1.18891,0.71651,0.61462,0.68744,0.38403,0.62573,0.5781,0.58762,0.27813,1.60233,1.96319,1.14344,0.00486,0,0.00123056,0.00123056,0.00123056
18,1154.86,1.63115,2.00109,1.02676,0.00398,1.17891,0.7461,0.57935,0.67204,0.37919,0.68747,0.5309,0.58069,0.27742,1.65846,2.04146,1.14191,0.00505,0,0.00122807,0.00122807,0.00122807
19,1218.59,1.63021,2.02013,1.01759,0.00394,1.149,0.7017,0.59254,0.6519,0.35733,0.6475,0.53359,0.56365,0.25505,1.62414,2.00837,1.12189,0.00499,0,0.00122543,0.00122543,0.00122543
20,1282.01,1.61664,2.00644,1.00833,0.00395,1.15734,0.6978,0.62221,0.66812,0.37686,0.64583,0.55155,0.5766,0.27295,1.65002,1.99677,1.12068,0.00496,0,0.00122265,0.00122265,0.00122265
21,1346.66,1.63106,2.0141,1.01827,0.00394,1.19408,0.71605,0.5847,0.66365,0.36704,0.66242,0.53328,0.57441,0.26719,1.63219,1.98192,1.14523,0.00489,0,0.00121972,0.00121972,0.00121972
22,1410.55,1.59186,1.98639,1.00823,0.00393,1.12864,0.69685,0.61472,0.66381,0.37062,0.67723,0.57095,0.59867,0.27838,1.61177,1.96731,1.09612,0.00484,0,0.00121664,0.00121664,0.00121664
23,1473.95,1.60213,1.99504,1.00926,0.00389,1.14727,0.71276,0.61733,0.67924,0.39344,0.73403,0.52932,0.60477,0.28199,1.60528,1.97851,1.11758,0.00483,0,0.00121342,0.00121342,0.00121342
24,1537.77,1.6248,2.01663,1.00768,0.00381,1.12469,0.717,0.60173,0.67956,0.38185,0.66348,0.55569,0.59189,0.28395,1.58916,1.97789,1.08131,0.00477,0,0.00121006,0.00121006,0.00121006
25,1601.1,1.61816,2.01706,1.00838,0.00388,1.14625,0.66226,0.59889,0.64275,0.35611,0.66905,0.52247,0.57568,0.26469,1.64458,1.99153,1.1213,0.00506,0,0.00120655,0.00120655,0.00120655
26,1665.32,1.61986,2.00582,1.00089,0.00387,1.12213,0.7286,0.59654,0.67251,0.37914,0.69861,0.55411,0.61535,0.29743,1.66605,2.05834,1.17986,0.0051,0,0.0012029,0.0012029,0.0012029
27,1729.49,1.60548,1.97995,0.99598,0.00391,1.14499,0.74107,0.59273,0.67063,0.36709,0.68029,0.53885,0.5803,0.27164,1.6179,2.03917,1.14188,0.0049,0,0.00119911,0.00119911,0.00119911
28,1793.36,1.60245,1.99954,0.98027,0.00386,1.11607,0.73619,0.57183,0.66866,0.38368,0.67545,0.55182,0.60596,0.29106,1.65833,2.01984,1.15232,0.00491,0,0.00119518,0.00119518,0.00119518
29,1857.38,1.60075,1.98681,0.98619,0.0039,1.11754,0.73587,0.6166,0.67697,0.38489,0.67595,0.5643,0.59262,0.28278,1.59435,1.97371,1.08793,0.00479,0,0.00119111,0.00119111,0.00119111
30,1920.73,1.59626,1.982,0.99792,0.00394,1.13102,0.69346,0.62843,0.67772,0.37957,0.65754,0.56705,0.59554,0.28178,1.63528,1.9977,1.12229,0.0049,0,0.0011869,0.0011869,0.0011869
31,1983.76,1.61778,2.00448,1.00287,0.0039,1.1854,0.71025,0.62262,0.68293,0.37513,0.64055,0.56285,0.59131,0.27059,1.62179,1.95575,1.07912,0.00503,0,0.00118256,0.00118256,0.00118256
