epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,301.882,3.97106,5.11454,3.66882,3.72804,0,0.30388,0.04109,0.02472,0.00784,0.30125,0.04051,0.02356,0.00746,3.17192,4.30275,2.84074,2.9038,0,0.000415606,0.000415606,0.000415606
2,602.832,3.01147,4.23858,2.76233,2.78621,0,0.35408,0.07368,0.05803,0.02407,0.34099,0.06355,0.0536,0.02078,2.65822,3.94316,2.39459,2.46749,0,0.000815794,0.000815794,0.000815794
3,903.782,2.67561,3.95318,2.4655,2.43688,0,0.38446,0.09054,0.08636,0.03746,0.6017,0.08571,0.07939,0.03463,2.38904,3.48939,2.14642,2.18335,0,0.00119948,0.00119948,0.00119948
4,1205.08,2.4816,3.70703,2.22814,2.20864,0,0.12779,0.15911,0.11757,0.05121,0.38361,0.11053,0.10208,0.04324,2.23092,3.25071,1.98321,1.95301,0,0.00117575,0.00117575,0.00117575
5,1506.82,2.34576,3.54711,2.06773,2.04985,0,0.26173,0.19628,0.1645,0.07646,0.18551,0.15186,0.13068,0.05596,2.03144,3.11366,1.80596,1.8043,0,0.001151,0.001151,0.001151
6,1808.88,2.23896,3.38609,1.93093,1.9219,0,0.54143,0.15958,0.176,0.07854,0.46604,0.12381,0.14272,0.05997,2.04395,2.94005,1.75248,1.73469,0,0.00112625,0.00112625,0.00112625
7,2110.11,2.16169,3.25703,1.85932,1.85078,0,0.34997,0.23462,0.21169,0.09743,0.26132,0.18817,0.1741,0.07586,1.89721,2.80241,1.67994,1.66049,0,0.0011015,0.0011015,0.0011015
8,2411.68,2.0961,3.1439,1.78106,1.76767,0,0.30454,0.29923,0.24153,0.115,0.25978,0.23133,0.18901,0.08727,1.8141,2.68946,1.50207,1.60204,0,0.00107675,0.00107675,0.00107675
9,2713.42,2.01541,3.05936,1.69152,1.70236,0,0.3449,0.32296,0.28247,0.13383,0.28685,0.25965,0.22997,0.10417,1.76839,2.58189,1.43965,1.54694,0,0.001052,0.001052,0.001052
10,3017.11,1.97082,2.98778,1.65297,1.65458,0,0.36933,0.3182,0.29793,0.14265,0.30048,0.25117,0.2331,0.1044,1.72663,2.52612,1.40491,1.53295,0,0.00102725,0.00102725,0.00102725
11,3321.38,1.91742,2.92502,1.6161,1.62516,0,0.39771,0.31768,0.31133,0.1493,0.3134,0.25536,0.24302,0.10889,1.68302,2.45651,1.43096,1.48141,0,0.0010025,0.0010025,0.0010025
12,3625.13,1.89124,2.88218,1.57446,1.59361,0,0.39668,0.38289,0.32372,0.15912,0.34239,0.30013,0.26616,0.12262,1.64252,2.38929,1.32583,1.45377,0,0.00097775,0.00097775,0.00097775
13,3928.75,1.83865,2.79279,1.53633,1.56449,0,0.40595,0.36955,0.33899,0.16309,0.34095,0.30762,0.27665,0.12219,1.65451,2.37643,1.35625,1.44761,0,0.000953,0.000953,0.000953
14,4232.38,1.81741,2.79207,1.51744,1.54161,0,0.48115,0.37646,0.38172,0.18546,0.40291,0.30214,0.30108,0.13412,1.60779,2.34332,1.31935,1.41116,0,0.00092825,0.00092825,0.00092825
15,4535.91,1.76922,2.71699,1.47549,1.50877,0,0.45061,0.36694,0.37034,0.18017,0.40804,0.30017,0.30202,0.1343,1.56942,2.28325,1.24554,1.39789,0,0.0009035,0.0009035,0.0009035
16,4839.84,1.76784,2.72017,1.46042,1.48502,0,0.47331,0.41206,0.4024,0.19931,0.40579,0.34245,0.32128,0.13501,1.61018,2.33576,1.26559,1.40631,0,0.00087875,0.00087875,0.00087875
17,5143.48,1.73892,2.67185,1.43176,1.46737,0,0.50738,0.39866,0.40954,0.20692,0.45016,0.34196,0.33967,0.15212,1.5117,2.19736,1.21734,1.36463,0,0.000854,0.000854,0.000854
