epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0372,1.87425,3.19263,2.63266,1.40012,0,0.75449,0.2077,0.21457,0.11649,0.67486,0.15101,0.14908,0.07567,1.51684,2.38972,1.58295,1.20528,0,0.000414552,0.000414552,0.000414552
2,173.136,1.66149,2.73101,1.64054,1.26914,0,0.38436,0.34815,0.30535,0.16066,0.29783,0.25404,0.22666,0.10573,1.45001,2.3302,1.39364,1.20368,0,0.000820246,0.000820246,0.000820246
3,258.599,1.60535,2.63374,1.49557,1.23684,0,0.44119,0.39622,0.36773,0.19305,0.33897,0.32637,0.27598,0.12294,1.42882,2.28724,1.33925,1.17541,0,0.00121494,0.00121494,0.00121494
4,344.114,1.57102,2.58296,1.43941,1.22201,0,0.52998,0.40333,0.42379,0.22469,0.4783,0.34241,0.33785,0.15218,1.39901,2.16175,1.24553,1.16581,0,0.0012005,0.0012005,0.0012005
5,428.807,1.54841,2.54342,1.38871,1.21101,0,0.54602,0.40223,0.42942,0.23678,0.44902,0.32521,0.32525,0.14721,1.37086,2.16936,1.29324,1.15532,0,0.001184,0.001184,0.001184
6,513.797,1.50815,2.498,1.33225,1.18979,0,0.6111,0.43434,0.47081,0.25963,0.51379,0.36588,0.35664,0.16885,1.35084,2.07412,1.1453,1.14653,0,0.0011675,0.0011675,0.0011675
7,598.542,1.47569,2.46423,1.2962,1.18378,0,0.65457,0.43542,0.49819,0.27668,0.5736,0.37751,0.40363,0.18724,1.3646,2.12202,1.20121,1.13543,0,0.001151,0.001151,0.001151
8,684.715,1.46775,2.43621,1.27084,1.16894,0,0.59656,0.48129,0.50383,0.27341,0.50961,0.41974,0.39406,0.17996,1.3163,2.02804,1.15907,1.12407,0,0.0011345,0.0011345,0.0011345
9,770.206,1.4556,2.39696,1.23422,1.16072,0,0.63584,0.5228,0.56123,0.30743,0.56369,0.44134,0.44342,0.19401,1.30583,1.96665,1.08058,1.10899,0,0.001118,0.001118,0.001118
10,855.72,1.44125,2.37831,1.21411,1.14672,0,0.6645,0.52196,0.57104,0.3209,0.55893,0.43521,0.43482,0.19572,1.30246,1.97744,1.05926,1.11404,0,0.0011015,0.0011015,0.0011015
11,940.752,1.43305,2.37102,1.21539,1.15226,0,0.67009,0.51749,0.56584,0.31331,0.58388,0.42661,0.42915,0.19223,1.28384,1.9867,1.04871,1.10306,0,0.001085,0.001085,0.001085
12,1026.14,1.41684,2.34193,1.18471,1.14026,0,0.68543,0.52474,0.57409,0.31063,0.59567,0.45228,0.45272,0.19445,1.2703,1.93982,1.10993,1.09514,0,0.0010685,0.0010685,0.0010685
13,1111.13,1.40782,2.32225,1.16296,1.1386,0,0.62657,0.54061,0.57161,0.31508,0.55129,0.48776,0.46039,0.20225,1.26855,1.93617,1.09397,1.09161,0,0.001052,0.001052,0.001052
14,1196.25,1.39321,2.29981,1.15078,1.1325,0,0.66517,0.54531,0.5921,0.32239,0.60305,0.48166,0.4913,0.2209,1.25367,1.89975,1.052,1.09251,0,0.0010355,0.0010355,0.0010355
15,1281.31,1.38533,2.30383,1.13455,1.12623,0,0.68394,0.55176,0.61265,0.33029,0.59726,0.49755,0.50825,0.22066,1.27472,1.89408,1.0178,1.09408,0,0.001019,0.001019,0.001019
16,1366.61,1.37837,2.28051,1.12006,1.11818,0,0.70331,0.5414,0.62111,0.35682,0.63291,0.48192,0.51038,0.2319,1.24171,1.88351,0.97404,1.0809,0,0.0010025,0.0010025,0.0010025
17,1451.69,1.38879,2.29416,1.13268,1.12611,0,0.64834,0.54945,0.60096,0.34032,0.59656,0.47198,0.49361,0.22876,1.24052,1.90495,1.02342,1.07492,0,0.000986,0.000986,0.000986
18,1536.72,1.35847,2.24496,1.10756,1.11656,0,0.73439,0.54385,0.63562,0.36451,0.64288,0.45728,0.50598,0.22687,1.23954,1.89826,0.9873,1.08054,0,0.0009695,0.0009695,0.0009695
19,1622.46,1.36132,2.25185,1.0916,1.11057,0,0.70961,0.57015,0.6368,0.36698,0.63845,0.50274,0.52053,0.23836,1.24306,1.84982,0.98558,1.0679,0,0.000953,0.000953,0.000953
20,1707.77,1.35023,2.22425,1.08723,1.11009,0,0.72825,0.55695,0.63695,0.3705,0.65836,0.46573,0.50967,0.22979,1.22848,1.84382,0.97476,1.08172,0,0.0009365,0.0009365,0.0009365
21,1793.01,1.35765,2.23936,1.08233,1.10807,0,0.69326,0.58431,0.63745,0.36432,0.62656,0.52724,0.53221,0.24198,1.21213,1.83923,0.96702,1.07221,0,0.00092,0.00092,0.00092
22,1878.66,1.33365,2.20783,1.06177,1.10445,0,0.71248,0.58101,0.63762,0.37407,0.66011,0.51161,0.53908,0.24452,1.22009,1.82941,0.94622,1.06301,0,0.0009035,0.0009035,0.0009035
23,1965.52,1.3439,2.21609,1.05195,1.10015,0,0.72775,0.5689,0.65116,0.36966,0.67767,0.50944,0.54302,0.24591,1.21932,1.82014,0.95922,1.07372,0,0.000887,0.000887,0.000887
24,2051.08,1.33683,2.20362,1.05073,1.09632,0,0.73748,0.56978,0.65034,0.37079,0.64654,0.49838,0.52428,0.23188,1.2168,1.82688,0.9452,1.07793,0,0.0008705,0.0008705,0.0008705
25,2136.53,1.32931,2.20109,1.04577,1.09772,0,0.73648,0.59418,0.65996,0.38135,0.65129,0.53872,0.55357,0.25583,1.23026,1.81118,0.94595,1.06794,0,0.000854,0.000854,0.000854
26,2222.35,1.31826,2.18364,1.03202,1.08984,0,0.72813,0.59822,0.65763,0.37258,0.62859,0.51848,0.52862,0.23613,1.19127,1.80575,0.97242,1.06293,0,0.0008375,0.0008375,0.0008375
27,2307.54,1.31884,2.17219,1.03625,1.09346,0,0.7346,0.56679,0.65186,0.37618,0.67816,0.51056,0.55086,0.24948,1.21008,1.80777,0.93191,1.06788,0,0.000821,0.000821,0.000821
28,2392.95,1.30318,2.1656,1.02068,1.08381,0,0.75099,0.57366,0.65612,0.37487,0.69748,0.51254,0.56563,0.25317,1.20068,1.82158,0.95033,1.06609,0,0.0008045,0.0008045,0.0008045
29,2478.56,1.29707,2.13733,1.0093,1.086,0,0.72195,0.59775,0.67367,0.38433,0.65138,0.53411,0.55628,0.24867,1.19738,1.80321,0.93396,1.0622,0,0.000788,0.000788,0.000788
30,2563.92,1.30076,2.1571,1.01142,1.08518,0,0.73359,0.61297,0.68247,0.39669,0.67028,0.53209,0.56374,0.25344,1.18526,1.78569,0.91225,1.05807,0,0.0007715,0.0007715,0.0007715
31,2650.02,1.30786,2.16055,1.00263,1.08141,0,0.77237,0.5966,0.68665,0.40389,0.69938,0.53067,0.56186,0.25157,1.20232,1.78975,0.93336,1.06633,0,0.000755,0.000755,0.000755
32,2735.76,1.29949,2.14349,0.99566,1.0816,0,0.75005,0.59219,0.67612,0.39819,0.68045,0.52148,0.55916,0.2486,1.20517,1.79499,0.93691,1.06145,0,0.0007385,0.0007385,0.0007385
33,2821.1,1.28281,2.11842,0.98978,1.07817,0,0.73886,0.60078,0.68431,0.39997,0.6748,0.54118,0.5863,0.2641,1.181,1.78318,0.9079,1.05693,0,0.000722,0.000722,0.000722
34,2906.86,1.28548,2.11251,0.97514,1.07177,0,0.75489,0.61274,0.68641,0.40339,0.68358,0.54953,0.58169,0.27237,1.17869,1.75693,0.90469,1.06021,0,0.0007055,0.0007055,0.0007055
35,2991.66,1.2835,2.10165,0.98788,1.07764,0,0.78486,0.58881,0.67331,0.39398,0.71646,0.52285,0.56737,0.26076,1.167,1.78061,0.89913,1.0536,0,0.000689,0.000689,0.000689
36,3077.19,1.28303,2.10133,0.96882,1.07364,0,0.76664,0.58875,0.67476,0.39935,0.68203,0.51387,0.5529,0.25461,1.17715,1.77529,0.9021,1.05271,0,0.0006725,0.0006725,0.0006725
37,3162.39,1.26769,2.085,0.97072,1.06829,0,0.76037,0.60178,0.6834,0.3933,0.6911,0.54418,0.57596,0.26537,1.17757,1.76449,0.92038,1.05375,0,0.000656,0.000656,0.000656
38,3247.96,1.26232,2.08385,0.95945,1.06606,0,0.76801,0.58672,0.68434,0.39734,0.70283,0.5309,0.57755,0.2653,1.17144,1.7438,0.92424,1.05054,0,0.0006395,0.0006395,0.0006395
