epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5242,1.87939,3.19381,2.62529,1.40305,0,0.73983,0.20728,0.20715,0.11223,0.68111,0.1458,0.14762,0.07395,1.5291,2.43584,1.5631,1.2169,0,0.000414552,0.000414552,0.000414552
2,182.643,1.6604,2.73037,1.63987,1.26662,0,0.37662,0.35122,0.31506,0.16827,0.33819,0.27185,0.24372,0.11152,1.43879,2.27858,1.35694,1.20172,0,0.00081476,0.00081476,0.00081476
3,270.628,1.60898,2.63902,1.49318,1.23395,0,0.4804,0.3637,0.35355,0.18975,0.40565,0.29432,0.26719,0.11413,1.44432,2.31899,1.35856,1.19354,0,0.00119847,0.00119847,0.00119847
4,357.928,1.56722,2.57436,1.43483,1.21888,0,0.5262,0.43112,0.43494,0.23122,0.49297,0.35398,0.35563,0.16057,1.40779,2.13311,1.22107,1.16393,0,0.00117575,0.00117575,0.00117575
5,444.841,1.53692,2.53383,1.38705,1.20368,0,0.47216,0.43706,0.43532,0.24002,0.5123,0.31554,0.34234,0.15239,1.38771,2.14762,1.24505,1.14761,0,0.001151,0.001151,0.001151
6,531.802,1.50865,2.4908,1.33111,1.18822,0,0.6617,0.45663,0.51007,0.28283,0.56614,0.38942,0.39801,0.17904,1.3402,2.06504,1.11948,1.12996,0,0.00112625,0.00112625,0.00112625
7,617.273,1.47598,2.45852,1.29396,1.18231,0,0.62759,0.42324,0.46586,0.26137,0.57081,0.3681,0.38775,0.18375,1.38152,2.11076,1.27445,1.15289,0,0.0011015,0.0011015,0.0011015
8,703.366,1.45817,2.42836,1.26285,1.16658,0,0.61847,0.4947,0.5287,0.28631,0.51793,0.41749,0.40524,0.18651,1.30913,2.02102,1.12595,1.12447,0,0.00107675,0.00107675,0.00107675
9,789.442,1.45013,2.3933,1.23661,1.16009,0,0.57632,0.51264,0.53398,0.29618,0.54243,0.40664,0.4176,0.18316,1.31654,2.00222,1.08596,1.1163,0,0.001052,0.001052,0.001052
10,877.109,1.43634,2.37104,1.21038,1.14468,0,0.6609,0.51385,0.56615,0.313,0.53215,0.44847,0.44325,0.1945,1.31438,1.98832,1.08388,1.11145,0,0.00102725,0.00102725,0.00102725
11,964.664,1.42402,2.36305,1.20844,1.14923,0,0.68182,0.50399,0.58151,0.31591,0.55144,0.46675,0.46016,0.20048,1.29498,1.96378,1.02964,1.10962,0,0.0010025,0.0010025,0.0010025
12,1054.15,1.40551,2.33178,1.17808,1.13757,0,0.66758,0.54794,0.58175,0.31811,0.56761,0.44364,0.44409,0.19451,1.28013,1.96825,1.09775,1.09488,0,0.00097775,0.00097775,0.00097775
13,1141.25,1.40377,2.31224,1.16695,1.13652,0,0.67013,0.55179,0.5955,0.33247,0.62305,0.48118,0.49384,0.22034,1.26637,1.95872,1.03016,1.09202,0,0.000953,0.000953,0.000953
14,1227.85,1.38586,2.29093,1.14381,1.13079,0,0.68682,0.56656,0.61189,0.34415,0.63783,0.49436,0.52287,0.229,1.26471,1.90036,1.01512,1.0951,0,0.00092825,0.00092825,0.00092825
15,1314.71,1.37812,2.29892,1.1268,1.12549,0,0.64345,0.56614,0.60086,0.33848,0.56045,0.50026,0.48814,0.21463,1.26041,1.91391,1.07805,1.09203,0,0.0009035,0.0009035,0.0009035
16,1401.57,1.37008,2.25994,1.10926,1.1159,0,0.71975,0.55206,0.62891,0.36263,0.65635,0.49358,0.52005,0.23915,1.25055,1.8921,0.97333,1.08596,0,0.00087875,0.00087875,0.00087875
17,1488.23,1.37514,2.27748,1.1258,1.12275,0,0.68117,0.55314,0.61769,0.35507,0.59609,0.4844,0.50426,0.23828,1.2291,1.89185,1.03134,1.06772,0,0.000854,0.000854,0.000854
