epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3661,1.77088,2.79389,2.7276,0.00498,5.00224,0.68629,0.17601,0.15975,0.08208,0.66426,0.14893,0.13789,0.06193,1.99555,2.83249,2.19549,0.0068,0,0.000408333,0.000408333,0.000408333
2,110.688,1.76474,2.48026,1.59971,0.00475,2.37172,0.38111,0.33819,0.28522,0.13034,0.33326,0.29941,0.23206,0.096,1.84416,2.8905,1.76613,0.00642,0,0.00082495,0.00082495,0.00082495
3,161.505,1.74127,2.37953,1.50993,0.00485,2.08663,0.19309,0.24387,0.16298,0.07673,0.24812,0.15933,0.13217,0.05708,1.92741,2.69757,2.9602,0.00712,0,0.00124136,0.00124136,0.00124136
4,212.597,1.74425,2.35358,1.49055,0.00507,2.06156,0.30187,0.34569,0.22899,0.11379,0.26456,0.30877,0.20325,0.08992,1.93914,2.53932,3.23172,0.00716,0,0.00124931,0.00124931,0.00124931
5,263.268,1.74252,2.33588,1.4391,0.00494,1.97372,0.41192,0.37834,0.35091,0.17645,0.3755,0.34864,0.30513,0.1282,1.81539,2.32154,1.99015,0.00641,0,0.00124878,0.00124878,0.00124878
6,314.529,1.71619,2.298,1.4054,0.00477,1.90493,0.3087,0.4066,0.28635,0.14255,0.27516,0.35343,0.24439,0.11331,1.8014,2.33776,2.36253,0.00636,0,0.00124809,0.00124809,0.00124809
7,365.026,1.70613,2.28268,1.39273,0.00482,1.87082,0.4543,0.41596,0.38675,0.19006,0.45626,0.34565,0.33567,0.153,1.85237,2.41228,1.74266,0.00627,0,0.00124725,0.00124725,0.00124725
8,416.671,1.69004,2.26292,1.37715,0.00473,1.85254,0.43786,0.43758,0.40961,0.19329,0.4228,0.39385,0.36323,0.15605,1.78818,2.28727,1.69213,0.00605,0,0.00124626,0.00124626,0.00124626
9,467.735,1.68427,2.21057,1.33826,0.00469,1.75438,0.52129,0.41205,0.42998,0.21576,0.47704,0.38123,0.38242,0.17481,1.74968,2.22137,1.5017,0.00608,0,0.00124512,0.00124512,0.00124512
10,519.13,1.66758,2.2052,1.33098,0.00467,1.73082,0.5633,0.46661,0.45938,0.23747,0.51181,0.412,0.39332,0.17678,1.77663,2.26557,1.62306,0.00573,0,0.00124383,0.00124383,0.00124383
11,570.372,1.68598,2.21599,1.32652,0.00461,1.76294,0.42067,0.39029,0.35501,0.186,0.4151,0.33562,0.31128,0.14658,1.73716,2.25875,1.57665,0.00604,0,0.00124238,0.00124238,0.00124238
12,621.825,1.6621,2.18362,1.30417,0.00458,1.75184,0.55232,0.4552,0.49067,0.24308,0.55025,0.40289,0.42902,0.1934,1.71174,2.14392,1.37421,0.00574,0,0.00124079,0.00124079,0.00124079
13,672.667,1.66538,2.17173,1.29963,0.00467,1.68843,0.51174,0.44887,0.42813,0.21605,0.50502,0.40587,0.36998,0.16377,1.72033,2.18842,1.45869,0.00595,0,0.00123904,0.00123904,0.00123904
14,724.088,1.66333,2.17474,1.27896,0.00454,1.6904,0.4885,0.48081,0.45794,0.23439,0.46727,0.43748,0.40967,0.18605,1.74886,2.18217,1.42021,0.00609,0,0.00123714,0.00123714,0.00123714
15,775.014,1.63829,2.1444,1.26024,0.00457,1.67357,0.59092,0.48582,0.51294,0.25461,0.56852,0.43547,0.4526,0.19934,1.69716,2.14976,1.34045,0.00571,0,0.0012351,0.0012351,0.0012351
16,826.949,1.66565,2.16012,1.25322,0.00441,1.67808,0.53202,0.44576,0.44175,0.2178,0.49628,0.39599,0.37786,0.16601,1.75709,2.25976,1.42964,0.00594,0,0.0012329,0.0012329,0.0012329
17,878.133,1.63318,2.13528,1.2411,0.00443,1.62501,0.60674,0.48681,0.5065,0.25601,0.57452,0.44236,0.44626,0.21276,1.70348,2.10654,1.38909,0.00567,0,0.00123056,0.00123056,0.00123056
18,929.481,1.6261,2.12726,1.27072,0.00451,1.68035,0.57454,0.52961,0.52505,0.27659,0.54497,0.46556,0.45635,0.20418,1.66492,2.20105,1.33847,0.00553,0,0.00122807,0.00122807,0.00122807
19,980.598,1.61483,2.12181,1.23274,0.00437,1.60777,0.57037,0.50659,0.52386,0.27475,0.51864,0.45269,0.44895,0.20658,1.65449,2.0829,1.40416,0.00546,0,0.00122543,0.00122543,0.00122543
20,1032.07,1.60335,2.08759,1.22032,0.0044,1.59024,0.51639,0.48533,0.46502,0.23669,0.47077,0.45055,0.40841,0.1874,1.6799,2.14783,1.40079,0.00559,0,0.00122265,0.00122265,0.00122265
21,1083.1,1.61509,2.09803,1.21371,0.00437,1.58317,0.58612,0.48303,0.51362,0.25251,0.53347,0.44517,0.4419,0.19682,1.72535,2.08607,1.32731,0.00585,0,0.00121972,0.00121972,0.00121972
22,1134.33,1.59891,2.06476,1.19132,0.00438,1.53913,0.67266,0.50233,0.56448,0.30103,0.64047,0.4537,0.49701,0.23414,1.63939,2.06073,1.21578,0.00533,0,0.00121664,0.00121664,0.00121664
23,1185.86,1.59174,2.07424,1.17754,0.00424,1.5421,0.53233,0.52709,0.51191,0.26832,0.49539,0.47133,0.43539,0.20523,1.65526,2.0812,1.4108,0.0056,0,0.00121342,0.00121342,0.00121342
24,1237.12,1.59025,2.06873,1.18588,0.00423,1.53724,0.62665,0.4923,0.51362,0.27015,0.5648,0.44007,0.42849,0.20143,1.61474,2.07262,1.32092,0.00539,0,0.00121006,0.00121006,0.00121006
25,1287.94,1.60554,2.07017,1.1856,0.00432,1.55132,0.59854,0.52825,0.54514,0.28854,0.55837,0.46971,0.46376,0.22378,1.63481,2.0325,1.2442,0.00553,0,0.00120655,0.00120655,0.00120655
26,1339.52,1.60206,2.04966,1.17734,0.00427,1.50297,0.5179,0.53066,0.52586,0.28221,0.50686,0.45241,0.44821,0.20582,1.63212,2.06472,1.31591,0.00546,0,0.0012029,0.0012029,0.0012029
27,1390.38,1.59046,2.0558,1.16683,0.00418,1.49522,0.63402,0.52868,0.56591,0.29724,0.588,0.48841,0.50251,0.23438,1.61208,2.03565,1.22895,0.00526,0,0.00119911,0.00119911,0.00119911
28,1441.5,1.58306,2.04511,1.15595,0.0042,1.48919,0.64672,0.4973,0.54861,0.29037,0.61812,0.45604,0.48326,0.2281,1.70846,2.14273,1.36392,0.00551,0,0.00119518,0.00119518,0.00119518
29,1492.37,1.57359,2.02582,1.16111,0.0042,1.50999,0.5931,0.48485,0.51646,0.26401,0.54612,0.43532,0.44491,0.20597,1.67354,2.11935,1.68844,0.00557,0,0.00119111,0.00119111,0.00119111
30,1543.54,1.58189,2.04879,1.17728,0.00424,1.49579,0.61695,0.56725,0.5769,0.30732,0.57341,0.52173,0.50963,0.23827,1.6094,2.04817,1.20561,0.00511,0,0.0011869,0.0011869,0.0011869
31,1594.67,1.58731,2.03021,1.14443,0.00413,1.46195,0.60306,0.51096,0.52784,0.28056,0.57155,0.46967,0.47426,0.22069,1.65222,2.06363,1.31737,0.00536,0,0.00118256,0.00118256,0.00118256
32,1646.19,1.58242,2.0311,1.16168,0.00418,1.46332,0.57976,0.53673,0.56473,0.30443,0.57963,0.48909,0.50727,0.23624,1.63966,2.03223,1.47468,0.00528,0,0.00117808,0.00117808,0.00117808
33,1697.04,1.5612,2.02202,1.15176,0.00419,1.482,0.60584,0.55618,0.59129,0.31836,0.57609,0.51425,0.52448,0.24993,1.56926,1.98305,1.20239,0.00505,0,0.00117346,0.00117346,0.00117346
34,1748.38,1.57667,2.03056,1.14028,0.00414,1.43485,0.60976,0.55326,0.5837,0.31526,0.57179,0.51483,0.53004,0.25428,1.62228,2.02342,1.19507,0.00535,0,0.00116872,0.00116872,0.00116872
35,1799.65,1.56751,1.99521,1.12684,0.00408,1.41102,0.60751,0.52812,0.56246,0.29624,0.54737,0.51422,0.50273,0.23466,1.65784,1.99923,1.43086,0.00535,0,0.00116383,0.00116383,0.00116383
36,1851.18,1.56861,2.01599,1.1249,0.00411,1.40276,0.62335,0.5449,0.58401,0.31015,0.60942,0.49884,0.52122,0.24721,1.62741,2.06737,1.21,0.00531,0,0.00115882,0.00115882,0.00115882
37,1902.14,1.56178,2.01237,1.11785,0.00412,1.39631,0.68074,0.55946,0.61417,0.33223,0.63824,0.52227,0.54678,0.26777,1.58356,2.00262,1.17219,0.00509,0,0.00115368,0.00115368,0.00115368
38,1953.61,1.56377,2.00249,1.12599,0.00405,1.39632,0.63968,0.58259,0.60921,0.30669,0.61534,0.51052,0.54094,0.24502,1.58799,2.00248,1.17513,0.00532,0,0.00114841,0.00114841,0.00114841
39,2004.78,1.567,2.01817,1.11738,0.00412,1.36768,0.65977,0.56624,0.61564,0.34072,0.62202,0.53104,0.5608,0.26941,1.58122,1.99626,1.21612,0.00508,0,0.00114301,0.00114301,0.00114301
40,2056.5,1.55227,1.98314,1.10582,0.00402,1.36098,0.62647,0.53825,0.57092,0.29791,0.60686,0.48521,0.50615,0.23565,1.69468,2.06828,1.29391,0.00561,0,0.00113748,0.00113748,0.00113748
41,2107.24,1.52752,1.97221,1.12246,0.00414,1.42477,0.62315,0.52092,0.55897,0.3068,0.58189,0.46065,0.48686,0.2278,1.61928,2.0801,1.292,0.00534,0,0.00113183,0.00113183,0.00113183
42,2158.59,1.54735,1.98026,1.10469,0.00396,1.39826,0.65522,0.60309,0.62169,0.34642,0.62532,0.56142,0.56605,0.27257,1.56712,1.95969,1.16486,0.00507,0,0.00112605,0.00112605,0.00112605
43,2209.64,1.53312,1.96766,1.09463,0.00403,1.37249,0.58914,0.58359,0.58514,0.31134,0.56787,0.52468,0.52146,0.24415,1.56302,1.94846,1.14827,0.00506,0,0.00112016,0.00112016,0.00112016
44,2261.16,1.52927,1.95786,1.07855,0.00397,1.32652,0.66479,0.58421,0.63208,0.35018,0.60408,0.53686,0.54035,0.25764,1.54866,1.99241,1.12139,0.00497,0,0.00111414,0.00111414,0.00111414
