epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0262,1.96809,3.07409,3.2015,0.00586,6.51394,0.44339,0.17574,0.16049,0.08182,0.416,0.13787,0.12459,0.05526,1.92808,2.78633,2.40764,0.00679,0,0.000408333,0.000408333,0.000408333
2,75.101,1.87,2.60546,1.73727,0.00508,2.53202,0.24219,0.25334,0.2033,0.09698,0.22895,0.20561,0.172,0.07325,2.03671,2.7742,2.26014,0.0071,0,0.00082495,0.00082495,0.00082495
3,107.971,1.8284,2.5095,1.61951,0.00513,2.1322,0.2698,0.2393,0.1855,0.08931,0.22127,0.20749,0.15434,0.06682,2.05718,3.05121,2.04318,0.00789,0,0.00124136,0.00124136,0.00124136
4,140.659,1.81616,2.4781,1.58676,0.00524,2.06944,0.37684,0.16699,0.14323,0.06641,0.38865,0.12487,0.12472,0.05253,2.17863,2.88231,3.24877,0.00834,0,0.00124931,0.00124931,0.00124931
5,173.326,1.82231,2.46835,1.54136,0.00519,2.01402,0.40667,0.32293,0.27806,0.131,0.35215,0.26731,0.22316,0.09221,1.939,2.57833,1.78604,0.00704,0,0.00124878,0.00124878,0.00124878
6,206.07,1.8126,2.42965,1.51574,0.0051,1.94659,0.5004,0.37314,0.36527,0.18309,0.47664,0.3282,0.31534,0.13979,1.89221,2.43391,1.70699,0.00655,0,0.00124809,0.00124809,0.00124809
7,239.01,1.7784,2.38268,1.46833,0.00498,1.84249,0.47957,0.35477,0.34129,0.17275,0.42837,0.29833,0.28883,0.13409,1.9096,2.44417,1.70657,0.00672,0,0.00124725,0.00124725,0.00124725
8,272.015,1.76888,2.37248,1.44604,0.00493,1.8424,0.42675,0.39875,0.34446,0.16794,0.40559,0.36111,0.31306,0.13521,1.89863,2.40271,1.80259,0.00673,0,0.00124626,0.00124626,0.00124626
9,304.925,1.74933,2.32116,1.42255,0.00486,1.78024,0.59144,0.35075,0.3737,0.18908,0.57533,0.32882,0.35379,0.15243,1.86633,2.41439,1.61965,0.00665,0,0.00124512,0.00124512,0.00124512
10,337.689,1.74261,2.32566,1.41645,0.00487,1.74681,0.6002,0.40835,0.42396,0.21112,0.54047,0.36692,0.36624,0.15575,1.80119,2.38075,1.52134,0.00605,0,0.00124383,0.00124383,0.00124383
11,370.806,1.75315,2.32976,1.40009,0.00477,1.76038,0.50885,0.42333,0.429,0.21846,0.45941,0.35321,0.35417,0.15843,1.78064,2.36616,1.47687,0.0062,0,0.00124238,0.00124238,0.00124238
12,403.852,1.74396,2.30679,1.39219,0.00478,1.75424,0.52669,0.36592,0.37597,0.18939,0.46967,0.31851,0.31248,0.13488,1.95708,2.50423,1.73728,0.00681,0,0.00124079,0.00124079,0.00124079
13,436.507,1.73999,2.2926,1.37859,0.00486,1.72897,0.52124,0.45038,0.44678,0.22772,0.53059,0.39844,0.40119,0.17404,1.75878,2.23924,1.46772,0.00601,0,0.00123904,0.00123904,0.00123904
14,469.257,1.73937,2.30823,1.37323,0.00473,1.7658,0.50001,0.4332,0.41906,0.20373,0.46188,0.37532,0.35612,0.15279,1.81976,2.37008,1.59481,0.00633,0,0.00123714,0.00123714,0.00123714
15,501.894,1.71895,2.26917,1.35286,0.00479,1.68939,0.59032,0.46211,0.49212,0.2459,0.52717,0.40787,0.40918,0.17547,1.7407,2.2389,1.37063,0.00589,0,0.0012351,0.0012351,0.0012351
16,534.973,1.75788,2.29912,1.34249,0.00467,1.69769,0.55922,0.43353,0.46022,0.23114,0.56246,0.38836,0.41151,0.16501,1.73108,2.31374,1.55312,0.00595,0,0.0012329,0.0012329,0.0012329
17,567.939,1.71648,2.25889,1.33749,0.00472,1.69274,0.55565,0.42485,0.41106,0.20261,0.52276,0.38557,0.36494,0.16374,1.83644,2.28974,1.47252,0.00613,0,0.00123056,0.00123056,0.00123056
18,600.414,1.7147,2.23377,1.33837,0.00478,1.67044,0.59033,0.45532,0.4955,0.25236,0.55473,0.41315,0.42639,0.182,1.69964,2.31473,1.36384,0.00565,0,0.00122807,0.00122807,0.00122807
19,633.109,1.69237,2.22748,1.3101,0.00457,1.6124,0.56707,0.46085,0.51579,0.26047,0.5288,0.41472,0.44234,0.19139,1.73678,2.22313,1.38222,0.00581,0,0.00122543,0.00122543,0.00122543
20,665.835,1.68243,2.19714,1.29766,0.00459,1.63639,0.58365,0.48291,0.50707,0.26705,0.5687,0.43438,0.46142,0.20909,1.69354,2.20068,1.35854,0.00577,0,0.00122265,0.00122265,0.00122265
21,698.966,1.70554,2.23362,1.31017,0.00461,1.63453,0.61357,0.47458,0.52242,0.26849,0.57984,0.42972,0.45243,0.20523,1.7076,2.18229,1.38022,0.00567,0,0.00121972,0.00121972,0.00121972
22,731.432,1.684,2.20097,1.28586,0.00464,1.59804,0.53979,0.39825,0.4323,0.2146,0.5521,0.35402,0.38791,0.16252,1.7669,2.33019,1.66289,0.00622,0,0.00121664,0.00121664,0.00121664
23,764.358,1.69702,2.22148,1.296,0.00454,1.62894,0.59153,0.43493,0.46333,0.22538,0.54895,0.3867,0.3976,0.1777,1.77767,2.30106,1.49127,0.00617,0,0.00121342,0.00121342,0.00121342
24,796.86,1.7015,2.2067,1.28588,0.00457,1.60013,0.61075,0.46491,0.49469,0.26044,0.55641,0.40805,0.42388,0.19614,1.73452,2.24088,1.40356,0.00583,0,0.00121006,0.00121006,0.00121006
25,829.226,1.69466,2.19696,1.27458,0.00453,1.55341,0.585,0.50879,0.52683,0.26667,0.53296,0.45039,0.44987,0.1975,1.66883,2.14536,1.32207,0.00556,0,0.00120655,0.00120655,0.00120655
26,861.905,1.69002,2.17765,1.25296,0.00447,1.49326,0.67177,0.49488,0.55313,0.29209,0.60414,0.44328,0.47656,0.21628,1.70646,2.14564,1.29779,0.00563,0,0.0012029,0.0012029,0.0012029
27,894.537,1.69242,2.20306,1.25843,0.00447,1.52899,0.64117,0.48794,0.53733,0.29186,0.60575,0.43769,0.46091,0.20977,1.71135,2.20547,1.35382,0.00565,0,0.00119911,0.00119911,0.00119911
28,1057.25,1.67341,2.17988,1.24415,0.0044,1.47459,0.61832,0.51135,0.53609,0.26961,0.5677,0.45358,0.45682,0.19795,1.70076,2.18174,1.34187,0.00563,0,0.00119518,0.00119518,0.00119518
29,1089.67,1.67174,2.16477,1.25287,0.00446,1.54269,0.61253,0.52193,0.5484,0.29145,0.60694,0.46943,0.4873,0.21658,1.7214,2.17457,1.33482,0.00544,0,0.00119111,0.00119111,0.00119111
30,1122.1,1.6598,2.16628,1.25942,0.00445,1.53058,0.64584,0.51862,0.56359,0.302,0.59733,0.47719,0.50222,0.23837,1.68051,2.13225,1.33419,0.0055,0,0.0011869,0.0011869,0.0011869
31,1154.91,1.67991,2.17542,1.25029,0.00438,1.55819,0.62705,0.48444,0.53147,0.27564,0.57153,0.43777,0.46716,0.2056,1.73051,2.22417,1.36484,0.00564,0,0.00118256,0.00118256,0.00118256
32,1187.65,1.66596,2.16154,1.24413,0.00438,1.50933,0.63725,0.49319,0.52701,0.28359,0.62276,0.44796,0.47651,0.22815,1.68579,2.1362,1.31402,0.00554,0,0.00117808,0.00117808,0.00117808
33,1220.1,1.63903,2.13727,1.23191,0.00443,1.51931,0.65016,0.52312,0.57031,0.30551,0.60175,0.47418,0.5006,0.22817,1.66607,2.14132,1.46815,0.00538,0,0.00117346,0.00117346,0.00117346
34,1252.64,1.66311,2.167,1.24377,0.00437,1.46723,0.59175,0.5179,0.54296,0.28798,0.53526,0.46975,0.47104,0.20834,1.71619,2.1335,1.38581,0.00558,0,0.00116872,0.00116872,0.00116872
35,1285.76,1.65267,2.13257,1.21774,0.00433,1.43783,0.6194,0.52042,0.54737,0.28439,0.58302,0.45889,0.48985,0.22198,1.68017,2.14218,1.38721,0.00549,0,0.00116383,0.00116383,0.00116383
36,1318.62,1.66019,2.15588,1.22943,0.0044,1.47445,0.6233,0.5133,0.54142,0.28024,0.59604,0.4629,0.47789,0.21622,1.68297,2.16292,1.32033,0.00561,0,0.00115882,0.00115882,0.00115882
37,1351.6,1.64868,2.14794,1.22707,0.00438,1.46273,0.64243,0.51102,0.55532,0.29185,0.59028,0.47845,0.4921,0.2322,1.6881,2.10741,1.31869,0.00562,0,0.00115368,0.00115368,0.00115368
38,1384.28,1.65463,2.13526,1.22875,0.00429,1.47951,0.64252,0.53555,0.5758,0.31367,0.59302,0.4969,0.50906,0.23857,1.65409,2.13596,1.24994,0.00532,0,0.00114841,0.00114841,0.00114841
39,1417.08,1.65828,2.16088,1.22361,0.00436,1.45433,0.63769,0.52774,0.56719,0.29736,0.5775,0.48233,0.48812,0.22313,1.69314,2.18104,1.46612,0.00535,0,0.00114301,0.00114301,0.00114301
40,1450.02,1.64916,2.13709,1.21471,0.00429,1.44273,0.67818,0.54642,0.59909,0.31858,0.63712,0.51373,0.53808,0.24654,1.703,2.13445,1.2521,0.00552,0,0.00113748,0.00113748,0.00113748
41,1482.55,1.60948,2.09493,1.19923,0.00434,1.41532,0.66186,0.54177,0.57346,0.30055,0.61953,0.48081,0.49555,0.22072,1.69281,2.1816,1.31831,0.00558,0,0.00113183,0.00113183,0.00113183
42,1515.36,1.6362,2.11658,1.1935,0.0042,1.42771,0.6952,0.5223,0.58572,0.32064,0.64131,0.48083,0.51304,0.24459,1.6411,2.137,1.29417,0.00531,0,0.00112605,0.00112605,0.00112605
43,1548.06,1.62472,2.09291,1.18538,0.00425,1.39793,0.6016,0.548,0.57,0.30066,0.55734,0.48758,0.49123,0.22568,1.68529,2.14332,1.26399,0.00553,0,0.00112016,0.00112016,0.00112016
44,1580.8,1.62651,2.09963,1.18316,0.00427,1.41203,0.68032,0.50798,0.58921,0.31918,0.57553,0.49296,0.49949,0.22802,1.63141,2.08102,1.2331,0.00527,0,0.00111414,0.00111414,0.00111414
45,1659.18,1.62528,2.09685,1.19766,0.00432,1.43665,0.64913,0.54715,0.58144,0.30915,0.60314,0.51398,0.51719,0.24723,1.66338,2.08086,1.26298,0.00543,0,0.00110801,0.00110801,0.00110801
46,1691.85,1.6347,2.10662,1.18279,0.00429,1.38406,0.65285,0.53191,0.59055,0.32959,0.58479,0.50182,0.51627,0.24622,1.61587,2.04191,1.22102,0.00518,0,0.00110175,0.00110175,0.00110175
47,1724.72,1.62726,2.09434,1.17411,0.00418,1.40347,0.64715,0.56012,0.60661,0.32434,0.60499,0.51415,0.52951,0.24787,1.65143,2.09865,1.19747,0.00533,0,0.00109538,0.00109538,0.00109538
48,1757.33,1.61871,2.0912,1.1793,0.0043,1.38056,0.67313,0.5541,0.59801,0.3261,0.63385,0.50414,0.53016,0.24212,1.64957,2.0965,1.26709,0.00524,0,0.0010889,0.0010889,0.0010889
49,1790.14,1.62659,2.06904,1.17038,0.00416,1.34536,0.64886,0.56503,0.59442,0.32449,0.59549,0.52845,0.53516,0.25767,1.65708,2.07882,1.26925,0.00536,0,0.0010823,0.0010823,0.0010823
50,1823.06,1.63279,2.10985,1.18022,0.00416,1.37928,0.71272,0.53948,0.61036,0.32682,0.64079,0.48922,0.52311,0.24749,1.63768,2.08572,1.24036,0.00515,0,0.00107559,0.00107559,0.00107559
51,1856.34,1.62917,2.09562,1.16255,0.00421,1.35075,0.67067,0.60372,0.64188,0.34675,0.61457,0.55144,0.55442,0.25317,1.61745,2.05204,1.23365,0.00513,0,0.00106877,0.00106877,0.00106877
52,1889.39,1.63531,2.09498,1.15903,0.00418,1.35352,0.67258,0.54083,0.59831,0.33336,0.61481,0.48716,0.51817,0.2425,1.6192,2.11104,1.24036,0.0052,0,0.00106185,0.00106185,0.00106185
