epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0586,1.52903,2.43254,2.17708,0.00519,5.41723,0.43146,0.2488,0.21989,0.11543,0.70248,0.18975,0.19825,0.08592,1.67365,2.24962,2.44794,0.00699,0,0.000412458,0.000412458,0.000412458
2,126.622,1.57702,2.18676,1.51378,0.00518,2.37991,0.39799,0.40491,0.32173,0.15813,0.35557,0.34748,0.27209,0.12467,1.63139,2.18814,1.73627,0.00721,0,0.000829074,0.000829074,0.000829074
3,186.243,1.59556,2.14008,1.43965,0.00564,2.10469,0.29589,0.33549,0.28676,0.14812,0.27864,0.29964,0.25139,0.11446,1.63135,2.11143,2.22476,0.00732,0,0.00124549,0.00124549,0.00124549
4,244.938,1.60903,2.14186,1.45102,0.00574,2.07364,0.36783,0.39031,0.32951,0.16366,0.34255,0.36036,0.29942,0.12969,1.59472,2.09717,1.57703,0.00683,0,0.00124931,0.00124931,0.00124931
5,304.161,1.5815,2.09128,1.4117,0.00542,1.97741,0.36855,0.42182,0.34616,0.17434,0.35112,0.38031,0.32799,0.15207,1.59396,2.06811,1.64421,0.00701,0,0.00124878,0.00124878,0.00124878
6,363.18,1.53637,2.05152,1.37477,0.0053,1.90646,0.41866,0.39599,0.35654,0.1861,0.39692,0.36299,0.31659,0.15213,1.56221,2.00859,1.45014,0.00647,0,0.00124809,0.00124809,0.00124809
7,422.053,1.52518,2.0149,1.35558,0.00529,1.88139,0.42017,0.40531,0.36876,0.19991,0.39532,0.38036,0.33629,0.1611,1.49592,1.95777,2.10126,0.00631,0,0.00124725,0.00124725,0.00124725
8,480.889,1.51503,2.0016,1.32037,0.00514,1.83557,0.53389,0.44527,0.45595,0.25275,0.49251,0.41828,0.41097,0.19968,1.48139,1.88899,1.30118,0.00602,0,0.00124626,0.00124626,0.00124626
9,539.821,1.51135,1.98984,1.29281,0.00506,1.82666,0.57947,0.47716,0.48889,0.26418,0.53163,0.43716,0.42616,0.2055,1.42675,1.87015,1.34775,0.00596,0,0.00124512,0.00124512,0.00124512
10,598.689,1.49526,1.96789,1.28955,0.00501,1.79751,0.51577,0.47229,0.45073,0.24053,0.47123,0.424,0.40469,0.19406,1.56621,1.97245,1.43226,0.00643,0,0.00124383,0.00124383,0.00124383
11,657.317,1.50804,1.96993,1.30112,0.00504,1.80067,0.53923,0.46938,0.4648,0.23977,0.49672,0.43864,0.40983,0.18933,1.54458,1.88626,1.35303,0.00638,0,0.00124238,0.00124238,0.00124238
12,715.749,1.489,1.94661,1.28124,0.00508,1.75549,0.58651,0.49002,0.50826,0.27196,0.55488,0.45574,0.44926,0.2171,1.45511,1.80995,1.26096,0.00604,0,0.00124079,0.00124079,0.00124079
13,774.571,1.46806,1.91913,1.25365,0.00504,1.71659,0.56073,0.47501,0.48152,0.26384,0.52463,0.44239,0.4287,0.19892,1.46956,1.90037,1.36353,0.00614,0,0.00123904,0.00123904,0.00123904
14,833.361,1.47759,1.91485,1.22665,0.00497,1.70423,0.51484,0.48372,0.46085,0.23551,0.49293,0.44557,0.41884,0.18628,1.45898,1.87454,1.24523,0.00607,0,0.00123714,0.00123714,0.00123714
15,892.402,1.47364,1.91104,1.23223,0.00505,1.67204,0.62748,0.48721,0.50841,0.26775,0.57766,0.44996,0.45233,0.21412,1.47754,1.88754,1.29224,0.00622,0,0.0012351,0.0012351,0.0012351
16,951.327,1.45862,1.89387,1.21179,0.00484,1.64551,0.5522,0.54095,0.52678,0.27828,0.56087,0.46338,0.48267,0.23129,1.5237,1.83616,1.45114,0.00618,0,0.0012329,0.0012329,0.0012329
17,1010.13,1.44798,1.87317,1.17892,0.00486,1.59585,0.55685,0.55468,0.54073,0.29652,0.52776,0.49623,0.48326,0.22156,1.42227,1.83345,1.30941,0.00578,0,0.00123056,0.00123056,0.00123056
18,1068.95,1.43719,1.85349,1.17335,0.00482,1.61517,0.62762,0.54337,0.58058,0.3122,0.56075,0.48512,0.49233,0.23731,1.50366,1.78916,1.20304,0.00595,0,0.00122807,0.00122807,0.00122807
19,1128.22,1.44349,1.86452,1.16324,0.00469,1.56638,0.5706,0.54722,0.5579,0.29686,0.54333,0.50315,0.49788,0.23372,1.41905,1.7981,1.29151,0.00573,0,0.00122543,0.00122543,0.00122543
20,1186.78,1.41474,1.84771,1.1685,0.00475,1.61962,0.62939,0.50271,0.55118,0.30714,0.58959,0.47005,0.49076,0.24198,1.43102,1.80565,1.25531,0.00584,0,0.00122265,0.00122265,0.00122265
21,1245.58,1.4303,1.86433,1.16697,0.00459,1.60756,0.58372,0.54095,0.56226,0.30254,0.53461,0.50159,0.48938,0.23358,1.37719,1.76056,1.1848,0.00573,0,0.00121972,0.00121972,0.00121972
22,1304.21,1.41368,1.84318,1.15544,0.00473,1.6157,0.63769,0.54397,0.57492,0.3129,0.59373,0.49949,0.50852,0.23389,1.42146,1.77856,1.3155,0.00583,0,0.00121664,0.00121664,0.00121664
23,1363.36,1.41013,1.83457,1.13294,0.00454,1.54335,0.5806,0.54701,0.5709,0.32016,0.56021,0.5145,0.5107,0.24515,1.44208,1.83341,1.29457,0.00588,0,0.00121342,0.00121342,0.00121342
24,1422.41,1.4273,1.83537,1.1401,0.00463,1.52686,0.67166,0.54845,0.59551,0.32956,0.64037,0.49963,0.52693,0.25677,1.39522,1.72498,1.09374,0.00568,0,0.00121006,0.00121006,0.00121006
25,1481.42,1.4005,1.81494,1.11302,0.0045,1.52387,0.63303,0.52337,0.55587,0.30553,0.58645,0.48023,0.48128,0.2356,1.42222,1.78114,1.09586,0.00568,0,0.00120655,0.00120655,0.00120655
26,1539.98,1.39853,1.78258,1.09448,0.00443,1.49719,0.65066,0.54293,0.586,0.32186,0.62204,0.50299,0.52365,0.26023,1.46283,1.82689,1.16842,0.00595,0,0.0012029,0.0012029,0.0012029
27,1598.29,1.40197,1.7841,1.11824,0.0046,1.55519,0.64966,0.50745,0.5517,0.30396,0.6075,0.46722,0.49588,0.23915,1.39634,1.77809,1.19993,0.0057,0,0.00119911,0.00119911,0.00119911
28,1656.86,1.40971,1.80736,1.11206,0.00456,1.5366,0.68426,0.55513,0.61309,0.34094,0.65813,0.51224,0.5551,0.26825,1.38068,1.73904,1.08356,0.00547,0,0.00119518,0.00119518,0.00119518
29,1715.47,1.39896,1.80333,1.11793,0.0045,1.48666,0.63443,0.56095,0.60151,0.32339,0.60178,0.52067,0.53444,0.25551,1.40681,1.77351,1.15812,0.00564,0,0.00119111,0.00119111,0.00119111
30,1773.95,1.40242,1.80131,1.11162,0.00457,1.50738,0.63302,0.58404,0.61873,0.33689,0.62288,0.54038,0.5578,0.26228,1.38534,1.71899,1.07981,0.00578,0,0.0011869,0.0011869,0.0011869
31,1832.36,1.39744,1.79571,1.10376,0.00444,1.46155,0.63535,0.54715,0.58949,0.33709,0.60866,0.5185,0.54629,0.26626,1.37185,1.71327,1.0729,0.00534,0,0.00118256,0.00118256,0.00118256
32,1890.78,1.39062,1.79616,1.09443,0.00446,1.47638,0.68283,0.5792,0.61622,0.34919,0.64086,0.53392,0.55119,0.2689,1.40866,1.76683,1.23339,0.00559,0,0.00117808,0.00117808,0.00117808
33,1949.26,1.38978,1.79097,1.10869,0.00456,1.48626,0.67892,0.57058,0.62085,0.33145,0.61491,0.53379,0.53789,0.24772,1.41273,1.70391,1.05417,0.00559,0,0.00117346,0.00117346,0.00117346
34,2007.58,1.39427,1.78016,1.11414,0.00447,1.52673,0.60926,0.55745,0.58202,0.33141,0.57991,0.5264,0.53235,0.26614,1.35302,1.71252,1.16943,0.00556,0,0.00116872,0.00116872,0.00116872
35,2065.76,1.37057,1.7595,1.09071,0.00454,1.52037,0.66945,0.51237,0.58443,0.3335,0.61147,0.49485,0.53121,0.26659,1.44342,1.76248,1.11549,0.00568,0,0.00116383,0.00116383,0.00116383
36,2124.38,1.40138,1.80022,1.10172,0.00446,1.52461,0.67483,0.58397,0.63718,0.35508,0.64157,0.54161,0.56827,0.27627,1.35669,1.68407,1.08499,0.00558,0,0.00115882,0.00115882,0.00115882
37,2183.12,1.37688,1.75549,1.06632,0.00437,1.44976,0.68901,0.57072,0.64127,0.34867,0.67407,0.51729,0.57624,0.26594,1.42418,1.72162,1.04445,0.00576,0,0.00115368,0.00115368,0.00115368
38,2241.26,1.37592,1.76233,1.07581,0.00448,1.44459,0.66373,0.58619,0.62945,0.36128,0.62722,0.54744,0.57398,0.2838,1.34519,1.67673,1.04865,0.00544,0,0.00114841,0.00114841,0.00114841
39,2300.1,1.38389,1.77233,1.06134,0.00428,1.42831,0.64016,0.5931,0.62657,0.35719,0.6078,0.55044,0.56604,0.2783,1.39355,1.70696,1.03302,0.00559,0,0.00114301,0.00114301,0.00114301
