epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5853,1.58866,2.55623,2.6992,0.0054,4.94848,0.71021,0.21802,0.19335,0.10403,0.68709,0.17286,0.16153,0.07654,1.70428,2.52946,2.25265,0.00733,0,0.000408333,0.000408333,0.000408333
2,107.721,1.57054,2.21833,1.56968,0.0051,2.35875,0.38241,0.32953,0.2855,0.13646,0.35362,0.2874,0.24239,0.1035,1.67573,2.4193,2.37727,0.00729,0,0.00082495,0.00082495,0.00082495
3,157.491,1.56015,2.14285,1.48809,0.0053,2.08932,0.19403,0.22734,0.14037,0.07129,0.18175,0.20654,0.13419,0.05926,1.88832,3.00655,2.52959,0.00911,0,0.00124136,0.00124136,0.00124136
4,207.792,1.57778,2.12613,1.46852,0.00553,2.04257,0.37172,0.39728,0.31324,0.16227,0.3326,0.36381,0.27603,0.12346,1.64327,2.17648,2.08581,0.00727,0,0.00124931,0.00124931,0.00124931
5,257.665,1.56102,2.11292,1.45662,0.00539,2.02775,0.31274,0.3175,0.24856,0.12854,0.32457,0.26146,0.2066,0.08803,1.63764,2.41426,2.16403,0.00756,0,0.00124878,0.00124878,0.00124878
6,307.809,1.56745,2.10171,1.41663,0.00539,1.94616,0.4043,0.39291,0.35226,0.17175,0.34751,0.34025,0.29119,0.1264,1.614,2.13455,1.63271,0.0071,0,0.00124809,0.00124809,0.00124809
7,357.382,1.53872,2.03948,1.38684,0.00528,1.83236,0.49937,0.41019,0.38291,0.20422,0.47381,0.38322,0.35007,0.17033,1.56425,1.96924,1.74661,0.00676,0,0.00124725,0.00124725,0.00124725
8,407.759,1.54754,2.04277,1.35956,0.0052,1.88369,0.493,0.45752,0.43369,0.21897,0.49425,0.39882,0.38141,0.16448,1.54942,2.02378,1.53468,0.00674,0,0.00124626,0.00124626,0.00124626
9,457.52,1.49537,1.9583,1.288,0.00501,1.75817,0.49937,0.44063,0.42649,0.2256,0.43022,0.39592,0.34864,0.15772,1.5839,2.08356,1.44527,0.0067,0,0.00124512,0.00124512,0.00124512
10,507.564,1.48639,1.95423,1.28878,0.00497,1.73739,0.51935,0.48161,0.45813,0.25599,0.4821,0.43621,0.40747,0.19538,1.46183,1.88956,1.44135,0.00631,0,0.00124383,0.00124383,0.00124383
11,557.836,1.51017,1.9765,1.28558,0.00497,1.72038,0.50199,0.46918,0.45612,0.23978,0.51249,0.40057,0.39817,0.19347,1.50542,1.89965,1.41418,0.0066,0,0.00124238,0.00124238,0.00124238
12,608.174,1.49292,1.94207,1.27822,0.00502,1.71613,0.54748,0.48173,0.47414,0.2598,0.52645,0.43083,0.41932,0.20209,1.44455,1.86807,1.35139,0.006,0,0.00124079,0.00124079,0.00124079
13,658.025,1.46745,1.93407,1.25799,0.00499,1.70671,0.52619,0.42902,0.43998,0.22673,0.47103,0.38265,0.37954,0.17853,1.57329,2.01245,1.80032,0.00655,0,0.00123904,0.00123904,0.00123904
14,708.307,1.464,1.90606,1.23508,0.00484,1.68977,0.52781,0.44865,0.43443,0.23793,0.48483,0.40951,0.38259,0.18725,1.49793,1.90681,1.45645,0.00642,0,0.00123714,0.00123714,0.00123714
15,757.929,1.44957,1.90765,1.24984,0.005,1.69546,0.5716,0.46527,0.50968,0.2613,0.54613,0.41663,0.44983,0.21436,1.50156,1.8344,1.33574,0.00638,0,0.0012351,0.0012351,0.0012351
16,808.528,1.465,1.89383,1.2097,0.00479,1.60897,0.59781,0.48659,0.51644,0.26668,0.5638,0.44776,0.46636,0.21125,1.517,1.90697,1.38183,0.00638,0,0.0012329,0.0012329,0.0012329
17,858.77,1.4554,1.87415,1.19805,0.00476,1.62566,0.57984,0.44874,0.48846,0.26975,0.55445,0.42366,0.44347,0.21334,1.52114,1.9094,1.29441,0.00636,0,0.00123056,0.00123056,0.00123056
18,909.287,1.45563,1.89118,1.20112,0.00488,1.62191,0.53769,0.51703,0.51914,0.27069,0.53277,0.45527,0.46007,0.21896,1.5054,1.88589,1.30206,0.00635,0,0.00122807,0.00122807,0.00122807
19,959.179,1.4542,1.86465,1.18594,0.00481,1.59147,0.60158,0.53269,0.55429,0.31,0.57167,0.47482,0.49083,0.243,1.445,1.8549,1.47263,0.00598,0,0.00122543,0.00122543,0.00122543
20,1010.08,1.4129,1.82102,1.15749,0.00466,1.55644,0.59671,0.54251,0.57146,0.30691,0.57989,0.49413,0.5062,0.23662,1.44037,1.80105,1.21388,0.00593,0,0.00122265,0.00122265,0.00122265
21,1060.28,1.44276,1.85757,1.19404,0.00481,1.58511,0.52966,0.50918,0.51621,0.26864,0.51228,0.44873,0.45525,0.20051,1.51456,1.87229,1.66096,0.00636,0,0.00121972,0.00121972,0.00121972
22,1110.79,1.42678,1.83531,1.15318,0.00478,1.55435,0.55704,0.51429,0.51458,0.27031,0.49159,0.44874,0.43675,0.20338,1.59733,1.99004,1.45294,0.00649,0,0.00121664,0.00121664,0.00121664
23,1160.84,1.4187,1.81234,1.14469,0.00457,1.54492,0.56529,0.50685,0.52781,0.27545,0.52813,0.48284,0.47741,0.22837,1.47352,1.84671,1.34135,0.00622,0,0.00121342,0.00121342,0.00121342
24,1211.14,1.41613,1.82773,1.16102,0.00468,1.56846,0.59022,0.52725,0.53108,0.2811,0.55333,0.48949,0.47545,0.21581,1.44757,1.85053,1.22238,0.00607,0,0.00121006,0.00121006,0.00121006
25,1261.05,1.42364,1.84871,1.16762,0.00465,1.58279,0.54738,0.46571,0.48434,0.26134,0.50228,0.41803,0.4189,0.19889,1.46948,1.84848,1.30603,0.00642,0,0.00120655,0.00120655,0.00120655
26,1311.61,1.41775,1.80871,1.14609,0.00468,1.56502,0.61716,0.54118,0.5737,0.30495,0.57222,0.49204,0.5044,0.23836,1.46142,1.84042,1.23961,0.0061,0,0.0012029,0.0012029,0.0012029
27,1361.73,1.41593,1.81628,1.14797,0.00457,1.50692,0.56835,0.53177,0.53448,0.29092,0.54172,0.47506,0.47297,0.22308,1.44436,1.90075,1.23854,0.00598,0,0.00119911,0.00119911,0.00119911
28,1412.25,1.40445,1.79725,1.11851,0.00453,1.45559,0.64724,0.54028,0.58727,0.3077,0.58987,0.50386,0.52096,0.24653,1.46594,1.85678,1.21971,0.0061,0,0.00119518,0.00119518,0.00119518
29,1462.37,1.39676,1.79374,1.11758,0.00458,1.51851,0.62733,0.52879,0.57814,0.32468,0.61048,0.47781,0.51097,0.24592,1.42456,1.77706,1.16095,0.00606,0,0.00119111,0.00119111,0.00119111
30,1513.27,1.40225,1.80316,1.11015,0.00453,1.44879,0.63053,0.55177,0.58851,0.33555,0.59962,0.51491,0.5327,0.25884,1.40453,1.80658,1.18175,0.00562,0,0.0011869,0.0011869,0.0011869
31,1563.71,1.40848,1.78638,1.11179,0.00442,1.4499,0.60671,0.56921,0.58217,0.31622,0.55338,0.54031,0.52118,0.25116,1.46237,1.78663,1.21817,0.00595,0,0.00118256,0.00118256,0.00118256
32,1614.37,1.4097,1.79889,1.12366,0.00445,1.47834,0.62125,0.54938,0.58783,0.31995,0.57926,0.51438,0.52773,0.25665,1.44454,1.78272,1.18213,0.00582,0,0.00117808,0.00117808,0.00117808
33,1664.07,1.37714,1.76768,1.10452,0.00451,1.46482,0.5936,0.55323,0.56934,0.32601,0.54863,0.5065,0.49578,0.24282,1.40403,1.77707,1.18009,0.00574,0,0.00117346,0.00117346,0.00117346
34,1714.73,1.38964,1.77071,1.10857,0.00452,1.47177,0.65385,0.56854,0.60596,0.33863,0.61449,0.53091,0.54465,0.25526,1.40753,1.74358,1.15489,0.00572,0,0.00116872,0.00116872,0.00116872
35,1764.78,1.38884,1.76992,1.09382,0.00446,1.40054,0.60479,0.5573,0.57344,0.30173,0.56944,0.49405,0.49628,0.23245,1.46557,1.78008,1.37248,0.00595,0,0.00116383,0.00116383,0.00116383
36,1815.45,1.36355,1.74768,1.06959,0.0044,1.37293,0.65349,0.6034,0.62701,0.34592,0.61788,0.55484,0.56443,0.27015,1.40235,1.72997,1.10034,0.00553,0,0.00115882,0.00115882,0.00115882
37,1865.77,1.37848,1.76556,1.06681,0.00442,1.37512,0.61258,0.57689,0.59744,0.33795,0.58057,0.54074,0.53881,0.26593,1.36519,1.72072,1.12497,0.00559,0,0.00115368,0.00115368,0.00115368
38,1916.37,1.38242,1.75386,1.07726,0.00441,1.43434,0.6345,0.57117,0.58065,0.31434,0.5959,0.53662,0.5228,0.25326,1.40102,1.74373,1.12954,0.00572,0,0.00114841,0.00114841,0.00114841
39,1966.6,1.3671,1.72649,1.0491,0.00443,1.36811,0.6437,0.60789,0.62862,0.34579,0.63038,0.55625,0.5614,0.26251,1.39279,1.70391,1.10453,0.00579,0,0.00114301,0.00114301,0.00114301
40,2017.43,1.36968,1.74167,1.0487,0.00427,1.36103,0.64395,0.57737,0.6267,0.34741,0.61335,0.54927,0.56593,0.26635,1.41306,1.74555,1.16525,0.0057,0,0.00113748,0.00113748,0.00113748
41,2067.29,1.34263,1.72172,1.04416,0.00433,1.33704,0.67729,0.56623,0.62973,0.35955,0.64331,0.53636,0.57011,0.28372,1.3762,1.73648,1.16336,0.00558,0,0.00113183,0.00113183,0.00113183
42,2117.83,1.35839,1.71426,1.04223,0.0043,1.37759,0.66369,0.57201,0.61934,0.35039,0.63099,0.54156,0.55028,0.26418,1.36307,1.72841,1.08895,0.00558,0,0.00112605,0.00112605,0.00112605
43,2167.7,1.35472,1.73505,1.05254,0.00429,1.37178,0.67222,0.61175,0.65685,0.36817,0.64402,0.56071,0.59316,0.28021,1.35242,1.69421,1.068,0.0055,0,0.00112016,0.00112016,0.00112016
44,2218.3,1.34756,1.70323,1.02947,0.0043,1.33674,0.64597,0.5872,0.62666,0.35705,0.61746,0.5459,0.55408,0.27938,1.37344,1.71742,1.13439,0.00573,0,0.00111414,0.00111414,0.00111414
45,2268.05,1.34868,1.71499,1.04453,0.00429,1.35628,0.67992,0.60171,0.65056,0.36097,0.62488,0.55659,0.57583,0.27549,1.386,1.73846,1.11574,0.00562,0,0.00110801,0.00110801,0.00110801
46,2318.1,1.358,1.7285,1.05165,0.00426,1.35158,0.68572,0.56196,0.63049,0.34198,0.64438,0.53318,0.56577,0.27505,1.41927,1.75322,1.18359,0.00586,0,0.00110175,0.00110175,0.00110175
47,2367.81,1.35331,1.71717,1.04802,0.00427,1.388,0.66996,0.5616,0.61477,0.34955,0.62034,0.517,0.53489,0.26925,1.36427,1.70487,1.11593,0.00564,0,0.00109538,0.00109538,0.00109538
48,2417.96,1.33675,1.70505,1.02236,0.00429,1.35087,0.67997,0.6219,0.66266,0.37478,0.67087,0.56328,0.59816,0.29088,1.37236,1.69952,1.07431,0.0055,0,0.0010889,0.0010889,0.0010889
49,2467.86,1.33982,1.70651,1.0188,0.00416,1.32878,0.70341,0.59607,0.66293,0.3712,0.6688,0.55152,0.59126,0.28084,1.38296,1.66083,1.09836,0.00571,0,0.0010823,0.0010823,0.0010823
50,2517.96,1.3441,1.70089,1.02893,0.00428,1.32653,0.70435,0.59808,0.64855,0.37289,0.66558,0.56339,0.58423,0.29083,1.31978,1.63654,1.05291,0.00522,0,0.00107559,0.00107559,0.00107559
