epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3295,1.77301,2.84463,3.2259,0.00629,6.50142,0.47027,0.20357,0.18913,0.09867,0.42298,0.16123,0.13996,0.06384,1.74376,2.64373,2.36894,0.00725,0,0.000408333,0.000408333,0.000408333
2,71.8284,1.68205,2.34497,1.74608,0.00547,2.51941,0.25118,0.3283,0.23913,0.11577,0.22747,0.27167,0.18982,0.07917,1.78858,2.49469,2.64186,0.00746,0,0.00082495,0.00082495,0.00082495
3,103.358,1.64064,2.24988,1.58879,0.00549,2.12048,0.26732,0.24031,0.1926,0.09705,0.23467,0.20279,0.15552,0.06982,1.87206,2.88001,2.14619,0.00852,0,0.00124136,0.00124136,0.00124136
4,134.718,1.65365,2.25051,1.57693,0.0058,2.06342,0.33913,0.38121,0.25626,0.13143,0.30589,0.32062,0.22378,0.10333,1.80404,2.50007,2.17503,0.00791,0,0.00124931,0.00124931,0.00124931
5,166.288,1.64565,2.23593,1.54465,0.00566,2.0219,0.35934,0.31808,0.25927,0.11958,0.3139,0.27435,0.21076,0.08739,1.88686,2.41472,2.37038,0.00853,0,0.00124878,0.00124878,0.00124878
6,197.631,1.6549,2.21191,1.4985,0.00563,1.94401,0.41642,0.38353,0.31328,0.15174,0.3792,0.31681,0.26235,0.11449,1.74437,2.36432,1.77226,0.0076,0,0.00124809,0.00124809,0.00124809
7,228.999,1.61891,2.17263,1.48325,0.00552,1.89696,0.39661,0.40129,0.34112,0.16133,0.36882,0.35395,0.29389,0.13342,1.72981,2.15534,1.8468,0.00746,0,0.00124725,0.00124725,0.00124725
8,260.555,1.60923,2.15587,1.43161,0.00534,1.86448,0.52798,0.36702,0.35785,0.1839,0.48236,0.32849,0.30445,0.13109,1.75023,2.30143,1.81215,0.00751,0,0.00124626,0.00124626,0.00124626
9,292.274,1.59541,2.11611,1.3981,0.00531,1.79351,0.56663,0.37875,0.38466,0.19945,0.50204,0.3362,0.32654,0.14907,1.68004,2.21388,1.54778,0.00724,0,0.00124512,0.00124512,0.00124512
10,324.042,1.57945,2.09254,1.39413,0.0053,1.78142,0.5927,0.39832,0.42215,0.21454,0.55745,0.36594,0.37878,0.17131,1.6568,2.17757,1.57509,0.00705,0,0.00124383,0.00124383,0.00124383
11,355.972,1.58041,2.09932,1.3686,0.00515,1.7234,0.5583,0.45217,0.43751,0.22887,0.49492,0.40865,0.37556,0.17636,1.60542,2.02572,1.46551,0.0068,0,0.00124238,0.00124238,0.00124238
12,387.736,1.58046,2.08071,1.37474,0.00521,1.76165,0.58853,0.44634,0.45892,0.22917,0.53332,0.40507,0.3934,0.17243,1.61394,2.1377,1.46218,0.00663,0,0.00124079,0.00124079,0.00124079
13,419.289,1.55152,2.04931,1.3586,0.00523,1.7319,0.51983,0.46288,0.44292,0.23896,0.51942,0.41834,0.40515,0.19463,1.54485,1.95228,1.35605,0.00656,0,0.00123904,0.00123904,0.00123904
14,451.08,1.53964,2.0234,1.32111,0.00505,1.72353,0.56645,0.45302,0.47574,0.24487,0.52053,0.41252,0.40368,0.17768,1.57165,2.16756,1.45331,0.00699,0,0.00123714,0.00123714,0.00123714
15,482.597,1.52347,2.01143,1.32097,0.00524,1.66764,0.56076,0.42955,0.43988,0.2375,0.52387,0.37233,0.37636,0.17846,1.57941,2.01487,1.38279,0.00651,0,0.0012351,0.0012351,0.0012351
16,514.329,1.54918,2.02872,1.31027,0.00501,1.69368,0.58677,0.48239,0.50334,0.26193,0.52822,0.44078,0.42954,0.19137,1.52146,1.93044,1.35841,0.00657,0,0.0012329,0.0012329,0.0012329
