epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,95.754,1.47332,2.32377,2.10064,0.00496,3.53489,0.45609,0.34593,0.2487,0.13538,0.35123,0.25446,0.1913,0.08645,1.54579,2.04475,2.07415,0.00626,0,0.000412458,0.000412458,0.000412458
2,186.902,1.51606,2.08679,1.42701,0.00501,2.18955,0.34519,0.32981,0.29699,0.14812,0.3351,0.2971,0.26325,0.1247,1.71702,2.22118,1.93928,0.00725,0,0.000829074,0.000829074,0.000829074
3,277.191,1.59735,2.13461,1.45917,0.00566,2.15283,0.33475,0.30855,0.26354,0.13902,0.30655,0.28143,0.23293,0.109,1.68321,2.45867,2.01498,0.00791,0,0.00124549,0.00124549,0.00124549
4,366.91,1.59961,2.14149,1.46668,0.00581,2.11569,0.29259,0.35584,0.27938,0.14276,0.27242,0.34076,0.25062,0.11559,1.73247,2.20828,2.38338,0.00788,0,0.00124931,0.00124931,0.00124931
5,456.695,1.60593,2.12709,1.43883,0.00561,2.08817,0.38865,0.38489,0.31758,0.16197,0.37133,0.35708,0.29134,0.14049,1.61779,2.12511,1.72537,0.00717,0,0.00124878,0.00124878,0.00124878
6,546.863,1.57873,2.06619,1.39024,0.00559,1.9816,0.39458,0.38146,0.30654,0.1566,0.37545,0.34908,0.27472,0.1282,1.67382,2.10148,1.71738,0.00693,0,0.00124809,0.00124809,0.00124809
7,636.612,1.51864,2.01838,1.354,0.0054,1.96642,0.43266,0.43692,0.41194,0.21091,0.45056,0.39929,0.38801,0.18298,1.50472,1.95268,1.34856,0.00645,0,0.00124725,0.00124725,0.00124725
8,726.972,1.5361,2.0172,1.33859,0.00536,1.92373,0.41985,0.36758,0.34244,0.18024,0.35477,0.33014,0.29222,0.1318,1.57987,2.03344,1.63085,0.00711,0,0.00124626,0.00124626,0.00124626
9,816.995,1.5416,2.00053,1.32364,0.00529,1.89285,0.49389,0.42202,0.42774,0.22289,0.48065,0.38188,0.37775,0.17888,1.53887,1.97242,1.5131,0.00662,0,0.00124512,0.00124512,0.00124512
10,907.644,1.51149,1.97284,1.31576,0.00524,1.90187,0.53744,0.48672,0.47166,0.24677,0.50753,0.44119,0.42176,0.19963,1.50546,1.87235,1.36211,0.00657,0,0.00124383,0.00124383,0.00124383
11,997.903,1.51106,1.97412,1.30788,0.00518,1.88158,0.50224,0.44054,0.4264,0.22506,0.46368,0.41312,0.38791,0.18351,1.51431,1.94186,1.39143,0.00639,0,0.00124238,0.00124238,0.00124238
12,1087.63,1.49508,1.95415,1.29277,0.00521,1.82623,0.45046,0.45222,0.42222,0.23112,0.4238,0.38096,0.3588,0.17377,1.49452,1.92556,1.62556,0.00615,0,0.00124079,0.00124079,0.00124079
