epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5165,2.18133,3.39883,3.28313,0.00702,6.83936,0.40778,0.17724,0.14459,0.07034,0.38323,0.13209,0.10684,0.04091,2.12065,2.98543,2.50509,0.00724,0,0.000408333,0.000408333,0.000408333
2,47.9041,1.99997,2.75936,1.77306,0.0056,2.5887,0.21143,0.26202,0.19304,0.0913,0.16298,0.19626,0.14529,0.06015,2.06733,2.79526,2.2498,0.00729,0,0.00082495,0.00082495,0.00082495
3,67.7893,1.97459,2.66461,1.65368,0.00562,2.17753,0.15677,0.26206,0.16968,0.07958,0.18532,0.14297,0.12462,0.04832,2.06283,2.81811,2.26346,0.00733,0,0.00124136,0.00124136,0.00124136
4,87.745,1.95905,2.63647,1.61435,0.00574,2.07986,0.37063,0.22758,0.17927,0.08484,0.28281,0.19857,0.15302,0.06558,2.09993,2.75986,2.18384,0.00758,0,0.00124931,0.00124931,0.00124931
5,107.663,1.97334,2.62308,1.57904,0.00567,2.01192,0.37864,0.20477,0.1696,0.08126,0.31427,0.13863,0.11677,0.0479,2.12259,3.22036,2.11654,0.00735,0,0.00124878,0.00124878,0.00124878
6,127.724,1.97179,2.59775,1.56312,0.0056,1.97936,0.46509,0.33361,0.32764,0.15724,0.44156,0.29371,0.28258,0.11865,2.00283,2.5549,1.66079,0.00713,0,0.00124809,0.00124809,0.00124809
7,147.707,1.93645,2.56674,1.52628,0.00552,1.89573,0.41447,0.35043,0.32234,0.15683,0.39067,0.26964,0.25104,0.09948,2.04783,2.78762,1.67017,0.00717,0,0.00124725,0.00124725,0.00124725
8,167.701,1.92594,2.54869,1.49678,0.00545,1.84312,0.41715,0.40327,0.33757,0.16822,0.38444,0.34124,0.28714,0.12618,2.02675,2.56817,1.81527,0.00694,0,0.00124626,0.00124626,0.00124626
9,188.126,1.90746,2.51625,1.46733,0.00532,1.82924,0.45865,0.39578,0.36887,0.17913,0.42894,0.34703,0.3106,0.12742,1.95696,2.46878,2.63175,0.00672,0,0.00124512,0.00124512,0.00124512
10,208.373,1.89475,2.48987,1.46771,0.00538,1.79522,0.49612,0.35806,0.34409,0.16271,0.47162,0.30115,0.28284,0.11893,1.96209,2.49617,1.67408,0.0069,0,0.00124383,0.00124383,0.00124383
11,228.567,1.92234,2.50904,1.45757,0.00531,1.7862,0.45155,0.40036,0.36604,0.17449,0.39421,0.33513,0.28143,0.11825,1.96989,2.59601,1.58894,0.00647,0,0.00124238,0.00124238,0.00124238
12,248.56,1.89926,2.48769,1.43981,0.0052,1.74859,0.48008,0.41657,0.40045,0.1874,0.41836,0.36872,0.32991,0.13326,2.01279,2.51896,1.57494,0.00679,0,0.00124079,0.00124079,0.00124079
13,268.53,1.88773,2.44936,1.42619,0.0053,1.76566,0.50781,0.41148,0.40166,0.19873,0.451,0.36175,0.34648,0.14571,1.88333,2.48119,1.56886,0.00637,0,0.00123904,0.00123904,0.00123904
14,288.693,1.89761,2.45277,1.41129,0.00525,1.76701,0.50414,0.41085,0.38914,0.18913,0.47178,0.36903,0.33987,0.13458,1.90208,2.42082,1.6291,0.00641,0,0.00123714,0.00123714,0.00123714
15,309.018,1.8779,2.44113,1.40556,0.00524,1.70378,0.47968,0.39694,0.37487,0.18905,0.43325,0.35283,0.31842,0.13313,1.88778,2.42805,1.62598,0.00656,0,0.0012351,0.0012351,0.0012351
16,329.72,1.90415,2.47772,1.38644,0.00507,1.70493,0.51267,0.42705,0.4257,0.20447,0.4509,0.37447,0.33916,0.13211,1.93454,2.4529,1.49242,0.0068,0,0.0012329,0.0012329,0.0012329
17,350.051,1.8737,2.43166,1.38815,0.00511,1.65775,0.50841,0.44039,0.44492,0.22285,0.45138,0.38074,0.36551,0.15612,1.89679,2.4704,1.51955,0.0064,0,0.00123056,0.00123056,0.00123056
18,370.297,1.8647,2.42091,1.39336,0.00516,1.69374,0.53117,0.42835,0.44007,0.22104,0.50153,0.38843,0.38631,0.16729,1.89051,2.43263,1.44161,0.00639,0,0.00122807,0.00122807,0.00122807
19,390.26,1.86834,2.40864,1.37989,0.00508,1.65989,0.49501,0.42631,0.42275,0.20623,0.44336,0.37503,0.36081,0.15285,1.9076,2.37791,1.44103,0.00627,0,0.00122543,0.00122543,0.00122543
20,410.216,1.84864,2.37546,1.34972,0.00507,1.65037,0.5518,0.44818,0.43479,0.20906,0.49889,0.38992,0.36338,0.14854,1.91405,2.38489,1.60564,0.00624,0,0.00122265,0.00122265,0.00122265
21,430.641,1.86428,2.40114,1.35688,0.00506,1.62395,0.58348,0.43374,0.46426,0.23779,0.56552,0.38753,0.40783,0.18476,1.90768,2.33575,1.52796,0.00648,0,0.00121972,0.00121972,0.00121972
22,450.767,1.85242,2.3933,1.33486,0.0051,1.62653,0.59639,0.4468,0.46451,0.2348,0.53794,0.39639,0.397,0.17914,1.83037,2.39182,1.39977,0.00601,0,0.00121664,0.00121664,0.00121664
23,471.075,1.85442,2.38623,1.34474,0.00499,1.62716,0.54022,0.45057,0.4494,0.23301,0.50321,0.36566,0.36195,0.15445,1.88823,2.50976,1.66031,0.00608,0,0.00121342,0.00121342,0.00121342
24,491.075,1.84953,2.39442,1.33719,0.00499,1.61531,0.62638,0.42563,0.45892,0.22532,0.54608,0.36591,0.37327,0.16247,1.88505,2.39223,1.40847,0.00617,0,0.00121006,0.00121006,0.00121006
25,511.166,1.85656,2.39341,1.34024,0.00502,1.58887,0.60295,0.45642,0.47674,0.24957,0.55312,0.39042,0.39255,0.1716,1.81725,2.40647,1.42225,0.00608,0,0.00120655,0.00120655,0.00120655
26,537.59,1.85676,2.38704,1.331,0.00495,1.57707,0.50453,0.39907,0.41548,0.2156,0.47904,0.33903,0.34995,0.15044,1.87366,2.33472,1.44551,0.00618,0,0.0012029,0.0012029,0.0012029
27,588.588,1.84105,2.37267,1.3224,0.00489,1.5619,0.55641,0.48157,0.49611,0.24896,0.50533,0.42943,0.41097,0.18264,1.83131,2.30187,1.44578,0.00602,0,0.00119911,0.00119911,0.00119911
28,639.009,1.83409,2.35499,1.29928,0.00485,1.51968,0.61713,0.50628,0.53183,0.27477,0.54094,0.44622,0.43232,0.18392,1.78333,2.28391,1.34571,0.00571,0,0.00119518,0.00119518,0.00119518
29,689.911,1.8281,2.3355,1.31308,0.00491,1.56317,0.60882,0.48332,0.52737,0.25992,0.52393,0.43433,0.43071,0.17344,1.83678,2.32117,1.48409,0.00593,0,0.00119111,0.00119111,0.00119111
30,745.366,1.82413,2.33367,1.31051,0.00495,1.54661,0.5919,0.50319,0.51821,0.2633,0.53158,0.44256,0.4404,0.19435,1.88282,2.27051,1.36653,0.00607,0,0.0011869,0.0011869,0.0011869
31,798.6,1.85256,2.36107,1.30061,0.00487,1.53655,0.65638,0.43471,0.49702,0.25043,0.58905,0.39396,0.42591,0.19045,1.922,2.30824,1.40942,0.00638,0,0.00118256,0.00118256,0.00118256
32,848.894,1.84212,2.34475,1.30394,0.00487,1.50258,0.60195,0.47905,0.50083,0.26234,0.54406,0.42289,0.41716,0.18513,1.84724,2.34437,1.57913,0.00584,0,0.00117808,0.00117808,0.00117808
33,900.3,1.8054,2.32272,1.28707,0.00491,1.53182,0.58253,0.50407,0.51884,0.27243,0.51912,0.44341,0.43516,0.1849,1.80919,2.26171,1.35325,0.00585,0,0.00117346,0.00117346,0.00117346
34,954.897,1.81902,2.31967,1.28601,0.00482,1.4826,0.57231,0.43873,0.45166,0.2236,0.52659,0.39304,0.38634,0.1667,1.82896,2.3364,1.45065,0.00601,0,0.00116872,0.00116872,0.00116872
35,1007.45,1.82547,2.33449,1.28712,0.00482,1.45871,0.59377,0.48527,0.52025,0.26836,0.53731,0.45109,0.45229,0.20195,1.85621,2.25011,1.41149,0.00598,0,0.00116383,0.00116383,0.00116383
36,1058.6,1.82559,2.32359,1.27604,0.00484,1.47046,0.56993,0.45496,0.47658,0.23993,0.53508,0.40143,0.40963,0.17697,1.92865,2.37928,1.44894,0.00639,0,0.00115882,0.00115882,0.00115882
37,1110.76,1.81505,2.32083,1.28411,0.00486,1.49553,0.61527,0.41904,0.48502,0.24269,0.56287,0.38384,0.41502,0.17858,1.85353,2.28603,1.42492,0.00598,0,0.00115368,0.00115368,0.00115368
38,1164.91,1.82765,2.33699,1.28485,0.0048,1.49327,0.64741,0.45742,0.49845,0.26723,0.58527,0.41588,0.42723,0.1922,1.86264,2.2906,1.34949,0.00602,0,0.00114841,0.00114841,0.00114841
39,1217.69,1.83277,2.33826,1.2765,0.00486,1.47377,0.64165,0.45173,0.49373,0.26274,0.61142,0.40003,0.42659,0.20151,1.8479,2.41278,1.40217,0.00602,0,0.00114301,0.00114301,0.00114301
40,1269.43,1.82277,2.29593,1.27116,0.00477,1.45956,0.66084,0.46741,0.5278,0.27214,0.59605,0.41237,0.44965,0.19564,1.8454,2.27453,1.42366,0.00585,0,0.00113748,0.00113748,0.00113748
41,1319.93,1.77052,2.27794,1.25498,0.0048,1.41289,0.64,0.50035,0.54192,0.27327,0.58685,0.44543,0.46043,0.20354,1.84061,2.27565,1.34416,0.00579,0,0.00113183,0.00113183,0.00113183
42,1374.51,1.81092,2.30839,1.25876,0.00469,1.44113,0.64117,0.5144,0.55871,0.29204,0.59454,0.46006,0.48688,0.22051,1.80126,2.19219,1.32316,0.0057,0,0.00112605,0.00112605,0.00112605
43,1428.33,1.81082,2.29654,1.26241,0.0048,1.47906,0.63589,0.48155,0.53671,0.28136,0.57474,0.44667,0.46392,0.20904,1.82443,2.25218,1.31611,0.00579,0,0.00112016,0.00112016,0.00112016
44,1479.47,1.79809,2.29846,1.2489,0.00473,1.45749,0.63205,0.47516,0.53405,0.2827,0.57859,0.43214,0.45775,0.20303,1.77622,2.24757,1.33938,0.00588,0,0.00111414,0.00111414,0.00111414
45,1530.45,1.79562,2.29487,1.2538,0.00476,1.45342,0.61929,0.54388,0.56222,0.29378,0.54212,0.45187,0.4451,0.1837,1.79966,2.2724,1.36218,0.00572,0,0.00110801,0.00110801,0.00110801
46,1584.17,1.78959,2.27746,1.25258,0.00471,1.44297,0.69235,0.45266,0.52392,0.27775,0.66195,0.4181,0.47079,0.20963,1.83975,2.26903,1.36256,0.006,0,0.00110175,0.00110175,0.00110175
47,1640.65,1.79934,2.28766,1.24655,0.00465,1.40108,0.68445,0.50182,0.56664,0.29253,0.62205,0.44383,0.48009,0.2065,1.82859,2.25534,1.29936,0.00569,0,0.00109538,0.00109538,0.00109538
48,1692.61,1.78141,2.28264,1.23439,0.00475,1.37643,0.62703,0.50636,0.55923,0.29735,0.59425,0.45542,0.48436,0.21486,1.75241,2.1775,1.26964,0.00552,0,0.0010889,0.0010889,0.0010889
49,1743.49,1.78915,2.28642,1.23077,0.0046,1.40056,0.66488,0.51363,0.56934,0.31029,0.62187,0.4807,0.50736,0.23165,1.73618,2.17244,1.28763,0.0055,0,0.0010823,0.0010823,0.0010823
50,1794.31,1.80765,2.30189,1.23969,0.00461,1.36993,0.63181,0.54563,0.57949,0.30072,0.57847,0.4775,0.49383,0.21963,1.78671,2.2235,1.3133,0.00557,0,0.00107559,0.00107559,0.00107559
51,1850.23,1.79975,2.29972,1.24336,0.00465,1.40931,0.65894,0.55563,0.59341,0.32097,0.60998,0.49164,0.51583,0.2332,1.72871,2.16755,1.24731,0.00547,0,0.00106877,0.00106877,0.00106877
52,1902.46,1.80963,2.29558,1.23032,0.00471,1.40029,0.65977,0.53677,0.58364,0.31197,0.61016,0.48866,0.50794,0.21757,1.77421,2.19217,1.32462,0.00564,0,0.00106185,0.00106185,0.00106185
53,1955.25,1.77295,2.26378,1.23201,0.0046,1.39145,0.70511,0.51091,0.58065,0.30418,0.58771,0.49027,0.50407,0.22605,1.75315,2.19338,1.36357,0.00549,0,0.00105481,0.00105481,0.00105481
54,2007.81,1.80287,2.29043,1.23273,0.00465,1.37867,0.65133,0.55993,0.59197,0.31255,0.59297,0.51412,0.51081,0.21837,1.77691,2.21318,1.25129,0.00564,0,0.00104768,0.00104768,0.00104768
55,2064.3,1.80203,2.28255,1.22358,0.00462,1.36648,0.70496,0.52621,0.59803,0.30805,0.64514,0.4804,0.5149,0.21855,1.79583,2.20237,1.2458,0.0057,0,0.00104044,0.00104044,0.00104044
56,2117.09,1.81056,2.29378,1.2191,0.00462,1.3729,0.69343,0.48256,0.56841,0.30786,0.63449,0.43377,0.49096,0.2222,1.7554,2.22828,1.27603,0.00547,0,0.0010331,0.0010331,0.0010331
57,2170.08,1.7755,2.24877,1.20368,0.00454,1.32303,0.65477,0.55596,0.60207,0.31852,0.61908,0.50777,0.53553,0.248,1.79422,2.23688,1.28172,0.0057,0,0.00102566,0.00102566,0.00102566
58,2222.4,1.77097,2.24648,1.21207,0.00462,1.36044,0.69561,0.5501,0.61865,0.32712,0.63024,0.49794,0.53376,0.23344,1.75751,2.18054,1.2282,0.00562,0,0.00101812,0.00101812,0.00101812
59,2274.95,1.78573,2.25886,1.20489,0.00454,1.35708,0.6723,0.56522,0.60748,0.32437,0.62755,0.50706,0.53437,0.24879,1.77058,2.21591,1.289,0.00566,0,0.00101049,0.00101049,0.00101049
60,2331.99,1.76938,2.24111,1.21088,0.00461,1.35165,0.63359,0.5415,0.56823,0.29498,0.60376,0.49031,0.49559,0.2185,1.77099,2.21653,1.33163,0.00554,0,0.00100276,0.00100276,0.00100276
61,2385.34,1.77895,2.2415,1.20225,0.00457,1.32065,0.65105,0.55006,0.59192,0.32542,0.60096,0.5064,0.52309,0.23999,1.72785,2.16509,1.24689,0.00537,0,0.000994942,0.000994942,0.000994942
62,2438.48,1.76652,2.23464,1.19633,0.0045,1.33179,0.68928,0.51727,0.58822,0.32787,0.61907,0.4694,0.50176,0.23448,1.74594,2.17033,1.31928,0.00543,0,0.000987034,0.000987034,0.000987034
63,2489.47,1.75661,2.21993,1.18629,0.00456,1.31776,0.62873,0.57553,0.6021,0.32668,0.57501,0.50917,0.51024,0.2256,1.74818,2.16851,1.25936,0.00539,0,0.000979039,0.000979039,0.000979039
64,2544.8,1.77868,2.25412,1.20171,0.00453,1.33335,0.68325,0.54531,0.61142,0.33771,0.62372,0.49582,0.52851,0.23889,1.73003,2.13532,1.23523,0.00535,0,0.000970958,0.000970958,0.000970958
65,2597.18,1.76058,2.23689,1.18991,0.00457,1.26934,0.70764,0.53959,0.60525,0.32156,0.65638,0.49612,0.53332,0.24401,1.74858,2.1877,1.23383,0.00558,0,0.000962793,0.000962793,0.000962793
66,2649.62,1.78906,2.26639,1.1942,0.00451,1.3077,0.68524,0.55183,0.60809,0.33321,0.63988,0.49103,0.53325,0.23178,1.80386,2.21004,1.2484,0.00551,0,0.000954546,0.000954546,0.000954546
