epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,291.301,1.27079,2.39591,1.83794,1.13803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332233,0.00332233,0.070099
2,567.661,1.10824,1.85321,1.14005,1.01377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599675,0.00599675,0.0394401
3,857.248,1.16655,1.79416,1.05517,1.01401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801118,0.00801118,0.00812119
4,1136.82,1.10968,1.66347,1.0029,1.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
5,1421.79,1.09319,1.62329,0.8909,0.98912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
6,1689.73,1.03501,1.53571,0.82797,0.97062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
7,1949.41,1.01416,1.51495,0.78921,0.95977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
8,2213.76,0.97717,1.45615,0.74854,0.95344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
9,2490.62,0.95611,1.4412,0.71894,0.9412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
10,3163.88,0.92292,1.36721,0.6866,0.93116,0,0.81964,0.66199,0.76934,0.50319,0.73531,0.58255,0.62931,0.30634,0.8464,1.313,0.65689,0.9277,0,0.00109,0.00109,0.00109
