epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6617,1.58924,2.91213,1.82093,1.38569,0,0.00017,0.00194,9e-05,3e-05,3e-05,0.00031,1e-05,1e-05,4.38919,nan,inf,13.8717,0,0.000408333,0.000408333,0.000408333
2,67.515,1.48941,2.53373,1.27229,1.27436,0,0.35794,0.24057,0.14252,0.07101,0.33798,0.15814,0.11615,0.05152,1.58608,3.55268,inf,1.6784,0,0.000819555,0.000819555,0.000819555
3,99.5321,1.44548,2.42775,1.22057,1.25229,0,0.30025,0.25125,0.19038,0.09498,0.25196,0.16103,0.14141,0.05705,1.65503,3.35772,inf,1.6171,0,0.00122528,0.00122528,0.00122528
4,132.136,1.45939,2.4246,1.20278,1.26121,0,0.46503,0.30006,0.26772,0.13272,0.29722,0.24661,0.20832,0.09167,1.53465,3.14265,inf,1.37582,0,0.00122525,0.00122525,0.00122525
5,164.099,1.38914,2.31632,1.12901,1.22489,0,0.49882,0.46272,0.426,0.20808,0.42903,0.37546,0.33001,0.1365,1.43161,2.38796,3.22801,1.27266,0,0.001217,0.001217,0.001217
6,196.08,1.36232,2.25034,1.08593,1.20497,0,0.50635,0.3661,0.38482,0.20163,0.40065,0.31521,0.31445,0.14459,1.41745,2.22725,3.61205,1.2618,0,0.00120875,0.00120875,0.00120875
7,227.839,1.32027,2.18242,1.04137,1.18964,0,0.47417,0.48278,0.45312,0.24944,0.42143,0.37477,0.35768,0.1661,1.30279,3.21118,1.92499,1.21699,0,0.0012005,0.0012005,0.0012005
8,259.694,1.29204,2.13445,1.00106,1.17011,0,0.52301,0.6122,0.56067,0.31423,0.47602,0.53075,0.46398,0.21245,1.28396,1.9126,1.57856,1.19966,0,0.00119225,0.00119225,0.00119225
9,291.401,1.2716,2.08878,0.98433,1.15981,0,0.56077,0.60155,0.59163,0.33448,0.50795,0.49835,0.47258,0.21467,1.21721,1.8791,1.30125,1.13881,0,0.001184,0.001184,0.001184
10,323.129,1.24243,2.04553,0.94868,1.14605,0,0.62635,0.5752,0.59652,0.34558,0.54457,0.4936,0.48025,0.22372,1.18064,1.83965,1.20262,1.14464,0,0.00117575,0.00117575,0.00117575
11,354.913,1.24634,2.04249,0.93719,1.13878,0,0.55208,0.54977,0.56815,0.32296,0.50976,0.45546,0.46087,0.21297,1.1786,1.86914,1.25371,1.14612,0,0.0011675,0.0011675,0.0011675
12,386.259,1.2166,1.99859,0.9169,1.12672,0,0.65692,0.61879,0.64411,0.35582,0.56249,0.53452,0.51547,0.23317,1.16328,1.76667,1.0225,1.11816,0,0.00115925,0.00115925,0.00115925
13,418,1.20428,1.97376,0.91281,1.12646,0,0.65661,0.60827,0.6612,0.37363,0.57484,0.53306,0.53339,0.23644,1.19484,1.78154,1.00222,1.13178,0,0.001151,0.001151,0.001151
14,449.73,1.19668,1.94811,0.88727,1.11764,0,0.65544,0.65626,0.68729,0.3952,0.60785,0.55968,0.56293,0.26071,1.12321,1.69155,1.0473,1.10647,0,0.00114275,0.00114275,0.00114275
15,481.369,1.17229,1.90375,0.8768,1.11485,0,0.67826,0.65045,0.70327,0.41922,0.58476,0.54601,0.56399,0.25862,1.10466,1.77223,0.92924,1.09084,0,0.0011345,0.0011345,0.0011345
16,513.177,1.17767,1.90344,0.86535,1.10663,0,0.66758,0.64427,0.66698,0.38352,0.5777,0.55452,0.53045,0.24827,1.13593,1.73394,1.00709,1.10951,0,0.00112625,0.00112625,0.00112625
17,544.612,1.15951,1.87151,0.84249,1.09621,0,0.62829,0.68758,0.6927,0.4115,0.54808,0.61809,0.57251,0.26728,1.09739,1.65295,0.89831,1.08676,0,0.001118,0.001118,0.001118
18,576.285,1.15421,1.85988,0.8446,1.09951,0,0.7228,0.67512,0.71786,0.42536,0.63611,0.58782,0.57526,0.27561,1.1062,1.67046,0.84327,1.08426,0,0.00110975,0.00110975,0.00110975
19,607.956,1.15688,1.85069,0.83174,1.0954,0,0.72112,0.64963,0.70345,0.42073,0.65218,0.57724,0.59356,0.28541,1.12415,1.66878,0.94323,1.09341,0,0.0011015,0.0011015,0.0011015
20,639.746,1.13264,1.82351,0.81296,1.08479,0,0.68072,0.68057,0.71747,0.42979,0.61608,0.59321,0.60532,0.28291,1.09336,1.63586,0.8684,1.08361,0,0.00109325,0.00109325,0.00109325
21,671.478,1.13709,1.83279,0.81897,1.08935,0,0.68815,0.69147,0.72253,0.4358,0.63725,0.62864,0.62315,0.29347,1.10689,1.62509,0.8517,1.09357,0,0.001085,0.001085,0.001085
22,703.157,1.11516,1.78376,0.79533,1.07997,0,0.78608,0.65604,0.7467,0.44604,0.7049,0.59048,0.61891,0.29401,1.10161,1.60721,0.81062,1.08529,0,0.00107675,0.00107675,0.00107675
