epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1268,1.76851,3.34244,2.53912,1.50331,0,0.16524,0.16321,0.13729,0.07225,0.11507,0.10201,0.10022,0.04756,1.73969,3.34841,inf,1.46598,0,0.0003,0.0003,0.0003
2,54.5882,1.3668,2.38592,1.17644,1.19373,0,0.27918,0.10832,0.01965,0.00993,0.27322,0.08208,0.0143,0.00577,1.90416,6.32224,inf,1.66213,0,0.000606436,0.000606436,0.000606436
3,77.1752,1.39115,2.35478,1.14948,1.2078,0,0.01977,0.0114,0.00631,0.00322,0.02223,0.00554,0.00343,0.00176,3.7914,80.413,9.14101,5.29674,0,0.000906685,0.000906685,0.000906685
4,101.286,1.40232,2.33213,1.14637,1.21798,0,0.25537,0.10718,0.07003,0.03245,0.07753,0.06037,0.04706,0.01926,nan,nan,nan,nan,0,0.00120075,0.00120075,0.00120075
5,124.947,1.39529,2.31107,1.15782,1.21431,0,0.0602,0.06185,0.04327,0.02202,0.29865,0.04326,0.02827,0.00926,nan,nan,nan,nan,0,0.0012005,0.0012005,0.0012005
6,149.356,1.37114,2.27866,1.09662,1.20017,0,0.50386,0.32437,0.31796,0.15069,0.33509,0.23152,0.23472,0.09655,1.57805,3.87434,inf,1.46368,0,0.00118812,0.00118812,0.00118812
7,172.635,1.33597,2.20883,1.0539,1.18235,0,0.46241,0.39041,0.39011,0.19674,0.28505,0.23328,0.20819,0.092,1.4488,3.21236,inf,1.35443,0,0.00117575,0.00117575,0.00117575
8,196.244,1.30084,2.14198,1.01536,1.16814,0,0.60038,0.32818,0.41835,0.21435,0.5052,0.23744,0.28212,0.11057,1.39296,2.81131,inf,1.26466,0,0.00116337,0.00116337,0.00116337
9,219.665,1.27921,2.09846,0.98136,1.15003,0,0.4222,0.5739,0.50722,0.26684,0.35689,0.4985,0.40261,0.17932,1.31161,2.29375,inf,1.21626,0,0.001151,0.001151,0.001151
10,243.137,1.2612,2.05938,0.96055,1.14083,0,0.37892,0.5099,0.4172,0.2155,0.3085,0.39614,0.33267,0.1409,1.39022,2.37023,inf,1.25133,0,0.00113863,0.00113863,0.00113863
11,266.156,1.26025,2.03183,0.95124,1.14138,0,0.50009,0.50392,0.48304,0.27174,0.43619,0.44414,0.38543,0.17308,1.29843,2.18293,inf,1.19427,0,0.00112625,0.00112625,0.00112625
12,289.357,1.23625,2.00533,0.92991,1.1284,0,0.57257,0.62085,0.61141,0.3412,0.50713,0.53082,0.49,0.21757,1.21898,1.9282,1.5864,1.17158,0,0.00111388,0.00111388,0.00111388
13,312.443,1.24275,2.00485,0.93549,1.1335,0,0.52224,0.57104,0.54671,0.2958,0.4486,0.4641,0.41977,0.19292,1.25297,2.09156,inf,1.17491,0,0.0011015,0.0011015,0.0011015
14,335.532,1.19806,1.93405,0.8927,1.11223,0,0.64397,0.54388,0.59185,0.3309,0.54233,0.47327,0.46339,0.20088,1.19796,1.91422,1.4196,1.16578,0,0.00108913,0.00108913,0.00108913
