epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2294,1.7849,3.33698,2.37691,1.50405,0,0.24534,0.28807,0.19309,0.09191,0.13748,0.17639,0.12041,0.05741,1.60809,2.97168,inf,1.35321,0,0.0003,0.0003,0.0003
2,42.912,1.37951,2.36631,1.20136,1.17023,0,0.39304,0.29435,0.26321,0.12762,0.27614,0.24833,0.19875,0.08247,1.54071,3.19378,1.99146,1.41455,0,0.000606436,0.000606436,0.000606436
3,62.5102,1.38798,2.33884,1.15101,1.17574,0,0.62516,0.06851,0.06687,0.02804,0.58955,0.03691,0.02802,0.00887,2.69739,11.3368,3.74539,2.6295,0,0.000906685,0.000906685,0.000906685
4,81.8966,1.39647,2.33328,1.14542,1.18113,0,0.12387,0.10353,0.04995,0.02098,0.0723,0.04407,0.02666,0.00895,nan,nan,nan,nan,0,0.00120075,0.00120075,0.00120075
5,100.924,1.41863,2.31554,1.16068,1.18925,0,0.22919,0.20874,0.14966,0.07252,0.15976,0.09506,0.09128,0.03202,1.87167,6.4218,inf,1.67496,0,0.0012005,0.0012005,0.0012005
6,120.506,1.3741,2.26362,1.10836,1.16976,0,0.37806,0.24885,0.21276,0.10377,0.26499,0.19137,0.15432,0.06711,1.55975,3.45827,inf,1.35443,0,0.00118812,0.00118812,0.00118812
7,139.121,1.34533,2.19537,1.06189,1.15524,0,0.35148,0.43105,0.30643,0.15826,0.21915,0.32267,0.19349,0.07942,1.43153,2.82832,inf,1.2557,0,0.00117575,0.00117575,0.00117575
8,158.44,1.31232,2.14146,1.0305,1.13953,0,0.45962,0.54908,0.46884,0.23937,0.35071,0.3941,0.31494,0.12081,1.36618,2.85175,inf,1.20636,0,0.00116337,0.00116337,0.00116337
9,177.652,1.2967,2.0996,1.0037,1.12902,0,0.414,0.50844,0.44089,0.23566,0.31137,0.44005,0.33502,0.15104,1.32713,2.14059,inf,1.18195,0,0.001151,0.001151,0.001151
10,196.538,1.27272,2.06325,0.97131,1.11345,0,0.40084,0.55549,0.44676,0.23734,0.34738,0.45808,0.35902,0.1556,1.29142,2.19697,inf,1.16822,0,0.00113863,0.00113863,0.00113863
11,215.252,1.26036,2.0252,0.94894,1.11163,0,0.57581,0.55773,0.54653,0.29432,0.4994,0.50738,0.46281,0.21443,1.32438,2.14002,1.69526,1.17287,0,0.00112625,0.00112625,0.00112625
12,234.107,1.24228,2.0118,0.93957,1.10085,0,0.60046,0.61923,0.62514,0.34083,0.53337,0.52427,0.50657,0.22062,1.22073,1.92462,1.62724,1.13273,0,0.00111388,0.00111388,0.00111388
13,253.083,1.24912,1.9909,0.94459,1.10435,0,0.54965,0.60615,0.56081,0.30884,0.46627,0.50804,0.43753,0.18603,1.22749,2.03369,1.82484,1.13058,0,0.0011015,0.0011015,0.0011015
14,271.842,1.21167,1.93533,0.9036,1.08726,0,0.65283,0.59235,0.62657,0.35005,0.57807,0.52142,0.51302,0.21851,1.20024,1.85827,1.32388,1.11391,0,0.00108913,0.00108913,0.00108913
15,290.517,1.18949,1.91836,0.88531,1.07863,0,0.62208,0.61982,0.62445,0.34617,0.56217,0.54705,0.52444,0.23429,1.18298,1.85918,1.29808,1.09867,0,0.00107675,0.00107675,0.00107675
16,309.531,1.18784,1.9282,0.87559,1.07863,0,0.62505,0.60104,0.62135,0.34944,0.53482,0.49199,0.48586,0.22731,1.21215,2.00072,1.80513,1.10597,0,0.00106437,0.00106437,0.00106437
17,327.937,1.18247,1.89797,0.87731,1.07572,0,0.67245,0.63697,0.67585,0.392,0.59345,0.57281,0.57454,0.25991,1.18106,1.80653,1.35643,1.10103,0,0.001052,0.001052,0.001052
18,346.739,1.1675,1.86586,0.84331,1.066,0,0.62814,0.64429,0.64922,0.3754,0.57453,0.58119,0.5587,0.24436,1.14557,1.76051,1.37757,1.07843,0,0.00103962,0.00103962,0.00103962
19,365.309,1.16549,1.87199,0.84124,1.05869,0,0.67063,0.65913,0.68964,0.4147,0.61871,0.59277,0.58482,0.27267,1.17191,1.7982,1.11903,1.08919,0,0.00102725,0.00102725,0.00102725
20,383.914,1.15361,1.84499,0.83553,1.05741,0,0.70323,0.61099,0.67566,0.40007,0.64084,0.55544,0.57954,0.27299,1.20496,1.81805,0.92892,1.09692,0,0.00101488,0.00101488,0.00101488
21,402.439,1.14699,1.81553,0.82833,1.05143,0,0.74253,0.64433,0.70209,0.41753,0.6616,0.56843,0.57559,0.26475,1.13027,1.74757,0.86276,1.06721,0,0.0010025,0.0010025,0.0010025
22,420.924,1.12884,1.78987,0.81092,1.04636,0,0.72318,0.62636,0.67721,0.40173,0.65705,0.54853,0.57613,0.27432,1.15106,1.74748,0.93095,1.08042,0,0.000990125,0.000990125,0.000990125
23,439.873,1.14035,1.8055,0.80588,1.04682,0,0.66074,0.62469,0.64476,0.38051,0.60459,0.52909,0.52198,0.23468,1.17321,1.80292,1.18678,1.10397,0,0.00097775,0.00097775,0.00097775
24,458.538,1.13327,1.77691,0.79113,1.04093,0,0.74989,0.67899,0.72193,0.42575,0.68511,0.60924,0.6166,0.29197,1.13435,1.69293,1.00059,1.07783,0,0.000965375,0.000965375,0.000965375
25,477.097,1.11311,1.77105,0.78571,1.03666,0,0.74295,0.69378,0.74003,0.43205,0.67851,0.62915,0.63559,0.29632,1.1136,1.67569,0.83041,1.06707,0,0.000953,0.000953,0.000953
26,495.594,1.11074,1.75397,0.7801,1.03257,0,0.73163,0.67332,0.72217,0.43376,0.64348,0.59732,0.59202,0.27464,1.12424,1.73622,0.84482,1.06024,0,0.000940625,0.000940625,0.000940625
27,514.049,1.12328,1.76187,0.78723,1.03925,0,0.7658,0.677,0.7474,0.45566,0.70195,0.60479,0.62828,0.28867,1.08956,1.65895,0.85126,1.05611,0,0.00092825,0.00092825,0.00092825
28,532.532,1.09913,1.7162,0.75591,1.02865,0,0.76113,0.65452,0.73017,0.44332,0.68465,0.58271,0.60766,0.28578,1.11182,1.68443,0.87948,1.06762,0,0.000915875,0.000915875,0.000915875
29,550.973,1.08968,1.71757,0.7504,1.02703,0,0.76631,0.6773,0.75194,0.4633,0.72897,0.61486,0.65532,0.31723,1.08455,1.60307,0.8384,1.05363,0,0.0009035,0.0009035,0.0009035
30,569.578,1.08108,1.7027,0.75155,1.01925,0,0.73793,0.71868,0.7682,0.47624,0.68947,0.6642,0.67409,0.32843,1.07,1.58537,0.80275,1.03916,0,0.000891125,0.000891125,0.000891125
31,588.552,1.09274,1.70228,0.74429,1.0204,0,0.75533,0.72378,0.76595,0.48028,0.69374,0.65899,0.653,0.32376,1.08241,1.61819,0.82599,1.04762,0,0.00087875,0.00087875,0.00087875
32,607.142,1.06978,1.674,0.72899,1.01805,0,0.74159,0.66721,0.72595,0.43302,0.69424,0.61798,0.64682,0.29637,1.11689,1.63032,0.81797,1.06126,0,0.000866375,0.000866375,0.000866375
33,625.972,1.06438,1.664,0.72364,1.01176,0,0.74712,0.70581,0.74337,0.44455,0.69547,0.62787,0.64495,0.2922,1.15596,1.64475,0.87964,1.06352,0,0.000854,0.000854,0.000854
34,644.605,1.06052,1.64685,0.72363,1.01201,0,0.73002,0.69684,0.72933,0.46314,0.68157,0.62569,0.63167,0.30283,1.09915,1.64441,0.81201,1.05151,0,0.000841625,0.000841625,0.000841625
35,663.013,1.05875,1.66438,0.71884,1.00907,0,0.77084,0.66586,0.75069,0.48062,0.7313,0.60821,0.65836,0.32323,1.05803,1.61022,0.78631,1.03754,0,0.00082925,0.00082925,0.00082925
36,681.42,1.04632,1.64295,0.70735,1.00543,0,0.79323,0.68535,0.76771,0.47585,0.74929,0.62279,0.67051,0.32419,1.10017,1.63254,0.78042,1.05208,0,0.000816875,0.000816875,0.000816875
37,699.813,1.03947,1.63075,0.70092,1.00069,0,0.73287,0.66937,0.74035,0.45596,0.69612,0.60536,0.64694,0.31071,1.11289,1.68234,0.85742,1.05313,0,0.0008045,0.0008045,0.0008045
38,718.399,1.04474,1.63593,0.70232,1.00184,0,0.76238,0.70722,0.75849,0.48565,0.70471,0.64476,0.65423,0.29805,1.08755,1.62243,0.78759,1.05084,0,0.000792125,0.000792125,0.000792125
39,736.981,1.02531,1.60801,0.68375,0.99345,0,0.77697,0.71504,0.78068,0.48962,0.73906,0.6524,0.6802,0.33376,1.08503,1.64827,0.78203,1.05564,0,0.00077975,0.00077975,0.00077975
40,755.576,1.02662,1.59365,0.68273,0.99907,0,0.77453,0.69705,0.77128,0.48408,0.71767,0.64455,0.67948,0.34547,1.05823,1.56984,0.75822,1.03816,0,0.000767375,0.000767375,0.000767375
41,774.098,1.0139,1.58217,0.67584,0.99388,0,0.80708,0.68499,0.77369,0.49116,0.75161,0.61904,0.66892,0.31456,1.07269,1.59236,0.77375,1.04233,0,0.000755,0.000755,0.000755
42,792.652,1.02181,1.58636,0.67485,0.99614,0,0.77665,0.7171,0.77328,0.49644,0.74177,0.66045,0.68524,0.3382,1.08428,1.62577,0.7667,1.03895,0,0.000742625,0.000742625,0.000742625
43,811.436,1.00152,1.56149,0.65905,0.98621,0,0.80571,0.68957,0.76986,0.48634,0.77785,0.62825,0.6828,0.3346,1.07376,1.558,0.76177,1.0381,0,0.00073025,0.00073025,0.00073025
44,830.042,1.00902,1.56927,0.66633,0.98383,0,0.76791,0.7013,0.76677,0.48747,0.7048,0.63249,0.65411,0.32317,1.05951,1.61025,0.77326,1.04029,0,0.000717875,0.000717875,0.000717875
45,848.517,1.00425,1.56094,0.66083,0.9865,0,0.7967,0.70111,0.76716,0.49607,0.75186,0.65804,0.68975,0.35071,1.04509,1.56982,0.78309,1.03938,0,0.0007055,0.0007055,0.0007055
46,867.29,1.00078,1.5533,0.65096,0.97975,0,0.76858,0.70279,0.77073,0.49235,0.72017,0.6526,0.67781,0.34175,1.07687,1.59688,0.80336,1.03927,0,0.000693125,0.000693125,0.000693125
47,885.948,0.99766,1.5505,0.65319,0.98192,0,0.77303,0.72445,0.7564,0.47415,0.71472,0.64856,0.64687,0.30346,1.10387,1.65339,0.78637,1.05133,0,0.00068075,0.00068075,0.00068075
48,904.592,0.99611,1.54925,0.64636,0.98085,0,0.81741,0.70182,0.77938,0.49721,0.7616,0.64946,0.68979,0.34842,1.04502,1.58081,0.75392,1.03312,0,0.000668375,0.000668375,0.000668375
49,923.078,0.98347,1.53877,0.63367,0.97378,0,0.77828,0.72293,0.7861,0.50351,0.75687,0.65438,0.69886,0.34481,1.05038,1.57227,0.74387,1.03535,0,0.000656,0.000656,0.000656
50,941.668,0.98043,1.50908,0.63231,0.9706,0,0.80285,0.72462,0.79315,0.51499,0.75721,0.66206,0.69906,0.35511,1.04458,1.56751,0.745,1.03192,0,0.000643625,0.000643625,0.000643625
