epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0077,1.98586,3.08055,2.35329,0.0077,3.79551,0.35804,0.42808,0.31036,0.15648,0.30247,0.34739,0.23701,0.09331,nan,nan,nan,nan,0,0.000412458,0.000412458,0.000412458
2,61.4835,1.93182,2.61411,1.58137,0.00696,2.10959,0.3967,0.36981,0.33098,0.17237,0.36421,0.3224,0.27979,0.11401,1.68534,2.27958,1.48298,0.00681,0,0.000823652,0.000823652,0.000823652
3,89.9671,1.97571,2.62328,1.57967,0.00752,2.02541,0.31676,0.45942,0.34744,0.15922,0.31487,0.31409,0.2592,0.10048,1.8087,2.26307,2.17367,0.00736,0,0.00122935,0.00122935,0.00122935
4,117.335,1.97225,2.56855,1.53782,0.00756,1.96317,0.2406,0.44902,0.3215,0.15938,0.21844,0.38038,0.25435,0.10578,1.7781,2.14548,2.27062,0.00712,0,0.00122525,0.00122525,0.00122525
5,144.767,1.96479,2.53606,1.49455,0.00727,1.87978,0.48085,0.49619,0.4606,0.23596,0.40846,0.43393,0.37108,0.15765,1.68261,2.08304,1.33852,0.00678,0,0.001217,0.001217,0.001217
6,172.732,1.91445,2.46246,1.45898,0.00714,1.81089,0.50026,0.47473,0.45693,0.22678,0.4563,0.39533,0.36902,0.16223,1.70425,2.11204,1.24817,0.00688,0,0.00120875,0.00120875,0.00120875
7,200.069,1.88285,2.42456,1.41809,0.00708,1.73943,0.59161,0.50829,0.51271,0.26015,0.51025,0.42853,0.40029,0.16963,1.7025,2.07701,1.22653,0.00669,0,0.0012005,0.0012005,0.0012005
8,227.728,1.88534,2.41175,1.39454,0.00692,1.75552,0.58712,0.5048,0.52476,0.26265,0.52077,0.43218,0.40229,0.15537,nan,nan,nan,nan,0,0.00119225,0.00119225,0.00119225
9,254.118,1.86648,2.37588,1.34441,0.00671,1.67559,0.56764,0.5215,0.51935,0.26731,0.50983,0.46785,0.43822,0.18161,1.66121,1.96605,1.40677,0.00645,0,0.001184,0.001184,0.001184
10,281.078,1.84342,2.3432,1.33742,0.00662,1.65111,0.55978,0.50973,0.52395,0.26282,0.52092,0.43825,0.44492,0.18676,1.65162,2.01007,1.2389,0.00654,0,0.00117575,0.00117575,0.00117575
11,308.164,1.85181,2.32891,1.32639,0.00664,1.62692,0.63575,0.52063,0.54803,0.28476,0.55891,0.46807,0.45357,0.19,1.62631,1.9511,1.32616,0.00624,0,0.0011675,0.0011675,0.0011675
12,335.153,1.82866,2.29816,1.31805,0.00664,1.61075,0.62066,0.53548,0.54943,0.2915,0.53736,0.46149,0.43979,0.19043,nan,nan,nan,nan,0,0.00115925,0.00115925,0.00115925
13,361.716,1.80683,2.26876,1.29954,0.00662,1.60149,0.61873,0.57334,0.58089,0.29573,0.5463,0.49156,0.48108,0.20536,1.67601,nan,nan,0.00659,0,0.001151,0.001151,0.001151
14,388.154,1.81246,2.26869,1.27619,0.00646,1.5727,0.63725,0.55202,0.59835,0.32158,0.59979,0.50116,0.52337,0.2215,1.54971,nan,nan,0.0059,0,0.00114275,0.00114275,0.00114275
15,414.765,1.78991,2.248,1.26194,0.00648,1.50831,0.63553,0.55237,0.58134,0.30782,0.56705,0.48592,0.48027,0.20568,1.58949,1.89049,1.25703,0.00603,0,0.0011345,0.0011345,0.0011345
16,440.865,1.77056,2.23363,1.25087,0.00621,1.53982,0.64108,0.54782,0.59215,0.31893,0.5681,0.48201,0.49234,0.21077,1.55785,1.83639,1.09881,0.00603,0,0.00112625,0.00112625,0.00112625
17,466.894,1.75924,2.21476,1.23631,0.00628,1.47191,0.65242,0.54897,0.59621,0.31935,0.57175,0.48728,0.48955,0.20401,1.54559,1.88535,1.08531,0.00598,0,0.001118,0.001118,0.001118
18,492.781,1.75865,2.19186,1.23538,0.00628,1.51731,0.66046,0.54347,0.59221,0.31748,0.59144,0.4973,0.50972,0.23863,1.58352,1.85406,1.09021,0.00607,0,0.00110975,0.00110975,0.00110975
19,519.601,1.75999,2.21816,1.21576,0.00609,1.43124,0.66941,0.57963,0.63151,0.3415,0.58384,0.5206,0.53239,0.24217,1.53761,1.84865,1.10601,0.00596,0,0.0011015,0.0011015,0.0011015
20,546.147,1.73558,2.16771,1.20845,0.00615,1.43018,0.69475,0.58056,0.64187,0.35022,0.62641,0.50551,0.51716,0.23397,1.54002,1.84154,1.05148,0.00592,0,0.00109325,0.00109325,0.00109325
21,572.765,1.76016,2.19842,1.21582,0.00601,1.46823,0.69012,0.59598,0.6297,0.34199,0.61409,0.52193,0.51803,0.23363,1.51031,1.85704,1.05105,0.00569,0,0.001085,0.001085,0.001085
22,598.962,1.72592,2.14852,1.20163,0.00612,1.44658,0.66271,0.60446,0.64576,0.35412,0.59686,0.53237,0.54495,0.23534,1.53123,1.82203,1.17087,0.00579,0,0.00107675,0.00107675,0.00107675
23,625.72,1.73773,2.16567,1.18762,0.00594,1.44751,0.70466,0.62291,0.67069,0.37188,0.64043,0.56351,0.57671,0.26267,1.49663,1.77466,0.98614,0.00582,0,0.0010685,0.0010685,0.0010685
24,652.299,1.72958,2.13754,1.17548,0.00596,1.39667,0.70245,0.59601,0.65879,0.35312,0.63115,0.53775,0.55766,0.25223,1.55019,1.82222,1.07256,0.00598,0,0.00106025,0.00106025,0.00106025
25,678.662,1.72373,2.13697,1.16451,0.00585,1.40068,0.72479,0.57303,0.65569,0.35561,0.67269,0.50647,0.54873,0.24553,1.54681,1.79485,1.03127,0.00585,0,0.001052,0.001052,0.001052
26,704.804,1.7023,2.10794,1.13671,0.00565,1.34268,0.73815,0.5708,0.66494,0.36989,0.65112,0.49979,0.54342,0.24981,1.49715,1.7832,1.0451,0.00566,0,0.00104375,0.00104375,0.00104375
27,730.995,1.70828,2.11118,1.15619,0.00584,1.39842,0.6913,0.6118,0.67252,0.36253,0.61808,0.52785,0.54947,0.24944,1.50724,1.77315,1.02445,0.0059,0,0.0010355,0.0010355,0.0010355
28,757.236,1.70701,2.11358,1.14546,0.00587,1.38812,0.69253,0.60617,0.66281,0.34397,0.61722,0.53358,0.55368,0.24129,1.52008,1.79348,1.09467,0.00591,0,0.00102725,0.00102725,0.00102725
29,783.439,1.70112,2.1036,1.14554,0.00569,1.34756,0.68797,0.60554,0.65912,0.36042,0.61231,0.54347,0.54498,0.24686,1.50819,1.79777,0.98491,0.00564,0,0.001019,0.001019,0.001019
30,809.481,1.6923,2.08419,1.14173,0.00579,1.39002,0.72582,0.60273,0.6835,0.36912,0.65776,0.54812,0.58257,0.26969,1.51804,1.74462,1.07284,0.00584,0,0.00101075,0.00101075,0.00101075
31,836.051,1.69971,2.10056,1.14831,0.00567,1.33034,0.74003,0.6074,0.68053,0.37605,0.67797,0.55561,0.58225,0.26665,nan,nan,nan,nan,0,0.0010025,0.0010025,0.0010025
32,862.657,1.67983,2.06674,1.11613,0.00558,1.28388,0.69427,0.61024,0.6793,0.37916,0.65572,0.52957,0.57609,0.27125,1.52188,1.75832,1.00696,0.00586,0,0.00099425,0.00099425,0.00099425
33,889.171,1.66554,2.06423,1.12232,0.00568,1.3361,0.73377,0.60827,0.68657,0.38126,0.65571,0.53999,0.57351,0.25732,1.4804,1.73041,1.04707,0.00556,0,0.000986,0.000986,0.000986
34,915.118,1.67017,2.06108,1.11341,0.00559,1.35303,0.69618,0.62618,0.67251,0.37531,0.6402,0.55115,0.57077,0.25914,1.47977,1.74558,0.99696,0.00556,0,0.00097775,0.00097775,0.00097775
35,941.077,1.65285,2.02216,1.09919,0.00567,1.31923,0.72442,0.63611,0.69142,0.37676,0.64208,0.56344,0.57921,0.26153,1.51026,1.75142,0.97698,0.00563,0,0.0009695,0.0009695,0.0009695
36,967.333,1.66254,2.03531,1.07731,0.00546,1.24614,0.71897,0.64382,0.68428,0.37521,0.65499,0.56907,0.57608,0.27013,1.46063,1.7068,0.94953,0.0056,0,0.00096125,0.00096125,0.00096125
37,993.659,1.66394,2.04725,1.09154,0.00549,1.25798,0.73997,0.60415,0.69084,0.39144,0.67264,0.53993,0.58007,0.26563,1.50724,1.76505,0.99105,0.00558,0,0.000953,0.000953,0.000953
38,1019.91,1.64816,2.02881,1.08708,0.00556,1.26004,0.70587,0.6248,0.67477,0.37455,0.64433,0.55387,0.57267,0.26127,1.476,1.75718,0.96447,0.00561,0,0.00094475,0.00094475,0.00094475
39,1046.06,1.66323,2.03505,1.08185,0.00535,1.27782,0.70854,0.65238,0.69685,0.3846,0.64736,0.55064,0.57442,0.2676,1.46692,1.74941,1.11117,0.00567,0,0.0009365,0.0009365,0.0009365
40,1072.18,1.64305,2.0184,1.07685,0.00544,1.26817,0.72545,0.63526,0.69254,0.38896,0.65573,0.56047,0.58332,0.27386,1.48689,1.75747,0.97504,0.00551,0,0.00092825,0.00092825,0.00092825
41,1098.69,1.64815,2.02088,1.06844,0.00548,1.25249,0.69976,0.62898,0.69057,0.39768,0.62786,0.5573,0.57981,0.26979,1.45336,1.73827,0.97756,0.00544,0,0.00092,0.00092,0.00092
42,1125.02,1.62751,1.99125,1.06187,0.00532,1.21969,0.74438,0.65024,0.71944,0.40791,0.67643,0.57701,0.60504,0.28616,1.4355,1.70224,0.92384,0.00535,0,0.00091175,0.00091175,0.00091175
43,1151.48,1.61371,1.98095,1.05085,0.00527,1.20032,0.74191,0.62915,0.7031,0.39337,0.68821,0.5626,0.59836,0.28162,1.44548,1.68074,0.9276,0.00537,0,0.0009035,0.0009035,0.0009035
44,1177.52,1.61843,1.96649,1.0657,0.00539,1.25061,0.67897,0.64333,0.68575,0.3861,0.62631,0.56018,0.57065,0.25641,1.45483,1.68714,0.95567,0.00553,0,0.00089525,0.00089525,0.00089525
45,1203.8,1.63187,2.00261,1.06018,0.00537,1.25352,0.71205,0.65762,0.71011,0.39766,0.64671,0.5885,0.60968,0.27917,1.43468,1.71961,0.93234,0.0054,0,0.000887,0.000887,0.000887
46,1229.96,1.62323,1.97571,1.05303,0.00535,1.20308,0.71771,0.64749,0.71411,0.41225,0.65129,0.58364,0.60927,0.2838,1.43757,1.69636,0.92709,0.00532,0,0.00087875,0.00087875,0.00087875
47,1256.68,1.61568,1.95737,1.02606,0.00529,1.17716,0.72126,0.65796,0.71776,0.41519,0.69208,0.58009,0.62507,0.28993,1.42785,1.70226,0.90941,0.00528,0,0.0008705,0.0008705,0.0008705
48,1283.22,1.60452,1.94852,1.03986,0.00521,1.21615,0.73552,0.66797,0.72676,0.40675,0.68423,0.59554,0.62598,0.29344,1.43004,1.70323,0.92961,0.00534,0,0.00086225,0.00086225,0.00086225
49,1309.37,1.60851,1.95622,1.03886,0.00525,1.21106,0.76471,0.63905,0.71227,0.41391,0.69603,0.57543,0.60689,0.27687,1.44559,1.68706,0.95134,0.00535,0,0.000854,0.000854,0.000854
50,1335.51,1.59896,1.93704,1.01591,0.00509,1.17604,0.70849,0.65795,0.71646,0.41204,0.64322,0.58336,0.60495,0.28498,1.43525,1.72009,0.93411,0.00534,0,0.00084575,0.00084575,0.00084575
51,1361.72,1.60067,1.93716,1.01684,0.00518,1.16625,0.75609,0.64014,0.7234,0.41787,0.68301,0.56802,0.60499,0.28293,1.4298,1.7109,0.94243,0.00528,0,0.0008375,0.0008375,0.0008375
52,1387.92,1.59218,1.9329,1.01556,0.00512,1.14969,0.76982,0.66053,0.73692,0.42016,0.71056,0.59729,0.63421,0.29981,1.45231,1.68365,0.95077,0.00537,0,0.00082925,0.00082925,0.00082925
53,1414.68,1.58037,1.92612,1.00463,0.00507,1.12107,0.7424,0.66051,0.72266,0.41805,0.65928,0.59543,0.61449,0.29118,1.42652,1.64612,0.94053,0.00521,0,0.000821,0.000821,0.000821
54,1440.8,1.59386,1.92044,1.01374,0.00517,1.13932,0.75381,0.67049,0.7389,0.42712,0.69281,0.58551,0.62722,0.29289,1.42282,1.66039,0.89549,0.00512,0,0.00081275,0.00081275,0.00081275
55,1467.49,1.58599,1.90364,0.9925,0.00508,1.111,0.77468,0.64377,0.73531,0.41643,0.73052,0.56671,0.62668,0.30132,1.42465,1.66971,0.90398,0.00524,0,0.0008045,0.0008045,0.0008045
56,1493.66,1.56417,1.88351,0.99526,0.00504,1.0975,0.76832,0.65186,0.72903,0.42788,0.6966,0.58524,0.62364,0.30018,1.41274,1.6716,0.90215,0.00519,0,0.00079625,0.00079625,0.00079625
57,1520.34,1.56866,1.89865,0.97713,0.00507,1.10575,0.73806,0.65814,0.7205,0.42342,0.7236,0.57594,0.62373,0.29694,1.39895,1.6872,0.89853,0.00521,0,0.000788,0.000788,0.000788
58,1546.61,1.56815,1.89548,0.98649,0.00501,1.11562,0.756,0.67161,0.73627,0.42763,0.68793,0.60509,0.62636,0.29917,1.41085,1.66552,0.89969,0.00522,0,0.00077975,0.00077975,0.00077975
59,1572.81,1.5597,1.89714,0.97128,0.00491,1.09124,0.76553,0.65508,0.7288,0.42781,0.69895,0.58357,0.61212,0.29186,1.41407,1.65955,0.90154,0.00509,0,0.0007715,0.0007715,0.0007715
60,1599.08,1.56562,1.89757,0.97412,0.00494,1.07155,0.76902,0.67176,0.74926,0.43856,0.70259,0.60824,0.65123,0.31635,1.3921,1.65135,0.89771,0.00519,0,0.00076325,0.00076325,0.00076325
