epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0728,2.02705,3.2239,2.46349,0.00802,6.76765,0.69881,0.16884,0.16009,0.08318,0.66418,0.12292,0.11449,0.04866,2.04613,2.92535,2.60704,0.00852,0,0.000408333,0.000408333,0.000408333
2,82.1944,1.95531,2.66442,1.61934,0.00679,2.58762,0.4842,0.19288,0.18855,0.08456,0.41611,0.15032,0.14457,0.05494,2.24431,3.1199,5.52747,0.00909,0,0.000819555,0.000819555,0.000819555
3,118.952,1.9421,2.54065,1.53084,0.00688,2.17318,0.41684,0.11831,0.128,0.05347,0.59573,0.08445,0.07706,0.02866,2.27671,3.04086,5.68176,0.01024,0,0.00122528,0.00122528,0.00122528
4,155.662,1.93914,2.51605,1.49055,0.00693,2.06056,0.65238,0.19108,0.20448,0.09966,0.63225,0.10705,0.11608,0.05094,nan,nan,nan,nan,0,0.00122525,0.00122525,0.00122525
5,192.791,1.93473,2.50247,1.45002,0.00689,1.97966,0.40052,0.34734,0.2958,0.14512,0.34714,0.2876,0.23383,0.09613,1.92124,2.41848,1.66852,0.00796,0,0.001217,0.001217,0.001217
6,229.918,1.91979,2.47044,1.43102,0.00674,1.97297,0.42953,0.29198,0.29995,0.14259,0.40561,0.20129,0.21186,0.08711,1.91622,2.56333,2.39981,0.00774,0,0.00120875,0.00120875,0.00120875
7,266.39,1.8667,2.42523,1.3875,0.0065,1.87776,0.44208,0.38394,0.34938,0.15762,0.37556,0.31979,0.2724,0.10907,2.04845,2.36728,1.53148,0.00824,0,0.0012005,0.0012005,0.0012005
8,302.895,1.87538,2.4278,1.37388,0.00634,1.85593,0.34896,0.35017,0.29755,0.14793,0.34631,0.29636,0.25616,0.11288,nan,nan,nan,nan,0,0.00119225,0.00119225,0.00119225
9,339.355,1.84638,2.38662,1.34756,0.00628,1.79354,0.48177,0.37708,0.37247,0.18516,0.40555,0.30581,0.27899,0.11624,1.86301,2.37708,1.67651,0.00756,0,0.001184,0.001184,0.001184
10,375.401,1.83501,2.34817,1.31585,0.00621,1.74633,0.50678,0.41551,0.4052,0.20367,0.45866,0.35934,0.33034,0.13265,1.83989,2.31169,1.45982,0.00722,0,0.00117575,0.00117575,0.00117575
11,412.655,1.86576,2.35851,1.32514,0.00623,1.7355,0.54788,0.43304,0.46026,0.22103,0.46565,0.37561,0.34994,0.14425,1.84632,2.27363,1.46779,0.00752,0,0.0011675,0.0011675,0.0011675
12,447.912,1.81619,2.3226,1.30041,0.00609,1.70915,0.52256,0.44565,0.4383,0.21457,0.48334,0.37098,0.3671,0.15772,1.84378,2.16909,1.44345,0.00722,0,0.00115925,0.00115925,0.00115925
13,483.997,1.80399,2.29664,1.29954,0.00615,1.70695,0.5422,0.32199,0.34041,0.17997,0.4647,0.26354,0.25969,0.11749,1.83095,2.49402,1.65235,0.00767,0,0.001151,0.001151,0.001151
14,519.157,1.8242,2.30806,1.29868,0.0061,1.72908,0.4485,0.41387,0.3738,0.19283,0.39635,0.33712,0.29137,0.12475,1.81666,2.22424,1.68719,0.00722,0,0.00114275,0.00114275,0.00114275
15,555.087,1.79089,2.25767,1.29098,0.00611,1.70131,0.49896,0.46134,0.42616,0.20773,0.43671,0.39277,0.33063,0.13926,1.80953,2.23921,1.55831,0.00718,0,0.0011345,0.0011345,0.0011345
16,591.196,1.81923,2.29502,1.26378,0.00596,1.68463,0.61004,0.42319,0.46189,0.23826,0.54475,0.37091,0.38309,0.17119,1.81942,2.22562,1.34851,0.00704,0,0.00112625,0.00112625,0.00112625
17,627.379,1.79353,2.26502,1.24673,0.0059,1.65985,0.55977,0.44162,0.45101,0.21214,0.51669,0.35797,0.346,0.14776,1.893,2.16979,1.42791,0.0075,0,0.001118,0.001118,0.001118
18,663.455,1.78394,2.25736,1.25793,0.00596,1.62799,0.58675,0.49566,0.50204,0.25526,0.53663,0.42127,0.40807,0.17157,1.74377,2.12036,1.25748,0.00676,0,0.00110975,0.00110975,0.00110975
19,699.426,1.80589,2.25999,1.25858,0.00599,1.65321,0.59721,0.47365,0.47749,0.24274,0.508,0.40504,0.37256,0.15936,1.77399,2.1605,1.31336,0.00681,0,0.0011015,0.0011015,0.0011015
20,735.594,1.76413,2.23548,1.23228,0.0058,1.63271,0.57805,0.47785,0.49022,0.24505,0.52524,0.41348,0.40369,0.1774,1.76199,2.11573,1.28961,0.00688,0,0.00109325,0.00109325,0.00109325
21,771.729,1.76763,2.22412,1.24127,0.00583,1.61132,0.53379,0.49337,0.49025,0.25245,0.47442,0.4408,0.40337,0.17829,1.706,2.06559,1.44214,0.00681,0,0.001085,0.001085,0.001085
22,796.759,1.75453,2.18518,1.21741,0.00578,1.55799,0.64532,0.47133,0.51749,0.26728,0.57915,0.40469,0.42276,0.18466,1.74881,2.0918,1.24362,0.00653,0,0.00107675,0.00107675,0.00107675
23,816.183,1.75086,2.20294,1.20117,0.00563,1.54312,0.5365,0.51294,0.50244,0.25826,0.47903,0.44503,0.41946,0.18498,1.73002,2.12321,1.32577,0.00663,0,0.0010685,0.0010685,0.0010685
24,835.555,1.74067,2.1851,1.21199,0.00566,1.58084,0.58034,0.43128,0.46683,0.24375,0.56944,0.35835,0.3794,0.16503,1.72581,2.09424,1.34613,0.00666,0,0.00106025,0.00106025,0.00106025
25,854.724,1.75588,2.1921,1.20312,0.00569,1.53073,0.63508,0.47779,0.53417,0.27957,0.55526,0.4251,0.43691,0.19069,1.66788,2.06089,1.26313,0.00628,0,0.001052,0.001052,0.001052
26,874.084,1.7407,2.16893,1.19928,0.00565,1.56453,0.67742,0.4878,0.55194,0.27898,0.62628,0.4239,0.45267,0.19163,1.70857,2.03324,1.25202,0.00644,0,0.00104375,0.00104375,0.00104375
27,893.322,1.74157,2.18149,1.19465,0.00556,1.52779,0.62576,0.49368,0.52783,0.27319,0.55196,0.4203,0.41674,0.17947,1.68063,2.06262,1.25651,0.00624,0,0.0010355,0.0010355,0.0010355
28,912.901,1.73111,2.17972,1.18516,0.00554,1.50391,0.61087,0.46185,0.50329,0.25693,0.56391,0.40875,0.42478,0.17622,1.69913,2.08507,1.26502,0.00646,0,0.00102725,0.00102725,0.00102725
29,931.87,1.72418,2.14264,1.17767,0.00561,1.4963,0.64413,0.49162,0.53278,0.27872,0.56944,0.42832,0.43084,0.18552,1.73979,2.08448,1.27687,0.0063,0,0.001019,0.001019,0.001019
