epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1397,2.05979,3.2009,2.37229,0.00821,5.68936,0.29367,0.28838,0.25978,0.14046,0.23838,0.2285,0.18328,0.0781,1.84359,2.50716,1.59132,0.00698,0,0.000412458,0.000412458,0.000412458
2,89.4406,1.98894,2.70933,1.62326,0.00717,2.36596,0.32207,0.36441,0.2868,0.14593,0.25447,0.28539,0.20368,0.08165,nan,nan,nan,nan,0,0.000823652,0.000823652,0.000823652
3,130.494,1.98871,2.63038,1.5673,0.00752,2.02482,0.54742,0.38442,0.39878,0.17956,0.46956,0.32235,0.31717,0.12553,1.92303,2.3302,1.51989,0.00783,0,0.00122935,0.00122935,0.00122935
4,171.691,1.97853,2.5941,1.54015,0.00757,1.95765,0.37242,0.46632,0.38909,0.18657,0.34555,0.40775,0.32849,0.13361,1.82122,2.18581,2.12275,0.00766,0,0.00122525,0.00122525,0.00122525
5,212.805,1.97243,2.56994,1.51299,0.00732,1.88294,0.5491,0.46185,0.49291,0.24469,0.45305,0.37559,0.36859,0.15619,1.7395,2.12573,1.56155,0.00711,0,0.001217,0.001217,0.001217
6,252.668,1.91815,2.48568,1.42671,0.00712,1.76421,0.49802,0.4539,0.4258,0.20309,0.43267,0.39146,0.33476,0.1365,1.77677,2.14012,1.25956,0.00712,0,0.00120875,0.00120875,0.00120875
7,291.973,1.88684,2.44358,1.39732,0.00704,1.73516,0.54458,0.52018,0.51119,0.25375,0.47271,0.42933,0.40081,0.16672,1.7038,2.1017,1.30496,0.00685,0,0.0012005,0.0012005,0.0012005
8,333.087,1.91581,2.45248,1.40969,0.00706,1.78383,0.55764,0.50201,0.51415,0.25537,0.531,0.42141,0.42338,0.17453,1.73304,2.06145,1.24991,0.00719,0,0.00119225,0.00119225,0.00119225
9,373.971,1.88874,2.39955,1.364,0.00683,1.67536,0.64028,0.45858,0.51524,0.25465,0.56122,0.42293,0.42943,0.18357,1.67237,1.97358,1.16404,0.00672,0,0.001184,0.001184,0.001184
10,414.422,1.86288,2.37339,1.36019,0.00677,1.67913,0.5617,0.50956,0.50087,0.25629,0.53083,0.45686,0.43337,0.18942,1.65123,2.01578,1.20746,0.00676,0,0.00117575,0.00117575,0.00117575
11,454.632,1.86079,2.35779,1.3482,0.00667,1.65149,0.58067,0.50014,0.52246,0.26801,0.52508,0.42489,0.42378,0.18898,1.70148,1.96648,1.24891,0.00675,0,0.0011675,0.0011675,0.0011675
12,495.443,1.85491,2.33214,1.35018,0.00674,1.64094,0.66154,0.53195,0.58384,0.29666,0.60472,0.46438,0.47779,0.20387,nan,nan,nan,nan,0,0.00115925,0.00115925,0.00115925
13,535.783,1.83349,2.30814,1.32875,0.00676,1.64824,0.66927,0.51129,0.57203,0.2903,0.59614,0.4351,0.44946,0.18339,nan,nan,nan,nan,0,0.001151,0.001151,0.001151
14,576.369,1.82559,2.29362,1.29621,0.00651,1.58594,0.60575,0.54165,0.56592,0.29534,0.55291,0.48137,0.47944,0.2026,1.58976,1.92487,1.33156,0.00609,0,0.00114275,0.00114275,0.00114275
15,616.764,1.8148,2.29299,1.29358,0.00657,1.52903,0.59003,0.5497,0.55402,0.28144,0.53423,0.47792,0.44556,0.18717,1.64601,2.02053,1.31572,0.0065,0,0.0011345,0.0011345,0.0011345
16,657.57,1.8102,2.27334,1.27743,0.00637,1.53191,0.67066,0.54416,0.59252,0.30374,0.60816,0.48425,0.49967,0.20939,1.63044,1.90245,1.18019,0.00619,0,0.00112625,0.00112625,0.00112625
17,697.756,1.80171,2.26215,1.26031,0.00643,1.46767,0.60709,0.55005,0.56792,0.29267,0.54107,0.48079,0.46461,0.2011,1.58903,1.89061,1.12328,0.00619,0,0.001118,0.001118,0.001118
18,737.249,1.77796,2.21288,1.25109,0.00634,1.50393,0.6802,0.57133,0.61544,0.33482,0.61931,0.49171,0.51101,0.21624,1.59561,1.87397,1.07562,0.00613,0,0.00110975,0.00110975,0.00110975
19,778.073,1.78858,2.23914,1.24063,0.00622,1.47563,0.61285,0.56397,0.58832,0.30323,0.54941,0.49838,0.47967,0.2103,1.60235,1.88082,1.07577,0.00622,0,0.0011015,0.0011015,0.0011015
20,818.614,1.76507,2.1932,1.2321,0.00624,1.47965,0.65082,0.56597,0.59621,0.31625,0.59317,0.49603,0.493,0.21089,1.60018,1.85192,1.08311,0.00621,0,0.00109325,0.00109325,0.00109325
21,859.156,1.80223,2.25152,1.25173,0.00621,1.5135,0.64136,0.50244,0.53831,0.2722,0.57687,0.44381,0.44933,0.18807,1.59635,1.92627,1.1126,0.00646,0,0.001085,0.001085,0.001085
22,899.261,1.76551,2.2137,1.24023,0.00627,1.49369,0.65316,0.56488,0.59732,0.31227,0.56477,0.48606,0.48549,0.21035,1.59436,1.85796,1.16756,0.00612,0,0.00107675,0.00107675,0.00107675
23,939.979,1.77478,2.22345,1.22012,0.0061,1.44465,0.68335,0.55595,0.62263,0.33424,0.63518,0.49842,0.53881,0.24115,1.54825,1.84474,1.04067,0.00603,0,0.0010685,0.0010685,0.0010685
24,980.573,1.75598,2.1919,1.2097,0.00609,1.43824,0.67098,0.54755,0.6013,0.32545,0.61382,0.48473,0.49974,0.2243,1.60464,1.85385,1.10828,0.00608,0,0.00106025,0.00106025,0.00106025
25,1021.39,1.76899,2.19889,1.21737,0.00611,1.44651,0.71896,0.59301,0.64924,0.34052,0.65105,0.53275,0.55237,0.24825,1.59602,1.81311,1.04756,0.00602,0,0.001052,0.001052,0.001052
26,1061.65,1.73356,2.1515,1.16243,0.00578,1.35542,0.73827,0.58478,0.6695,0.36591,0.66728,0.52225,0.56423,0.25946,1.54436,1.80742,1.07172,0.00588,0,0.00104375,0.00104375,0.00104375
27,1102.2,1.74112,2.15573,1.17155,0.00595,1.37899,0.74137,0.58065,0.64604,0.33271,0.65861,0.52158,0.53063,0.21836,1.58294,1.80742,1.05322,0.00602,0,0.0010355,0.0010355,0.0010355
28,1142.92,1.74035,2.1573,1.17527,0.00598,1.38896,0.73432,0.57785,0.65331,0.34745,0.63758,0.50147,0.52975,0.23168,1.54037,1.78555,1.02192,0.00603,0,0.00102725,0.00102725,0.00102725
29,1183,1.7312,2.15966,1.17827,0.00587,1.37099,0.70525,0.61126,0.66322,0.35478,0.6385,0.54228,0.56119,0.24367,1.56605,1.82353,1.02754,0.00582,0,0.001019,0.001019,0.001019
30,1222.5,1.7168,2.1083,1.15863,0.00588,1.34571,0.71512,0.60587,0.67124,0.35935,0.64528,0.53261,0.55796,0.24693,1.57392,1.79174,1.18368,0.00588,0,0.00101075,0.00101075,0.00101075
31,1263.09,1.73383,2.15634,1.17234,0.00583,1.33046,0.7107,0.59509,0.65589,0.35675,0.65052,0.54238,0.57002,0.25599,1.53738,1.77804,1.03688,0.0058,0,0.0010025,0.0010025,0.0010025
32,1303.6,1.72137,2.12627,1.14942,0.00578,1.31973,0.66149,0.58931,0.63454,0.32832,0.59231,0.5272,0.52517,0.23436,1.57185,1.79587,1.05782,0.00592,0,0.00099425,0.00099425,0.00099425
33,1344.4,1.69649,2.0914,1.14063,0.00584,1.33577,0.66509,0.61011,0.6472,0.36381,0.59311,0.56341,0.54864,0.24659,1.53578,1.81144,1.1017,0.00568,0,0.000986,0.000986,0.000986
