epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4657,2.32405,3.78813,3.80399,0.01039,6.74668,0.26536,0.09258,0.128,0.0752,0.13623,0.08298,0.08797,0.03894,1.9165,2.75392,8.47209,0.00781,0,0.0003,0.0003,0.0003
2,107.493,1.91078,2.7702,1.88329,0.00663,2.98744,0.24647,0.27338,0.19339,0.09377,0.21965,0.23679,0.15263,0.05995,1.94966,2.57461,2.0666,0.00801,0,0.000608458,0.000608458,0.000608458
3,158.09,1.92367,2.64516,1.62233,0.00687,2.12731,0.28325,0.27487,0.19577,0.08424,0.19165,0.20662,0.12383,0.04131,2.011,nan,nan,0.00853,0,0.00091279,0.00091279,0.00091279
4,209.121,1.9247,2.5819,1.5773,0.00704,1.92592,0.56485,0.22173,0.21618,0.09801,0.51265,0.15769,0.15175,0.05647,2.17403,3.33343,4.94597,0.00967,0,0.001213,0.001213,0.001213
5,259.024,1.97686,2.58118,1.55791,0.00722,1.85525,0.3463,0.31545,0.24475,0.11517,0.2532,0.22288,0.14904,0.05056,nan,nan,nan,nan,0,0.001217,0.001217,0.001217
6,311.957,1.92987,2.53726,1.49925,0.00707,1.79765,0.48419,0.24802,0.23902,0.11651,0.40885,0.17523,0.15714,0.0617,1.93347,2.74803,4.93719,0.00777,0,0.00120875,0.00120875,0.00120875
7,363.334,1.91988,2.48438,1.47319,0.00691,1.72525,0.39073,0.40046,0.36173,0.1684,0.3319,0.34464,0.29143,0.1184,1.83872,nan,nan,0.00779,0,0.0012005,0.0012005,0.0012005
8,414.622,1.89249,2.45901,1.42608,0.00682,1.72262,0.43182,0.40138,0.34669,0.1701,0.39323,0.33857,0.29115,0.11589,1.81865,2.38068,3.59013,0.00735,0,0.00119225,0.00119225,0.00119225
9,465.544,1.87649,2.42471,1.39492,0.00663,1.66689,0.57195,0.46449,0.48306,0.24142,0.50869,0.41105,0.39691,0.16889,1.74223,2.12598,1.71919,0.00687,0,0.001184,0.001184,0.001184
10,516.823,1.88645,2.40537,1.38476,0.00665,1.58726,0.52243,0.45132,0.4432,0.21529,0.44293,0.38102,0.34306,0.13949,1.75088,2.18494,1.87519,0.00697,0,0.00117575,0.00117575,0.00117575
11,570.254,1.84886,2.37083,1.35947,0.00646,1.61028,0.55222,0.50385,0.48831,0.24807,0.4933,0.42394,0.39271,0.16477,1.66313,2.10535,1.51497,0.00647,0,0.0011675,0.0011675,0.0011675
12,621.589,1.83997,2.36206,1.33867,0.00634,1.58043,0.53699,0.48,0.47134,0.23888,0.4776,0.41177,0.38378,0.15307,1.70556,nan,nan,0.0069,0,0.00115925,0.00115925,0.00115925
13,673.005,1.83941,2.33475,1.34842,0.00648,1.55291,0.48603,0.51347,0.4528,0.21921,0.4194,0.42678,0.35883,0.14507,1.80628,nan,nan,0.00691,0,0.001151,0.001151,0.001151
14,723.756,1.81893,2.30405,1.3004,0.00629,1.5175,0.54629,0.53254,0.52855,0.27186,0.45468,0.46819,0.41705,0.17299,1.62599,2.02124,1.48486,0.0062,0,0.00114275,0.00114275,0.00114275
15,775.386,1.8002,2.28867,1.2909,0.00632,1.51706,0.55222,0.45677,0.48671,0.24201,0.51768,0.40789,0.41481,0.17822,1.72464,2.1256,2.18395,0.00687,0,0.0011345,0.0011345,0.0011345
16,828.245,1.79697,2.29065,1.28137,0.0062,1.51871,0.54501,0.48597,0.47732,0.24174,0.48729,0.4147,0.38577,0.16585,1.77588,2.15401,1.4188,0.00704,0,0.00112625,0.00112625,0.00112625
17,878.836,1.78158,2.27557,1.26995,0.00615,1.50112,0.63649,0.55433,0.58767,0.30783,0.57377,0.48136,0.47966,0.20399,1.63267,1.93735,1.2275,0.00603,0,0.001118,0.001118,0.001118
18,930.094,1.78564,2.23648,1.25781,0.00617,1.44574,0.62375,0.50568,0.54438,0.27808,0.51674,0.42318,0.40538,0.16309,1.6723,2.04027,1.48672,0.00653,0,0.00110975,0.00110975,0.00110975
19,981.048,1.79134,2.24535,1.25897,0.00598,1.41822,0.4928,0.51536,0.51301,0.25969,0.43259,0.45988,0.40987,0.16776,1.59378,1.96699,1.81255,0.00609,0,0.0011015,0.0011015,0.0011015
20,1033.22,1.77489,2.23665,1.23734,0.00594,1.4008,0.64113,0.55748,0.59016,0.29242,0.56275,0.4825,0.45931,0.18206,1.66333,2.01052,1.19166,0.00637,0,0.00109325,0.00109325,0.00109325
21,1085.15,1.76891,2.22705,1.2282,0.00592,1.4302,0.60304,0.52649,0.52753,0.2829,0.55719,0.4433,0.43889,0.19462,1.6928,2.04074,1.29911,0.00687,0,0.001085,0.001085,0.001085
22,1135.9,1.74915,2.19455,1.21643,0.00594,1.39849,0.61179,0.61115,0.60664,0.31791,0.57581,0.51392,0.4962,0.21302,1.61938,1.95613,1.27624,0.00613,0,0.00107675,0.00107675,0.00107675
23,1186.9,1.76598,2.19693,1.20992,0.00588,1.35769,0.59007,0.55694,0.57353,0.31266,0.53439,0.48811,0.47699,0.20755,1.60528,1.98209,1.21927,0.00607,0,0.0010685,0.0010685,0.0010685
24,1238.04,1.76294,2.20178,1.20349,0.00569,1.35301,0.60433,0.54967,0.57125,0.30387,0.55632,0.49976,0.49917,0.21302,1.6816,1.96045,1.61443,0.0063,0,0.00106025,0.00106025,0.00106025
25,1290.69,1.75948,2.19613,1.20222,0.00585,1.37254,0.68868,0.57491,0.64377,0.33446,0.62983,0.51625,0.54574,0.23956,1.61873,1.89081,1.08945,0.00625,0,0.001052,0.001052,0.001052
