epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,509.932,1.28375,2.49004,1.71111,1.15591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332233,0.00332233,0.070099
2,1190.63,1.13802,1.90226,1.05831,1.01665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652388,0.00652388,0.0399672
3,1829.8,1.19134,1.84724,1.10723,1.01369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959343,0.00959343,0.00970345
4,2412.02,1.23555,1.77093,1.01695,1.01351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,3033.92,1.18456,1.69637,0.96332,1.00872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,3604.85,1.16188,1.68866,0.88978,0.9974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,4189.52,1.12932,1.62306,0.87921,0.9894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,4781.55,1.09615,1.58204,0.84973,0.97902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,5336.61,1.08448,1.54624,0.82346,0.9757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,5908.94,1.07647,1.57397,0.81401,0.96321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,6481.76,1.08449,1.51781,0.78382,0.96135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,7047.96,1.0418,1.47329,0.74874,0.9523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,7583.62,1.03064,1.47259,0.75464,0.95473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,8217.32,1.026,1.43191,0.75313,0.95237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,8771.63,1.0206,1.43274,0.72881,0.94655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,9317.14,1.00212,1.42362,0.7189,0.9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,9853.37,0.98226,1.42129,0.71686,0.93582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,10412.9,0.97857,1.40301,0.70314,0.93471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
