epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,299.42,1.43556,2.7735,1.63691,1.19544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033114,0.0033114,0.0701974
2,647.548,1.2593,2.15826,1.14976,1.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00631582,0.00631582,0.0398685
3,989.634,1.25581,2.05215,1.11088,1.03276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00899024,0.00899024,0.00920954
4,1363.22,1.33467,2.00107,1.02413,1.03096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
5,1730.47,1.22807,1.90676,0.97647,1.01896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
6,2072.92,1.20581,1.83096,0.95155,1.00334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
7,2445.58,1.18749,1.81944,0.9088,0.99357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
8,2789.03,1.15147,1.7511,0.86948,0.98864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
9,3181.34,1.11617,1.75009,0.83905,0.97654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
10,3554.57,1.11163,1.70728,0.84197,0.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
11,3977.94,1.04769,1.61207,0.8176,0.96542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
12,4377.05,1.04005,1.60401,0.78947,0.96066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
13,4765.67,1.02489,1.56721,0.75574,0.94873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
14,5121.23,0.99935,1.49637,0.73999,0.94764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
15,5495.68,0.99477,1.51575,0.72738,0.94009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
16,5852.26,0.99044,1.48878,0.71225,0.93613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
17,6204.06,0.95414,1.4382,0.69048,0.93109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
18,6590.71,0.94783,1.41973,0.68051,0.93047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
19,6924.56,0.95057,1.42337,0.67588,0.92284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
20,7854.31,0.92849,1.40824,0.66995,0.91823,0,0.61256,0.17851,0.21128,0.13717,0.50099,0.15678,0.1712,0.08008,0.9166,1.42894,0.68014,0.92869,0,0.000595,0.000595,0.000595
