epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0166,2.11239,3.26107,2.44159,0.00701,4.26816,0.17304,0.21957,0.15099,0.06681,0.13626,0.16596,0.11945,0.04683,2.31255,3.41411,2.63283,0.00861,0,0.000408333,0.000408333,0.000408333
2,55.1603,2.08623,2.74991,1.54152,0.00627,2.27862,0.24978,0.2461,0.191,0.08646,0.18711,0.21494,0.14136,0.05927,2.25159,2.92987,2.08851,0.00827,0,0.00082495,0.00082495,0.00082495
3,80.269,2.08421,2.69286,1.50095,0.0064,2.10732,0.39021,0.19138,0.17316,0.08858,0.35963,0.15854,0.15264,0.06653,2.36055,17.1836,3.70013,0.00869,0,0.00124136,0.00124136,0.00124136
4,105.998,2.09628,2.66417,1.48718,0.0066,2.06372,0.23751,0.326,0.21352,0.10176,0.19499,0.26054,0.17208,0.07112,2.16653,nan,nan,0.0079,0,0.00124931,0.00124931,0.00124931
5,131.359,2.09422,2.65706,1.44327,0.00648,1.97736,0.31272,0.28767,0.23456,0.10172,0.27482,0.24408,0.19049,0.07302,2.26217,nan,nan,0.00833,0,0.00124878,0.00124878,0.00124878
6,156.495,2.08531,2.6284,1.41328,0.00633,1.9234,0.341,0.37523,0.31224,0.1436,0.29995,0.32519,0.26375,0.10877,2.0813,2.61209,1.56785,0.00741,0,0.00124809,0.00124809,0.00124809
7,181.569,2.06388,2.60105,1.39417,0.00632,1.85013,0.48291,0.38336,0.37943,0.17596,0.44215,0.3413,0.31915,0.12842,2.08071,2.50284,1.57861,0.00715,0,0.00124725,0.00124725,0.00124725
8,206.492,2.05264,2.58903,1.38464,0.0062,1.86196,0.49073,0.39627,0.37287,0.17118,0.46976,0.35434,0.32047,0.13235,2.03039,2.58761,1.71533,0.00704,0,0.00124626,0.00124626,0.00124626
9,231.131,2.02768,2.56612,1.35995,0.00613,1.86488,0.43575,0.34422,0.32176,0.15451,0.40133,0.29007,0.25714,0.10913,nan,nan,nan,nan,0,0.00124512,0.00124512,0.00124512
10,255.83,2.00566,2.50368,1.34729,0.00606,1.77764,0.51191,0.43225,0.41553,0.19637,0.46151,0.37349,0.34368,0.14693,1.9927,2.6219,1.45297,0.00676,0,0.00124383,0.00124383,0.00124383
11,280.834,2.02442,2.5158,1.32937,0.00595,1.75257,0.56024,0.38742,0.39836,0.18355,0.49,0.32052,0.30991,0.12795,nan,nan,nan,nan,0,0.00124238,0.00124238,0.00124238
12,305.804,2.003,2.49697,1.3125,0.00587,1.73975,0.4277,0.38226,0.36984,0.16621,0.43757,0.32678,0.31594,0.13295,2.02832,2.41693,1.90769,0.00705,0,0.00124079,0.00124079,0.00124079
13,330.399,1.9915,2.48028,1.32156,0.00594,1.75543,0.50907,0.40328,0.39842,0.19519,0.45111,0.35386,0.32512,0.13409,2.00552,2.52987,1.80626,0.00684,0,0.00123904,0.00123904,0.00123904
14,355.033,1.99571,2.48009,1.30478,0.00584,1.74212,0.52365,0.43449,0.4326,0.1972,0.43699,0.35165,0.32204,0.12494,2.0017,2.4648,1.63733,0.00684,0,0.00123714,0.00123714,0.00123714
15,379.924,1.97804,2.46565,1.3051,0.00589,1.71166,0.50961,0.38743,0.39532,0.19632,0.42866,0.35559,0.32514,0.1378,1.98923,2.43642,1.40044,0.00687,0,0.0012351,0.0012351,0.0012351
16,404.85,2.00716,2.49723,1.28181,0.00575,1.70006,0.49405,0.40265,0.4024,0.19657,0.44845,0.3415,0.32037,0.13266,2.01877,2.56479,1.74991,0.007,0,0.0012329,0.0012329,0.0012329
17,429.531,1.96587,2.44037,1.27537,0.00572,1.64699,0.53834,0.43676,0.45027,0.21678,0.48236,0.37574,0.36899,0.15206,1.9788,2.41752,1.44238,0.0066,0,0.00123056,0.00123056,0.00123056
18,454.526,1.9618,2.44737,1.28331,0.00579,1.67952,0.58084,0.44249,0.46576,0.22031,0.52148,0.38467,0.36862,0.14242,1.9396,2.41574,1.34621,0.00661,0,0.00122807,0.00122807,0.00122807
19,479.067,1.9689,2.43523,1.28153,0.00572,1.64667,0.6126,0.41755,0.4538,0.21793,0.57055,0.37316,0.39171,0.15898,2.02157,2.39203,1.45002,0.0066,0,0.00122543,0.00122543,0.00122543
20,504.187,1.94508,2.40078,1.25914,0.00566,1.64275,0.46715,0.42848,0.40135,0.18876,0.42358,0.36447,0.33075,0.12998,1.95373,2.4347,1.53157,0.00654,0,0.00122265,0.00122265,0.00122265
21,529.068,1.95271,2.41407,1.25966,0.00563,1.61843,0.54712,0.44097,0.45192,0.22124,0.46278,0.38969,0.37057,0.15795,1.92276,2.30684,1.45878,0.00649,0,0.00121972,0.00121972,0.00121972
22,554.277,1.94822,2.37441,1.23495,0.00569,1.62643,0.56119,0.46308,0.47538,0.23673,0.49319,0.40377,0.39622,0.16844,1.93279,2.3307,1.29981,0.0063,0,0.00121664,0.00121664,0.00121664
23,579.323,1.93312,2.3866,1.23044,0.00552,1.59119,0.58631,0.47843,0.49204,0.23918,0.52392,0.42949,0.41301,0.18248,1.90622,2.28303,1.35419,0.00623,0,0.00121342,0.00121342,0.00121342
24,604.23,1.93892,2.39544,1.24938,0.00554,1.62557,0.54907,0.44169,0.44335,0.22839,0.49226,0.38577,0.35931,0.1517,1.97889,2.379,1.44068,0.0064,0,0.00121006,0.00121006,0.00121006
25,628.928,1.94181,2.37446,1.24075,0.00556,1.60732,0.64722,0.47334,0.51496,0.26285,0.59494,0.40802,0.41666,0.17634,1.86779,2.36127,1.28023,0.00604,0,0.00120655,0.00120655,0.00120655
26,654.329,1.9381,2.3647,1.23209,0.00545,1.55728,0.56583,0.48825,0.48891,0.24185,0.48115,0.4171,0.39284,0.1647,1.98285,2.37191,1.57224,0.00654,0,0.0012029,0.0012029,0.0012029
27,679.184,1.93612,2.37642,1.23205,0.00549,1.58724,0.56258,0.43909,0.467,0.23094,0.49379,0.38504,0.37097,0.15595,1.94783,2.36785,1.42226,0.00634,0,0.00119911,0.00119911,0.00119911
28,703.414,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00119518,0.00119518,0.00119518
29,727.87,1.9024,2.34137,1.20402,0.0054,1.53877,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00119111,0.00119111,0.00119111
30,751.827,1.90508,2.34068,1.21047,0.00551,1.5361,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0011869,0.0011869,0.0011869
31,776.118,1.92802,2.3588,1.20778,0.00538,1.56731,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00118256,0.00118256,0.00118256
32,800.669,1.90702,2.33582,1.19752,0.0053,1.48199,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00117808,0.00117808,0.00117808
33,824.773,1.88081,2.30978,1.18988,0.00538,1.51488,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00117346,0.00117346,0.00117346
34,848.966,1.89324,2.31526,1.18654,0.00529,1.49763,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00116872,0.00116872,0.00116872
35,873.405,1.88908,2.29462,1.17622,0.00529,1.46007,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00116383,0.00116383,0.00116383
36,897.524,1.88686,2.30314,1.16581,0.0053,1.4597,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00115882,0.00115882,0.00115882
37,921.793,1.8795,2.29428,1.17143,0.00529,1.44875,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00115368,0.00115368,0.00115368
38,946.038,1.89019,2.29625,1.16797,0.00518,1.44458,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00114841,0.00114841,0.00114841
39,970.123,1.8807,2.28903,1.16401,0.00519,1.44088,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00114301,0.00114301,0.00114301
40,994.169,1.86841,2.26788,1.146,0.00511,1.40736,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00113748,0.00113748,0.00113748
41,1018.65,1.84034,2.2756,1.15916,0.00523,1.45472,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00113183,0.00113183,0.00113183
42,1043.05,1.87386,2.28632,1.1559,0.0051,1.45164,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00112605,0.00112605,0.00112605
43,1067.42,1.85973,2.26091,1.1537,0.00511,1.41851,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00112016,0.00112016,0.00112016
44,1092.02,1.86,2.25813,1.13385,0.00507,1.40087,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00111414,0.00111414,0.00111414
45,1116.49,1.85587,2.25594,1.13656,0.00513,1.36902,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00110801,0.00110801,0.00110801
46,1140.72,1.84995,2.261,1.14663,0.00511,1.40487,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00110175,0.00110175,0.00110175
47,1165.18,1.85762,2.26531,1.14706,0.00502,1.45415,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00109538,0.00109538,0.00109538
48,1189.82,1.83861,2.25537,1.13832,0.0051,1.38759,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0010889,0.0010889,0.0010889
49,1213.93,1.85266,2.25409,1.13448,0.00498,1.38897,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0010823,0.0010823,0.0010823
50,1238.41,1.86339,2.24768,1.1308,0.00499,1.37111,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00107559,0.00107559,0.00107559
51,1262.8,1.85575,2.25946,1.12863,0.00503,1.38177,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00106877,0.00106877,0.00106877
52,1286.97,1.8585,2.2486,1.12881,0.00502,1.37394,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00106185,0.00106185,0.00106185
53,1311.29,1.81944,2.22255,1.12398,0.00494,1.37307,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00105481,0.00105481,0.00105481
54,1335.66,1.85625,2.26064,1.1307,0.00502,1.38005,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00104768,0.00104768,0.00104768
55,1359.9,1.85815,2.27242,1.12796,0.00498,1.36435,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00104044,0.00104044,0.00104044
56,1383.97,1.86731,2.23721,1.124,0.00497,1.36094,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0010331,0.0010331,0.0010331
57,1407.96,1.82819,2.23269,1.09902,0.00486,1.33747,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00102566,0.00102566,0.00102566
58,1431.93,1.81037,2.20242,1.10038,0.00487,1.32807,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00101812,0.00101812,0.00101812
59,1456.01,1.83544,2.20118,1.09379,0.00485,1.33811,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00101049,0.00101049,0.00101049
60,1479.93,1.80725,2.19374,1.09393,0.00486,1.31297,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00100276,0.00100276,0.00100276
61,1503.83,1.8177,2.19884,1.08413,0.00481,1.29295,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000994942,0.000994942,0.000994942
62,1528.09,1.8157,2.19985,1.09067,0.00484,1.32791,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000987034,0.000987034,0.000987034
63,1552.1,1.80326,2.16942,1.08678,0.00488,1.32942,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000979039,0.000979039,0.000979039
64,1576.47,1.81952,2.19995,1.08921,0.00484,1.30442,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000970958,0.000970958,0.000970958
65,1600.59,1.79609,2.17908,1.09054,0.00485,1.29584,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000962793,0.000962793,0.000962793
