epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,521.204,1.85389,2.78129,2.41332,0.00753,3.50817,0.41285,0.32224,0.31441,0.16101,0.38936,0.2775,0.2554,0.10613,1.54306,2.05066,1.49058,0.00694,0,0.000416137,0.000416137,0.000416137
2,1038.9,1.84711,2.56599,1.88292,0.00727,2.31862,0.38864,0.32536,0.3251,0.17048,0.4795,0.28099,0.27518,0.12106,1.52435,1.99548,1.46268,0.00701,0,0.000816314,0.000816314,0.000816314
3,1557.12,1.84082,2.47352,1.83778,0.00761,2.19205,0.41475,0.39703,0.35728,0.17814,0.40854,0.34044,0.3119,0.13208,1.63449,2.00022,1.38795,0.0078,0,0.00119999,0.00119999,0.00119999
4,2074.29,1.82257,2.44177,1.80109,0.00765,2.12614,0.42806,0.41472,0.41174,0.21785,0.40953,0.37021,0.35459,0.15792,1.53019,2.00183,1.38324,0.00688,0,0.00117575,0.00117575,0.00117575
5,2593.99,1.82861,2.41231,1.71624,0.00742,2.11954,0.46346,0.45274,0.43992,0.22856,0.41283,0.4156,0.38367,0.17749,1.52492,1.87859,1.32073,0.00731,0,0.001151,0.001151,0.001151
6,3111.79,1.79878,2.36799,1.65937,0.00738,2.01663,0.50312,0.42896,0.43032,0.21685,0.4834,0.41014,0.3863,0.17335,1.5068,1.86402,1.32455,0.00727,0,0.00112625,0.00112625,0.00112625
7,3629.94,1.77472,2.3435,1.64042,0.00725,1.99202,0.45737,0.47634,0.44026,0.22196,0.40938,0.42361,0.37845,0.1682,1.50342,1.83039,1.28063,0.00697,0,0.0011015,0.0011015,0.0011015
8,4148.06,1.76262,2.3007,1.59694,0.00714,1.90815,0.61546,0.48906,0.5281,0.27368,0.5319,0.43364,0.44118,0.20036,1.45639,1.7944,1.19826,0.00681,0,0.00107675,0.00107675,0.00107675
9,4667.14,1.75266,2.27213,1.5449,0.00703,1.88171,0.59254,0.51177,0.51564,0.27034,0.55669,0.46788,0.46294,0.21402,1.45017,1.78033,1.22445,0.00679,0,0.001052,0.001052,0.001052
10,5185.33,1.74003,2.24959,1.53354,0.00696,1.8415,0.56819,0.51205,0.51513,0.27762,0.53092,0.47369,0.45889,0.20778,1.45672,1.73574,1.20373,0.00685,0,0.00102725,0.00102725,0.00102725
