epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4094,3.81215,5.75474,3.95357,2.94404,0,4e-05,0.0005,2e-05,0,0.00018,0.00207,9e-05,2e-05,4.1114,5.02445,4.03606,3.08145,0,0.000412458,0.000412458,0.000412458
2,171.674,2.84128,4.24274,2.96492,2.17757,0,0.05766,0.07729,0.04521,0.02026,0.06031,0.05754,0.04146,0.01836,2.39261,3.73043,2.97315,1.91553,0,0.000823652,0.000823652,0.000823652
3,241.71,2.4205,3.88886,2.57714,1.91218,0,0.13962,0.1746,0.11284,0.05189,0.37901,0.0975,0.09326,0.041,2.10046,3.36857,2.34666,1.74686,0,0.00122935,0.00122935,0.00122935
4,311.311,2.20954,3.62031,2.31084,1.76793,0,0.32189,0.18453,0.17318,0.09059,0.31069,0.14568,0.1463,0.06661,1.89745,3.14565,2.00908,1.57143,0,0.00122525,0.00122525,0.00122525
5,380.043,2.05945,3.45576,2.11153,1.6626,0,0.26408,0.23984,0.21237,0.10198,0.24632,0.15555,0.16265,0.07325,1.79017,2.89493,1.9185,1.54082,0,0.001217,0.001217,0.001217
6,448.02,1.94743,3.27222,1.93787,1.59156,0,0.30354,0.31669,0.25777,0.13088,0.28793,0.22699,0.20033,0.08672,1.68289,2.78485,1.76807,1.4679,0,0.00120875,0.00120875,0.00120875
7,514.915,1.84758,3.14019,1.82638,1.54006,0,0.38002,0.33005,0.29936,0.15081,0.33453,0.25047,0.23774,0.10732,1.67117,2.67454,1.63108,1.45381,0,0.0012005,0.0012005,0.0012005
8,583.383,1.81411,3.0652,1.76325,1.51326,0,0.38094,0.35192,0.32306,0.16027,0.33131,0.26218,0.25078,0.10851,1.64099,2.60128,1.55984,1.42662,0,0.00119225,0.00119225,0.00119225
9,651.462,1.76618,2.9801,1.69193,1.4817,0,0.39239,0.37173,0.31616,0.16117,0.34206,0.30145,0.26341,0.11873,1.60423,2.52901,1.51567,1.42017,0,0.001184,0.001184,0.001184
10,719.64,1.71485,2.86617,1.63085,1.45099,0,0.45633,0.38527,0.38119,0.19622,0.40155,0.30973,0.2852,0.12543,1.49459,2.40994,1.45079,1.34916,0,0.00117575,0.00117575,0.00117575
11,787.787,1.68129,2.8132,1.58252,1.43147,0,0.48935,0.41068,0.39939,0.21011,0.40198,0.31727,0.29608,0.12935,1.51335,2.35813,1.36567,1.34327,0,0.0011675,0.0011675,0.0011675
12,856.114,1.65126,2.75599,1.55418,1.41285,0,0.43437,0.421,0.39681,0.21199,0.35937,0.35313,0.31674,0.15014,1.4484,2.29731,1.33972,1.31634,0,0.00115925,0.00115925,0.00115925
13,924.353,1.60847,2.70977,1.50198,1.39541,0,0.49458,0.42015,0.43253,0.22645,0.39849,0.33188,0.31529,0.14101,1.43901,2.24811,1.2701,1.30831,0,0.001151,0.001151,0.001151
