epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9878,2.08871,3.19054,2.65431,0.00828,4.4879,0.49603,0.24343,0.26845,0.13123,0.69834,0.16741,0.17984,0.07091,1.80479,2.43531,1.66803,0.0069,0,0.000412458,0.000412458,0.000412458
2,46.1792,1.95764,2.69905,1.65249,0.00702,2.2171,0.44564,0.38779,0.34655,0.1697,0.40234,0.34916,0.29161,0.12099,1.76612,2.35188,1.46512,0.00717,0,0.000823652,0.000823652,0.000823652
3,66.5805,1.97773,2.65347,1.61361,0.0074,2.00657,0.39568,0.39842,0.35076,0.17611,0.32118,0.34247,0.27056,0.10675,1.76353,2.36313,1.49358,0.00707,0,0.00122935,0.00122935,0.00122935
4,86.2706,1.96528,2.59841,1.58756,0.00753,1.97437,0.38589,0.43858,0.34236,0.16271,0.34472,0.36878,0.28735,0.11435,1.77504,2.24218,2.28629,0.00692,0,0.00122525,0.00122525,0.00122525
5,106.038,1.96775,2.58552,1.55785,0.00723,1.8626,0.45908,0.43568,0.401,0.18765,0.39194,0.37304,0.31238,0.12168,1.77217,2.21609,1.3534,0.00716,0,0.001217,0.001217,0.001217
6,125.899,1.92824,2.51411,1.49514,0.00706,1.78184,0.52588,0.46172,0.46626,0.22374,0.46589,0.39584,0.36064,0.14139,1.7363,2.10028,1.24983,0.00703,0,0.00120875,0.00120875,0.00120875
7,145.712,1.88366,2.44692,1.45576,0.0069,1.75343,0.57963,0.48876,0.49987,0.25564,0.51288,0.42967,0.41958,0.18328,1.68503,2.06374,1.25425,0.00645,0,0.0012005,0.0012005,0.0012005
8,165.55,1.89746,2.44974,1.43148,0.00685,1.71832,0.54553,0.51346,0.49389,0.24842,0.50583,0.42276,0.39124,0.15852,1.70399,2.06048,1.32452,0.00671,0,0.00119225,0.00119225,0.00119225
9,184.885,1.8934,2.42331,1.39762,0.00676,1.67468,0.57602,0.4692,0.49103,0.25132,0.51012,0.41284,0.40035,0.16602,1.73371,2.07672,1.25903,0.00666,0,0.001184,0.001184,0.001184
10,204.402,1.87378,2.40238,1.39278,0.00669,1.6576,0.60128,0.52348,0.54251,0.27766,0.51708,0.44015,0.43555,0.17504,1.70044,2.02734,1.32523,0.00636,0,0.00117575,0.00117575,0.00117575
