epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4632,2.13071,3.42171,2.64157,0.00889,6.8102,0.47571,0.21197,0.21061,0.10028,0.67686,0.13326,0.12854,0.04586,2.11503,2.80344,2.39565,0.00812,0,0.000408333,0.000408333,0.000408333
2,81.7728,2.0031,2.75186,1.68539,0.00727,2.51034,0.22993,0.37121,0.26209,0.12164,0.16899,0.27049,0.1588,0.05657,2.01511,nan,nan,0.00777,0,0.000819555,0.000819555,0.000819555
3,118.591,1.96924,2.6271,1.56613,0.00724,2.06582,0.33385,0.38012,0.2889,0.13554,0.27783,0.32066,0.22917,0.09522,1.93597,2.41926,3.37637,0.00817,0,0.00122528,0.00122528,0.00122528
4,155.726,1.97625,2.59141,1.54397,0.00747,1.95185,0.3662,0.28923,0.25676,0.11868,0.26889,0.24956,0.18422,0.06485,nan,nan,nan,nan,0,0.00122525,0.00122525,0.00122525
5,192.652,1.97122,2.57813,1.49904,0.00733,1.94169,0.40361,0.38482,0.32899,0.15721,0.34575,0.31289,0.25473,0.10019,nan,nan,nan,nan,0,0.001217,0.001217,0.001217
6,230.585,1.94367,2.52434,1.46286,0.00714,1.84329,0.54588,0.42399,0.42901,0.20661,0.4913,0.37649,0.35428,0.1414,nan,nan,nan,nan,0,0.00120875,0.00120875,0.00120875
7,267.805,1.90959,2.4667,1.43345,0.00698,1.7348,0.57158,0.45538,0.47245,0.23689,0.51356,0.38867,0.38176,0.15476,1.74054,2.12322,1.82334,0.00699,0,0.0012005,0.0012005,0.0012005
8,304.745,1.89432,2.42718,1.37725,0.00676,1.70988,0.53468,0.45814,0.45692,0.22125,0.51009,0.40467,0.3886,0.15563,1.75931,2.1984,1.41419,0.00715,0,0.00119225,0.00119225,0.00119225
9,341.592,1.86501,2.38682,1.35007,0.00664,1.63104,0.64716,0.49877,0.53959,0.26146,0.56289,0.43707,0.43847,0.1757,1.71754,2.08607,1.29974,0.00667,0,0.001184,0.001184,0.001184
10,378.511,1.84352,2.36011,1.32587,0.00657,1.63667,0.59894,0.50266,0.5216,0.25788,0.53027,0.44485,0.44005,0.18404,1.67972,2.03214,1.24641,0.00679,0,0.00117575,0.00117575,0.00117575
