epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3824,2.16428,3.4049,3.0306,0.009,5.29354,0.40325,0.25427,0.21898,0.09475,0.65934,0.14674,0.12349,0.03863,2.05787,2.77256,1.99229,0.00801,0,0.000408333,0.000408333,0.000408333
2,77.5393,1.97569,2.75936,1.72097,0.00708,2.33144,0.36692,0.29146,0.23529,0.09991,0.27129,0.20932,0.14536,0.04903,2.17705,3.99456,2.67735,0.00937,0,0.000819555,0.000819555,0.000819555
3,114.69,1.94998,2.64133,1.61599,0.00711,2.02076,0.49546,0.22605,0.22052,0.10118,0.66236,0.14643,0.14609,0.05571,2.00818,2.74614,3.27482,0.00838,0,0.00122528,0.00122528,0.00122528
4,164.841,1.95847,2.59669,1.57069,0.00733,1.92925,0.42488,0.41494,0.37498,0.18714,0.3605,0.34706,0.29857,0.12909,1.79547,2.27091,1.6529,0.00714,0,0.00122525,0.00122525,0.00122525
5,217.239,1.94948,2.57206,1.51464,0.00714,1.88379,0.32336,0.39311,0.32427,0.15443,0.25327,0.30832,0.22892,0.0902,1.97385,2.52666,2.48968,0.0078,0,0.001217,0.001217,0.001217
6,271.257,1.92817,2.52276,1.46631,0.00699,1.81782,0.51831,0.43435,0.41883,0.20344,0.44343,0.38066,0.34722,0.14936,1.75875,2.24211,1.37314,0.00695,0,0.00120875,0.00120875,0.00120875
7,324.506,1.90427,2.46339,1.45735,0.00691,1.73456,0.46489,0.48993,0.4459,0.21639,0.40155,0.40388,0.33983,0.13479,1.7186,2.13055,1.48005,0.00651,0,0.0012005,0.0012005,0.0012005
8,377.824,1.89087,2.44409,1.42291,0.00667,1.6969,0.56761,0.51666,0.50213,0.25994,0.49824,0.4419,0.4069,0.17632,1.73197,2.09221,1.2557,0.00672,0,0.00119225,0.00119225,0.00119225
9,432.881,1.86914,2.41388,1.40436,0.00658,1.67916,0.48251,0.43457,0.41601,0.20925,0.42042,0.36886,0.32386,0.12833,1.74629,2.12188,1.34252,0.00691,0,0.001184,0.001184,0.001184
10,486.353,1.8551,2.39068,1.36385,0.00652,1.62788,0.5775,0.52366,0.52276,0.25897,0.53117,0.46554,0.43235,0.16972,1.64789,2.03608,1.19517,0.00635,0,0.00117575,0.00117575,0.00117575
