epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8458,1.35819,2.47999,1.43801,1.24495,0,0.64852,0.13455,0.1477,0.06412,0.60154,0.10043,0.11724,0.04219,1.79359,3.77266,3.39952,1.47505,0,0.000412458,0.000412458,0.000412458
2,110.32,1.40522,2.39034,1.17301,1.22349,0,0.17062,0.27337,0.14514,0.07409,0.13898,0.19281,0.1042,0.04565,1.59599,2.8552,5.04235,1.44309,0,0.000829074,0.000829074,0.000829074
3,161.76,1.41924,2.37724,1.17121,1.22933,0,0.32754,0.43424,0.33458,0.16346,0.24974,0.38095,0.26223,0.11051,1.48018,2.4855,2.84661,1.29292,0,0.00124549,0.00124549,0.00124549
4,212.509,1.35526,2.26856,1.09906,1.2057,0,0.50544,0.41918,0.41138,0.2163,0.39504,0.31473,0.26977,0.11328,1.47669,2.45708,1.94533,1.26784,0,0.00124931,0.00124931,0.00124931
5,263.195,1.34096,2.22346,1.0758,1.19028,0,0.42296,0.44064,0.36055,0.18376,0.34307,0.36738,0.27845,0.12316,1.45809,2.39345,1.57914,1.24408,0,0.00124878,0.00124878,0.00124878
6,313.28,1.31213,2.17434,1.02192,1.16671,0,0.55256,0.45741,0.48434,0.25705,0.47636,0.39171,0.38743,0.17493,1.35918,2.16186,1.79447,1.20288,0,0.00124809,0.00124809,0.00124809
7,363.855,1.2968,2.13327,1.0027,1.16363,0,0.50952,0.50882,0.50959,0.26793,0.44017,0.44897,0.41769,0.18003,1.33182,2.09369,1.09364,1.18459,0,0.00124725,0.00124725,0.00124725
8,414.668,1.27191,2.08773,0.96984,1.14269,0,0.50799,0.57136,0.52624,0.28092,0.43832,0.50825,0.43857,0.19942,1.35843,2.03907,1.20337,1.17474,0,0.00124626,0.00124626,0.00124626
9,465.176,1.24725,2.06459,0.94467,1.1368,0,0.56204,0.52075,0.5206,0.28399,0.47159,0.44695,0.40867,0.17677,1.33391,2.06973,1.07783,1.17064,0,0.00124512,0.00124512,0.00124512
10,515.386,1.23588,2.0482,0.93079,1.13227,0,0.61816,0.47401,0.53869,0.30081,0.54604,0.42253,0.45115,0.20542,1.2739,2.0561,1.06981,1.1607,0,0.00124383,0.00124383,0.00124383
11,565.913,1.21932,2.01108,0.90808,1.127,0,0.60458,0.53662,0.56711,0.30724,0.52765,0.48217,0.47397,0.20675,1.25018,2.00152,1.07657,1.14621,0,0.00124238,0.00124238,0.00124238
